"table s17: victim satisfaction with the police by criminal justice system factors, people aged 16 and over",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2023",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,unknown
Link to Notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Criminal Justice System factors,Criminal Justice System factor breakdown,"Satisfaction with the police (%)
",Unweighted base - number of people aged 16 and over,unknown
Treated fairly by the police,Yes,78.25123778856513,812,unknown
Treated fairly by the police,No,7.548013692260684,374,unknown
Treated with respect by the police,Yes,68.78213325418304,972,unknown
Treated with respect by the police,No,2.836656992786276,202,unknown
If police found out who did it,Yes,67.41865080042763,349,unknown
If police found out who did it,No,49.92816326941416,716,unknown
If police found out who did it,Not yet,58.88771177604084,94,unknown
Action taken against offender,Charged,81.28895713159314,91,unknown
Action taken against offender,Given caution,[u],36,unknown
Action taken against offender,Gave them a fine (or Penalty Notice for Disorder),[u],3,unknown
Action taken against offender,Made them do something to make amends for the matter,[u],10,unknown
Action taken against offender,Some other action,[u],19,unknown
Action taken against offender,No action (yet) taken against the offender,57.762593410382394,161,unknown
Did offender go to court,Yes,[u],49,unknown
Did offender go to court,No,64.19696037526496,203,unknown
Did offender go to court,Not yet,68.92478302796529,50,unknown
How well police kept the victim informed,Well,81.66154519366201,378,unknown
How well police kept the victim informed,Not well,26.128065333817386,493,unknown
How well police kept the victim informed,Not necessary to keep me informed,74.98724636124652,328,unknown
