"table s20: awareness and use of the 101 non-emergency police number, people aged 16 and over, year ending march 2012 to year ending march 2023 [note 1]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units in this table are percentages.,,,,,,,,,,,unknown
Link to notes,,,,,,,,,,,unknown
Some shorthand is used in this table. [x] denotes that data are not available. ,,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,unknown
Awareness of the 101 non-emergency police number,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023 [note 2],unknown
People who said that they were aware of the 101 non-emergency police number,29.606657530730203,50.676985115684914,57.68041736764181,62.700431233419316,70.81660358529024,70.91241857295849,72.99185804738411,75.12378211677978,76.02106755987917,[x],unknown
People who said that they had used the 101 non-emergency police number,2.414271881450104,7.654422576731654,9.373576998664682,11.90359695715783,13.363663305178216,12.906031223628348,17.217607156250118,17.45855552229927,17.64380977985434,[x],unknown
People who said that they had contacted the 101 non-emergency police number,[x],[x],[x],[x],[x],[x],[x],[x],[x],8.609984382920102,unknown
People who said that they had not contacted the 101 non-emergency police number,[x],[x],[x],[x],[x],[x],[x],[x],[x],83.45159994371646,unknown
People who said that they had not heard of the 101 non-emergency police number,[x],[x],[x],[x],[x],[x],[x],[x],[x],7.938415673363688,unknown
Unweighted base - number of people aged 16 and over,11338,8734,9195,8531,9039,9156,8904,8763,8777,31133,unknown
