"table s22: awareness and use of the 101 non-emergency police number, people aged 16 and over, by household and area characteristics, year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to notes ,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Household or area characteristic [note 1],Household or area characteristic breakdown,People who had used the 101 non-emergency police number (%) [note 2],Unweighted base - number of people aged 16 and over,unknown
All people,All people,8.609984382920102,31133,unknown
Structure of household,Single person and child(ren) under 16,16.06045538427082,1288,unknown
Structure of household,Persons and child(ren) under 16,9.273198005305842,5824,unknown
Structure of household,Person(s) and no children,8.134642811438022,24021,unknown
Total Household Income,"Less than £10,400",7.321597034192971,2259,unknown
Total Household Income,"£10,400 to less than £20,800",8.413346389924994,5273,unknown
Total Household Income,"£20,800 to less than £31,200",8.305006599175004,4747,unknown
Total Household Income,"£31,200 to less than £41,600",9.563218001300198,3487,unknown
Total Household Income,"£41,600 to less than £52,000",9.977359428700188,3004,unknown
Total Household Income,"£52,000 or more",10.839314516926661,6335,unknown
Total Household Income,No income stated of not enough information provided,5.895937579385295,495,unknown
Tenure,Owners,8.463582220831231,20815,unknown
Tenure,Social renters,9.50970335805148,4602,unknown
Tenure,Private renters,8.759807679092456,5388,unknown
Accommodation type,House or bungalow,8.783731237128787,26400,unknown
Accommodation type,    Detached,8.507770043134686,8469,unknown
Accommodation type,    Semi-detached,8.775311876423196,9718,unknown
Accommodation type,    Terraced,9.042903367287208,8213,unknown
Accommodation type,Flats/maisonettes,7.675638873594459,4520,unknown
Accommodation type,Other accommodation,4.5043792861620435,80,unknown
Output Area Classification,Rural residents,8.547017450348443,4287,unknown
Output Area Classification,Cosmopolitans,10.354293880139458,1080,unknown
Output Area Classification,Ethnicity central,4.547888410517125,1373,unknown
Output Area Classification,Multicultural metropolitans,5.8033031170284515,3738,unknown
Output Area Classification,Urbanites,9.810738314613435,5784,unknown
Output Area Classification,Suburbanites,8.396390723237596,6910,unknown
Output Area Classification,Constrained city dwellers,10.632812478742819,2119,unknown
Output Area Classification,Hard-pressed living,10.319133129964003,5842,unknown
Area type,Urban,8.508983988858382,24238,unknown
Area type,Rural,9.039323966614424,6895,unknown
Level of physical disorder,High,10.483605285851368,2069,unknown
Level of physical disorder,Not high,8.462604506426903,29025,unknown
English Indices of Deprivation (Employment),20% most deprived Output Areas,8.375850144348567,5349,unknown
English Indices of Deprivation (Employment),Other Output Areas,8.721855073222331,17447,unknown
English Indices of Deprivation (Employment),20% least deprived Output Areas,7.967393324746618,5862,unknown
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,12.533976637821434,371,unknown
Welsh Indices of Deprivation (Employment),Other Output Areas,10.042709818419207,1646,unknown
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,10.37221623936032,458,unknown
Region,North East,9.274346637005483,1650,unknown
Region,North West,8.316911314638597,3640,unknown
Region,Yorkshire and The Humber,10.519572924732659,2508,unknown
Region,East Midlands,10.17339612747473,3123,unknown
Region,West Midlands,7.446700870213721,3603,unknown
Region,East,9.106683866453109,3449,unknown
Region,London,4.193142467740437,3217,unknown
Region,South East,9.316972261056426,4402,unknown
Region,South West,10.849683698396413,3066,unknown
Region,Wales,10.518805508980272,2475,unknown
