"table s24: awareness of police and crime commissioners, people aged 16 and over, by personal characteristics",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2023",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Personal characteristic [note 1],Personal characteristic breakdown,Percentage who said they were aware of Police and Crime Commissioners,"Unweighted base - number of people aged 16 and over [note 2, 3] ",unknown
All people,All people,58.38916871079898,13797,unknown
All people,16-24,27.818228201992923,743,unknown
All people,25-34,47.960510074361856,1734,unknown
All people,35-44,53.002879162949576,2070,unknown
All people,45-54,65.0393996239067,2018,unknown
All people,55-64,71.4006605752726,2525,unknown
All people,65-74,72.95236811232749,2439,unknown
All people,75+,68.48057936634697,2268,unknown
Men,Men,61.61387431909954,6563,unknown
Men,16-24,30.258838210383754,361,unknown
Men,25-34,50.835741184883595,789,unknown
Men,35-44,56.18948507004801,923,unknown
Men,45-54,67.31319598197672,949,unknown
Men,55-64,72.13007859851598,1296,unknown
Men,65-74,77.83952179825498,1188,unknown
Men,75+,78.5853909605698,1057,unknown
Women,Women,55.291282461462345,7234,unknown
Women,16-24,25.377237601022323,382,unknown
Women,25-34,44.98406325439215,945,unknown
Women,35-44,49.915818297327235,1147,unknown
Women,45-54,62.96026310838947,1069,unknown
Women,55-64,70.65124898104759,1229,unknown
Women,65-74,68.44586037643387,1251,unknown
Women,75+,60.02863533308965,1211,unknown
Ethnic group,White ,61.54500500718727,12555,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,63.65931911906827,11749,unknown
Ethnic group,   Irish,69.26267534240341,107,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],10,unknown
Ethnic group,   Any other white background,30.047766064194736,689,unknown
Ethnic group,Mixed/Multiple,54.7401435960512,162,unknown
Ethnic group,   White and Black Caribbean,[u],45,unknown
Ethnic group,   White and Black African,[u],35,unknown
Ethnic group,   White and Asian,[u],35,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,[u],47,unknown
Ethnic group,Asian/Asian British,28.910817625063963,699,unknown
Ethnic group,   Indian,34.062605892653636,305,unknown
Ethnic group,   Pakistani,27.23038411091941,176,unknown
Ethnic group,   Bangladeshi,[u],33,unknown
Ethnic group,   Chinese,16.742115000319153,65,unknown
Ethnic group,   Any other Asian background,24.255195089475713,120,unknown
Ethnic group,Black/African/Caribbean/Black British,35.98510443185866,272,unknown
Ethnic group,   African,31.524652613106163,189,unknown
Ethnic group,   Caribbean,48.656846455321926,68,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],15,unknown
Ethnic group,Other ethnic group,24.51353154090118,89,unknown
