"table s26: perceptions of changing crime levels, year ending december 1996 to year ending march 2023, with statistical significance of change year ending march 2023 compared to year ending march 2020 [note 1, 2, 3, 4]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains two tables. Some cells refer to notes which can be found on the notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to notes,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"Some shorthand is used in this table. [x] denotes that data are not available, [s] denotes there is a statistically significant change at the 5% level.",,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Perceptions of changing crime levels,Geography,Jan 1996 to Dec 1996,Jan 1998 to Dec 1998,Jan 2000 to Dec 2000,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,"Apr 2008 to Mar 2009 [note 3, 4]",Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013 [note 4],Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018 [note 3],Apr 2018 to Mar 2019 [note 3],Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 compared with Apr 2019 to Mar 2020,unknown
There is 'a little more' or 'a lot more' crime than two years ago,National,75.18298279403,58.20034071143,66.33697388668,64.60660541062151,72.3716766137431,65.31529089960986,60.64685846085367,62.624652853812655,64.44134750180837,65.3974927995324,74.85367064508415,66.42349508246306,59.875333890460105,66.02325379755675,[x],[x],[x],[x],[x],[x],[x],[x],[x],,unknown
There is 'a little more' or 'a lot more' crime than two years ago,Local,54.76633365364,46.23002814014,49.97281395766,51.12022033163278,53.96923023066299,48.52973600906173,42.39032222887681,41.92339687245511,41.32980183732571,38.89087080059729,36.18818464136437,30.588140279336155,27.887806983632924,29.2472666099077,[x],[x],[x],[x],[x],[x],[x],[x],[x],,unknown
Unweighted base - number of people aged 16 and over [note 5],,8235,7248,9369,8136,8958,9292,10965,11738,11580,11404,11464,10966,11584,11373,[x],[x],[x],[x],[x],[x],[x],[x],[x],,unknown
Crime has gone up 'a little' or 'a lot' in the past few years,National,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],84.10291853176572,79.97714068790692,73.79368648921555,79.33621052949236,69.46743919412776,61.415694713442804,57.37414716543696,59.73326879284482,62.80706062821647,71.80053588725674,80.84642166266892,81.74019642332966,73.63031766184942,[s],unknown
Crime has gone up 'a little' or 'a lot' in the past few years,Local,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],48.961192540390726,43.44870078066606,40.0003688506088,39.29402217105106,34.59716723819671,32.25543870470191,30.285072922037592,31.311565516408834,37.17438613180013,43.194099127581204,49.60991184179744,50.695607837424426,48.959373445256595,[s],unknown
Unweighted base - number of people aged 16 and over [note 5],,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],34447,33119,34735,34119,26451,26554,25022,26300,26361,25872,16721,16594,15173,,unknown
