"table s30: worry about crime by personal characteristics, people aged 16 and over, year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units in this table are percentages.,,,,,,,unknown
Link to notes,,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,unknown
Link to table of contents ,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Personal characteristics [note 1],Personal characteristic breakdown,Percentage with high level of worry about burglary,Percentage with high level of worry about car crime,Percentage with high level of worry about fraud [note 2],Percentage with high level of worry about violent crime,Unweighted base - number of people aged 16 and over [note 3],unknown
All people,All people,7.789778477023866,5.417960869596292,15.815442379468154,7.6822245957893776,7894,unknown
All people,16-24,4.816667306227418,4.548350517734293,6.530038633491755,6.745261891554456,438,unknown
All people,25-34,8.118338681708167,3.640181103767844,9.801846919891222,7.846420348062684,1035,unknown
All people,35-44,7.69224541748456,7.1038705860273055,12.443294696760624,8.541890946688724,1214,unknown
All people,45-54,8.906324283531456,7.429246185991024,17.987967342166623,7.780342846050058,1225,unknown
All people,55-64,9.872143332034984,4.364212870381496,19.60457117321669,7.71622606737194,1392,unknown
All people,65-74,7.8667363579771585,5.414986727648876,25.23016126375871,8.443335559357383,1357,unknown
All people,75+,6.193190506969705,4.11756036563473,18.929714364952364,5.883043825533661,1233,unknown
Men,Men,5.69292206508853,5.178924588754451,12.39551264961803,3.461981301110595,3755,unknown
Men,16-24,3.0653780840750304,5.614951686566248,7.351616193851786,3.1611962190284415,203,unknown
Men,25-34,7.519558065434433,2.932059869326251,9.77104812239094,3.6197203082759257,459,unknown
Men,35-44,5.284417573819601,6.259036325055013,10.380357925030934,4.987152446715825,559,unknown
Men,45-54,6.03568920598909,8.60931006631078,13.130637885034952,3.9320793258565385,590,unknown
Men,55-64,6.578445606386363,3.2304668832474293,13.831323768183765,2.2522823609133296,709,unknown
Men,65-74,6.081778506451857,4.161678357010139,19.623807208713597,3.0372255019366987,649,unknown
Men,75+,4.3107026351817765,4.16883672846158,14.10859258815164,2.59085270525021,586,unknown
Women,Women,9.788785003865385,5.654142251473963,19.089554625041917,11.61086564597988,4139,unknown
Women,16-24,6.412211265409079,3.2789193472270717,5.412656578243966,11.456796848960954,235,unknown
Women,25-34,8.698190070420816,4.280554973351441,9.833947221966012,12.073120274921594,576,unknown
Women,35-44,10.174015560611002,7.916361262096511,14.438293998901514,11.906166410897326,655,unknown
Women,45-54,11.682889420740555,6.20706164942818,22.6873994737156,11.351787317427553,635,unknown
Women,55-64,13.119447504554692,5.371624215161556,24.607019151446394,12.374471866924555,683,unknown
Women,65-74,9.486107017036742,6.668224720401736,30.268927361265206,13.182947622038418,708,unknown
Women,75+,7.820779885064308,4.061933372869956,22.455495032338526,8.239782299612967,647,unknown
Ethnic group,White ,6.3187100109737,4.279923436786373,15.252507686658012,5.903578165049534,6892,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,6.238063086506472,3.8204602865314907,15.142309983247152,5.467689993202816,6345,unknown
Ethnic group,   Irish,6.180171050930239,3.1905203324614972,22.583294784317502,7.780342846050058,67,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],[u],[u],4,unknown
Ethnic group,   Any other white background,7.22777231372623,9.735693155197009,15.66053179496791,10.708277662659244,476,unknown
Ethnic group,Mixed/Multiple,9.940756496637086,8.113389281463522,12.774668529353367,13.982622980348314,98,unknown
Ethnic group,   White and Black Caribbean,[u],[u],[u],[u],29,unknown
Ethnic group,   White and Black African,[u],[u],[u],[u],24,unknown
Ethnic group,   White and Asian,[u],[u],[u],[u],19,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,[u],[u],[u],[u],26,unknown
Ethnic group,Asian/Asian British,20.46848968341401,15.22186430874892,19.403045377500575,18.388905590271804,537,unknown
Ethnic group,   Indian,19.082155276604926,10.67476880268748,24.047817616407464,19.73432543150141,215,unknown
Ethnic group,   Pakistani,19.284762233354503,16.260717579753965,17.076097033921965,15.646969543225147,139,unknown
Ethnic group,   Bangladeshi,[u],[u],[u],[u],34,unknown
Ethnic group,   Chinese,[u],[u],[u],[u],45,unknown
Ethnic group,   Any other Asian background,29.643541069787865,17.68943407850543,19.20645719475152,24.641013265416074,104,unknown
Ethnic group,Black/African/Caribbean/Black British,9.163956661142745,9.260319198097896,20.18039060228332,16.69511975582832,256,unknown
Ethnic group,   African,10.748083688274626,9.260319198097896,18.164675870407876,20.947237455811226,166,unknown
Ethnic group,   Caribbean,5.083717910580029,5.577706594170938,24.42530231032837,5.753114130485303,80,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],[u],[u],[u],10,unknown
Ethnic group,Other ethnic group,5.9534964928683545,4.150921603721338,9.303367823817114,2.9270919934419872,90,unknown
Ethnic group,   Arab,[u],[u],[u],[u],30,unknown
Ethnic group,   Any other ethnic group,7.477526222308321,2.328662594046828,9.092851670185844,4.468408150758583,60,unknown
Country of birth,Born in the UK,6.56401792377914,4.050009051998838,15.334444222943503,5.680826251507702,6600,unknown
Country of birth,Not born in the UK,13.022630511816935,11.993654778442101,17.258928798312944,15.910971080419415,1271,unknown
Marital status,Married/civil partnered,8.10520177934824,5.4317976269351735,16.5329189184553,7.301613823033978,3550,unknown
Marital status,Cohabiting,6.291193713012709,5.1599978760376235,12.525453834824349,6.7133927640707265,738,unknown
Marital status,Single,7.257276081608572,4.561422664750225,13.059718587747652,7.590612404855768,1934,unknown
Marital status,Separated,14.507594689615255,8.753410508078153,16.79273457803124,10.318421571036534,188,unknown
Marital status,Divorced/legally dissolved partnership,7.919942948062945,9.397158871652941,21.776707994367435,8.74194106814361,660,unknown
Marital status,Widowed,9.301921505369366,4.02082426032103,20.354075626226958,10.406822172277955,766,unknown
Respondent's employment status,In employment,7.154222668714382,5.442016344456646,13.734788934057192,7.270057378461496,4427,unknown
Respondent's employment status,Unemployed,9.924415290862537,7.178050319695996,14.21554338427105,6.675334688277417,86,unknown
Respondent's employment status,Economically inactive,8.759373001518664,5.129229141638563,19.150516327141588,8.401240912965449,3361,unknown
Respondent's employment status,Economically inactive: student,3.7840264204270757,4.0200766972612705,5.4310546866390474,11.17910571165539,148,unknown
Respondent's employment status,Economically inactive: looking after family/home,13.471910294741003,6.232451081157751,15.928815177386168,12.715397407560989,246,unknown
Respondent's employment status,Economically inactive: long-term/temporarily sick/ill,16.53953040453039,14.64977900468843,22.85463472941492,13.753677881725235,377,unknown
Respondent's employment status,Economically inactive: retired,7.316597089175339,3.8933669006380365,21.350917663113922,6.616854129846812,2457,unknown
Respondent's employment status,Economically inactive: other,13.035860546355282,8.50063280001156,16.246241202403436,6.3388217461923535,133,unknown
Respondent's occupation,Managerial and professional occupations,5.529083857561167,3.0238005677719575,13.042458831733795,5.331502238841905,3067,unknown
Respondent's occupation,Intermediate occupations,7.745918398376552,6.326979185426934,18.00207279476774,7.025745859238937,1722,unknown
Respondent's occupation,Routine and manual occupations,11.377537543857725,7.899586034275208,20.394626067719322,10.42003145762347,2318,unknown
Respondent's occupation,Never worked and long-term unemployed,10.63804110929722,9.587553475696298,10.774125795826427,9.143966216637976,399,unknown
Respondent's occupation,Full-time students,4.094854385759365,3.7821069352993404,6.304411206176876,13.331897051311955,243,unknown
Respondent's occupation,Not classified,5.919632689247538,9.898116611890263,16.831744447724983,5.951506300786854,143,unknown
Highest qualification,,9.793207280418633,10.001044031452226,19.02257850874553,11.722261163525133,1446,unknown
Highest qualification,O level/GCSE,8.668636045650077,5.623131069331447,15.317442278264204,6.37135246153141,1222,unknown
Highest qualification,Apprenticeship or A/AS level,7.136510445015929,5.716124094352101,14.83610372364729,6.762423684746084,1260,unknown
Highest qualification,Degree or diploma,6.49595209836644,3.44819926984648,14.026356045769067,7.033308615048471,3537,unknown
Highest qualification,Other,12.62562421458222,11.569515034087368,25.275429035582764,8.686285332790407,377,unknown
Disability [note 4],Disabled,11.378924832472878,7.375152555006395,22.8156505638124,10.021548662538041,1664,unknown
Disability [note 4],Not disabled,7.025373560096719,4.998884714568983,14.0646871817665,7.162120866159846,6195,unknown
Religion,No religion,5.065314921755597,3.575816500004334,10.821193798276685,5.144146451846629,3214,unknown
Religion,Christian,8.496059687472274,5.460246648405033,19.299973822500196,8.167235722960143,4046,unknown
Religion,Buddhist,[u],[u],[u],[u],40,unknown
Religion,Hindu,20.119819694620897,12.727933285829732,21.774155867275407,14.338387097993744,113,unknown
Religion,Jewish,[u],[u],[u],[u],26,unknown
Religion,Muslim,13.587811286409451,16.700717650811754,17.491222989402818,14.612352558598458,315,unknown
Religion,Sikh,[u],[u],[u],[u],43,unknown
Religion,Other,[u],[u],[u],[u],44,unknown
Sexual orientation [note 5],Heterosexual/straight,7.795826056164855,4.9220437436839015,15.774019915033872,6.874916152059585,6593,unknown
Sexual orientation [note 5],Gay/Lesbian,7.997090052281268,2.4720688946363807,11.948251773410687,7.80197745065888,102,unknown
Sexual orientation [note 5],Bisexual,4.588324334734852,3.123717002045664,5.854108249970758,16.558819770908727,146,unknown
Sexual orientation [note 5],Other,[u],[u],[u],[u],31,unknown
Gender identity [note 6],Same as the sex registered at birth,7.246731130503113,4.935710130844918,15.67335164791796,7.043663029716707,6454,unknown
Gender identity [note 6],Not the same as the sex registered at birth ,[u],[u],[u],[u],35,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Victim,12.293030585521784,8.379283302258388,20.219358506223813,10.26456258861838,1208,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Not a victim,6.931648614563554,4.81728734000064,14.919628145019015,7.138528900726886,6686,unknown
Hours out of home on an average weekday,Less than 3 hours,8.459341515340062,4.728074428995775,16.84892191714367,8.283201158751968,3461,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,8.32471392108005,4.0515968685407175,14.45871400201957,6.58142394745016,2054,unknown
Hours out of home on an average weekday,7 hours or longer,6.4961100728208345,7.142825503916145,15.447385348477585,7.830417783210384,2351,unknown
Number of evening visits to pub/bar in the last month,,9.596449684350294,7.3681356186626354,17.864688152315907,10.111559109139586,4523,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,5.753784819000548,2.897911096312787,13.697265318673955,4.731306128684744,2322,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,5.235196306255766,3.621351841146693,12.323064480470444,4.643838497203409,1043,unknown
Number of visits to a nightclub in the last month [note 7],,5.88369803356893,2.668826022100079,13.850633262884546,4.734721532378663,3082,unknown
Number of visits to a nightclub in the last month [note 7],1-3 times a month,3.882625878157369,5.280407343581861,7.025267607632165,4.418176578985928,245,unknown
Number of visits to a nightclub in the last month [note 7],4+ times a month,[u],[u],[u],[u],40,unknown
