"table s31:  worry about crime by household and area characteristics, people aged 16 and over, year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units in this table are percentages.,,,,,,,unknown
Link to notes,,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,unknown
Link to table of contents ,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Household or area characteristic [note 1],Household or area characteristic breakdown,Percentage with high level of worry about burglary,Percentage with high level of worry about car crime,Percentage with high level of worry about fraud [note 2],Percentage with high level of worry about violent crime,Unweighted base - number of people aged 16 and over [note 3],unknown
All people,All people,7.789778477023866,5.417960869596292,15.815442379468154,7.6822245957893776,7894,unknown
Structure of household,Single person and child(ren) under 16,8.817106853625942,7.742191703589561,16.7287650229839,7.457961561169412,305,unknown
Structure of household,Persons and child(ren) under 16,8.416338621333324,6.435359646620553,12.322823224261462,8.043005924331956,1434,unknown
Structure of household,Person(s) and no children,7.5587832401441,4.9604582485551765,16.909211675561224,7.572640835777554,6155,unknown
Total Household Income,"Up to £10,399",11.500284564404414,14.15700942395003,19.02076840758179,12.539014147718653,552,unknown
Total Household Income,"£10,400 - £20,799",11.597149370956938,7.493134538415752,18.210116753223446,9.094962969455157,1335,unknown
Total Household Income,"£20,800 - £31,199",7.022265474083995,5.659144345337188,19.16156474019641,7.952651102518987,1214,unknown
Total Household Income,"£31,200 - £41,599",8.761022194691375,4.508607637343787,16.780359234864804,7.648297926804605,891,unknown
Total Household Income,"£41,600 - £51,999",7.857390358188174,5.376020970740346,15.356495855337856,5.3079271318640275,745,unknown
Total Household Income,"£52,000 or more",4.911914570331059,3.494371085121705,11.00337501471315,4.915971186603109,1616,unknown
Total Household Income,No income stated or not enough information provided,10.921638391478206,9.980158835432212,16.977182919642896,18.847210077488867,136,unknown
Tenure,Owner occupiers,7.05705199161005,4.497786220506032,15.502129244960441,5.782224844565579,5304,unknown
Tenure,Social renters,12.185220872125877,10.365073313725786,20.99203332364547,10.282066922099915,1196,unknown
Tenure,Private renters,7.172221368580573,6.331689987156236,12.570845636729139,11.106781266574828,1307,unknown
Accommodation type ,House or bungalow,7.9578746858739935,4.9880383988831305,16.00942024576533,7.29134812803712,6665,unknown
Accommodation type ,    Detached,6.020071755321908,3.0447553763684847,15.407851797051094,5.101371229097854,2137,unknown
Accommodation type ,    Semi-detached,9.101191075540365,5.288129773099675,15.5451500171064,7.554960348764012,2467,unknown
Accommodation type ,    Terraced,8.44658143507941,6.833366837036965,17.10768526919496,9.134998613321528,2061,unknown
Accommodation type ,Flats/maisonettes,7.018793316878703,9.670046118147289,14.782683893258493,10.195743747329015,1184,unknown
Accommodation type ,Other accommodation,[u],[u],[u],[u],14,unknown
Output Area Classification,Rural residents,4.32809698646442,1.9336451455123576,15.545880051365637,3.8938626755172656,1113,unknown
Output Area Classification,Cosmopolitans,6.58836924728719,5.245680925127838,6.639940217247043,6.93752972505545,272,unknown
Output Area Classification,Ethnicity central,6.967456290886368,14.031540301004142,19.461047691261253,10.224684399958845,341,unknown
Output Area Classification,Multicultural metropolitans,11.330117840730857,9.73948128197549,17.714950242937945,14.271371029358592,954,unknown
Output Area Classification,Urbanites,5.90270257573415,3.628074983656134,12.795281916009843,5.698699447072275,1430,unknown
Output Area Classification,Suburbanites,5.735651049296856,3.222166632426053,16.112394720904632,4.439837564887362,1735,unknown
Output Area Classification,Constrained city dwellers,13.625976628101673,9.48218734607725,17.393284477141105,10.89927358931344,530,unknown
Output Area Classification,Hard-pressed living,9.960152886785668,6.748469804497521,17.980294475458074,9.136687751279073,1519,unknown
Area type,Urban,8.461397650894508,6.330394244604647,16.110700216220035,8.81277911208181,6158,unknown
Area type,Rural,4.835800199832799,2.2473655213789914,14.573616586060867,3.0273146960951727,1736,unknown
Level of physical disorder,High,10.78151242824704,14.240808151137996,17.068202397234938,13.574702547582696,510,unknown
Level of physical disorder,Not high,7.579990879677975,4.906280011978882,15.717271467000302,7.210538735250127,7378,unknown
English Indices of Deprivation (Employment),20% most deprived Output Areas,12.408072034049326,9.805677473353231,18.61225420876654,12.542832573488713,1356,unknown
English Indices of Deprivation (Employment),Other Output Areas,7.543996986788497,5.089131601347138,15.381928756566019,7.090892065397915,4402,unknown
English Indices of Deprivation (Employment),20% least deprived Output Areas,4.697102024067617,4.052309999277946,14.275916711094643,5.684758633102625,1488,unknown
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,11.650160068098325,2.5637004889596406,24.807672348394107,14.706052147921863,97,unknown
Welsh Indices of Deprivation (Employment),Other Output Areas,6.073894537584388,1.6527027444956501,13.330890800178134,2.5044369027357525,441,unknown
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,2.261701619577903,1.952448524951737,20.386177790283767,2.0549881747508376,110,unknown
Region,North East,10.465083453741936,6.227753332648449,13.417805979433146,7.977189927095085,414,unknown
Region,North West,9.963303663070308,4.845675507191915,19.312705054145255,8.519589504162811,898,unknown
Region,Yorkshire and The Humber,8.939340033242265,4.704372337853892,15.169291792388522,10.169541563465037,642,unknown
Region,East Midlands,7.327055846765713,5.764254416832882,13.031306541317281,6.758154676283418,809,unknown
Region,West Midlands,9.493981780563736,10.363900167345689,17.093814908759633,12.121413571742094,904,unknown
Region,East,7.0867878464847545,3.8987295337995205,17.75009694788754,8.468012183331606,860,unknown
Region,London,7.981295089666459,8.649531611354028,14.764413906791571,11.989696667592268,832,unknown
Region,South East,6.516602994638049,4.1416792826907445,14.734548415837143,6.3560390135472336,1103,unknown
Region,South West,4.749375348006364,3.583733848264318,14.689765224332247,4.2999755246276905,784,unknown
Region,Wales,6.306599857760767,1.8653636651874064,16.58237186846344,5.687547322465411,648,unknown
