"table s40: prevalence of domestic abuse, sexual assault and stalking among people aged 16 and over, by type [note 1, 2, 3, 4]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
"England and Wales, year ending March 2023",,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units used in this table are percentages.,,,,,,,unknown
Link to notes,,,,,,,unknown
Some shorthand is used in this table. [c] denotes that figures have been suppressed due to disclosure constraints. ,,,,,,,unknown
Link to table of contents,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Abuse type,Percentage of men who were victims once or more since the age of 16,Percentage of women who were victims once or more since the age of 16,Percentage of people aged 16 and over who were victims once or more since the age of 16,Percentage of men who were victims once or more in the last year,Percentage of women who were victims once or more in the last year,Percentage of people aged 16 and over who were victims once or more in the last year,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",13.8916514871776,26.9951509420964,20.5365418212237,3.19462307263279,5.65401294274821,4.43919306059337,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",10.1712797364265,22.6862410056449,16.5100777391857,2.05500405677558,3.95606123086351,3.01611193328351,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",6.47295802114746,11.0074636985808,8.77227962975747,1.45192990681893,2.18287887982635,1.82225355408827,unknown
Partner abuse - non-sexual,9.05367582844788,18.8321580097941,14.0038800652304,1.82720785925107,3.39672292706443,2.62155413469522,unknown
"Non-physical abuse (emotional, financial)",5.14723721758527,13.710310376628,9.49258505270492,1.2946670772198,2.59332143539708,1.95326548446398,unknown
Threats or force,6.74192464747709,15.2015043301431,11.0217705851047,0.91356701562303,1.62816907197024,1.27505380253564,unknown
Threats,3.42132152953306,12.140128233583,7.82889117497072,0.449358026647947,1.31695510947735,0.887816451148855,unknown
Force,5.85728223314001,13.2366221500475,9.58728328384001,0.647042233193514,0.723892766572387,0.685874564586234,unknown
Family abuse - non-sexual,5.59462977044153,8.26702039669195,6.95118970899957,1.33557325356424,1.90067126962969,1.62242852181094,unknown
"Non-physical abuse (emotional, financial)",2.91177417179601,5.14884637592383,4.04789645112382,0.870864753921238,1.50575229765009,1.19329206245857,unknown
Threats or force,4.1611167650338,5.98898395132155,5.08876970500124,0.622747540326474,0.821643276544397,0.723682228595617,unknown
Threats,2.61402748530731,4.20059724456898,3.41939579964068,0.524281009650452,0.662230324702661,0.594299833441505,unknown
Force,3.37630944695053,4.38846825335314,3.88965606653455,0.227256526663091,0.458334488386331,0.344452032873549,unknown
Any sexual assault (including attempts),6.14534213748786,26.5223746187424,16.4955218312242,0.904750591718848,3.16798416247244,2.05201532187569,unknown
Sexual assault by rape or penetration including attempts,0.779824715413874,8.61564479432695,4.75228628759989,0.0973688870164427,0.814759000829138,0.461012651503952,unknown
Sexual assault by rape or penetration excluding attempts,0.502309759311494,7.04597307001571,3.81909632125063,0.0505829489814292,0.432469034069652,0.244125213291343,unknown
- Rape including attempts,0.630386029206067,7.45906227650414,4.0914222296985,0.0946432095778829,0.479366128414027,0.289596568170927,unknown
- Rape excluding attempts,0.395062169681252,6.05816496700583,3.26228746054406,0.0277323267804758,0.334308825451475,0.182906304171917,unknown
- Assault by penetration including attempts,0.505352970815445,6.34393102855562,3.4610412213121,0.0505722308424799,0.610741198086161,0.33411478921729,unknown
- Assault by penetration excluding attempts,0.334463742823065,4.63496359202841,2.5099225939084,0.0507296137427318,0.241786264955372,0.147326692668263,unknown
