"table s42b: prevalence of domestic abuse, sexual assault and stalking in the last year among women aged 16 to 59, by type [note 2, 3, 7]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,age_band
"England and Wales, year ending March 2005 to year ending March 2023",,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. The units used in this table are percentages.,,,,,,,,,,,,,,,,,,,,unknown
Link to notes,,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [x] denotes that data are unavailable. [c] denotes that figures have been suppressed due to disclosure constraints. [s] denotes there is a statistically significant change at the 5% level. ,,,,,,,,,,,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,unknown
Abuse type,"Apr 2004 to 
Mar 2005
[note 8]","Apr 2005 to 
Mar 2006","Apr 2006 to 
Mar 2007","Apr 2007 to 
Mar 2008
[note 9]","Apr 2008 to 
Mar 2009","Apr 2009 to 
Mar 2010","Apr 2010 to 
Mar 2011
[note 10]","Apr 2011 to 
Mar 2012
[note 10]","Apr 2012 to 
Mar 2013
[note 10]","Apr 2013 to 
Mar 2014","Apr 2014 to 
Mar 2015","Apr 2015 to 
Mar 2016","Apr 2016 to 
Mar 2017","Apr 2017 to 
Mar 2018
[note 8][note 11]","Apr 2018 to 
Mar 2019
[note 11]","Apr 2019 to 
Mar 2020
[note 12]","Oct 2021 to 
Mar 2022
[note 6][note 12]"," Apr 2022 to 
Mar 2023
[note 1]",Apr 2022 to Mar 2023 compared with Apr 2019 to Mar 2020,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking) [note 13]",11.078051084845455,11.493999399514188,11.03047182954135,[x],8.884717245808067,9.236445747431231,9.052097106897676,9.050378129243757,8.78329928391209,8.465077319148648,8.165390279802123,7.709673219269052,7.452457391988314,7.922116558595046,8.383466971467522,8.085510771210465,7.907722639546198,6.49942502135976,[s],unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking) [note 13]",8.65073932620876,9.225465238632003,8.697371257098943,[x],6.987348134078495,7.364374097201099,7.408327936314041,6.883648949880264,6.658768427674999,6.793446766110581,6.475845062340719,6.230880299786246,5.9466231116544055,6.256980807506083,6.375420398669647,6.165795642731854,5.271204782412746,4.47387758508719,[s],unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking) [note 13]",4.336871539512716,4.356652870929509,4.342622541432125,[x],3.3357412117044585,3.170518101766942,3.1368506386160644,3.396725370812165,3.1512876463899984,2.5388491156157067,2.5378073327110857,2.183250304694842,2.031942158472958,2.4366603507838436,2.783265465467316,2.6646341019392707,3.564202045138382,2.60070776620424,,unknown
Partner abuse - non-sexual [note 13],8.625293705388907,8.777104856651162,8.644851039400082,7.538236298450419,6.538726123384942,7.178076724968522,6.44062097668439,7.023852624214969,6.078256537639273,5.9320273739687845,5.829772255247379,5.399304169547049,5.205224590337796,5.634464493511014,5.386574496652863,5.338462639811761,4.327309250258105,3.74723095973028,[s],unknown
"Non-physical abuse (emotional, financial) [note 13]",5.854566667074447,5.634773292338013,5.495721993656177,5.349678028923066,4.197981733493329,4.612131289790768,4.361206718179775,4.65336561024513,4.48934388028741,4.2144843328988895,3.9985415271805698,3.9384805425271443,4.0040690398472885,4.50316037620542,4.3124733895607035,4.141181711012202,3.444214406006086,2.90960658453941,[s],unknown
Threats or force [note 13],5.604157963269262,6.108059145189841,5.908326457471899,4.61994991949354,4.45860265683536,4.868333313041686,4.172799708627895,4.520087844773491,3.7442693015367623,3.6065785075636585,3.5866918511309316,3.047741361147224,2.7924847313533046,3.0137314306227196,2.7198523606895333,2.8086754558446643,2.1311439809081376,1.82167242726586,[s],unknown
Threats [note 13],4.183591184719106,4.771790191188417,4.6524044565514995,3.972830448563644,3.3439634222330987,4.078203205535926,3.2815491310360336,3.3998839071292073,3.0077485940514297,2.8144319142497727,2.865624602127769,2.310985947733376,2.171177475195244,2.3265602815472985,2.201236226812955,2.203765899179056,1.829934848241347,1.51371787386981,[s],unknown
Force [note 13],3.5634181351962,3.889816990341802,3.4808633995224074,2.9385539302063552,2.851179061413502,2.9104661152586537,2.7919877315824997,2.980770449063458,2.064218169750693,2.031989783834395,1.8551133023785875,1.709937407239519,1.5447026462363063,1.6806842213750994,1.554991113947459,1.5430645746367253,1.0008046497237748,0.791552521313551,[s],unknown
Family abuse - non-sexual [note 13],3.771962977892943,3.7655555780747743,3.865181937759148,2.580125868512119,2.84847097344626,2.773128520795045,2.83857077902249,2.6679994057325085,2.7123177537881107,2.1841137394377963,2.166725413271387,1.9086764895543105,1.7520931031195988,1.9042745867791777,2.472148365961334,2.2827268992684773,3.318271359353191,2.24002867007118,,unknown
"Non-physical abuse (emotional, financial) [note 13]",2.282936638649019,2.31242377194614,2.3961112007033516,1.5781587900377962,1.7326859875352674,1.825218719957625,1.6464155205434565,1.6721759558962017,1.7221464737589594,1.3582859751536904,1.3672093229909486,1.4075004003082539,1.195682794647462,1.443130556723629,1.6537002626355455,1.5788154031045947,2.7802217952633668,1.76141105745502,,unknown
Threats or force [note 13],2.30738816488124,2.566420928384435,2.5192090684294826,1.6589604256727974,1.906010345166302,1.657884830120982,1.7334117050575804,1.5878296888422694,1.6080105003407508,1.2531193849563032,1.3769055228491274,1.0289666020334727,0.9760089966581068,1.0465408043292233,1.4282423369984116,1.1782213873663832,1.685778559390413,0.994850163522339,,unknown
Threats [note 13],1.4350419939520416,1.7315433678232686,1.5520544904411815,0.9741349336480252,1.113384180145456,1.1289922736747144,1.249521153784315,1.1239111400088053,1.2023823594016252,0.9888911209714357,1.0309821973788695,0.8739005288607846,0.7955394349844657,0.8451669704184313,1.0357140287517577,0.9482066644839205,1.4336646732532907,0.817434676305464,,unknown
Force [note 13],1.7427299593638708,1.8538758264376156,1.8715587383462786,1.3325978325164667,1.5269553376479774,1.1641947975145632,1.2204596561391594,0.9151021444850902,0.8260895235460153,0.6784479668273743,0.778432987951577,0.5280467162250653,0.4600475088933598,0.5916057986219996,0.7429608675061532,0.5131129023792074,1.0626159771209898,0.56081068825682,,unknown
Any sexual assault (including attempts but excluding causing sexual activity without consent) [note 13][note 14],4.190962312249793,5.017764240346177,4.7937951786838475,4.455497883566788,3.7315378054756447,3.3545981739914437,3.819980968213631,4.189778666523314,3.018017242970581,2.229990723518826,2.70676542756478,3.229865030839238,3.079419028781737,4.222980180484625,4.451151543154411,3.5107148739470944,3.8809418149519077,4.19318342999319,,unknown
Any sexual assault (including attempts) [note 13][note 14],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3.2465499734073875,3.101322874283969,4.24715071229427,4.4746549459368135,[x],[x],[x],,unknown
Sexual assault by rape or penetration including attempts,0.9979313230739773,1.3477414285363811,1.1517852929934107,1.2331254842177914,1.007747798905497,0.8492419520932815,1.2196259008454762,1.2725244952606696,0.99524676159148,0.7052737039066505,0.6775351702560678,0.7159421917137501,0.868450676632067,0.8990640952356702,1.0922968773285648,0.9838565931019178,1.208161299554294,1.10453949167429,,unknown
Sexual assault by rape or penetration excluding attempts,0.7310585242543144,1.1129007611348631,0.9322454492686874,0.8769474818340546,0.7435811723810807,0.7326044224322292,1.023982615839205,0.7693784224796764,0.563379775720515,0.4179475638406586,0.37273466211261885,0.4482602653302012,0.5570527652116682,0.646486083495066,0.4451631147679556,0.7372153312650692,0.7557105102293581,0.58366246062103,,unknown
