"table s5: perceptions of the local police, by personal characteristics of people 16 years and over saying they 'strongly agree' or 'tend to agree', year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,unknown
Link to notes ,,,,,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,unknown
Personal characteristic [note 1],Personal characteristics breakdown,"
Police can be relied on when needed
(%)","
Police would treat you with respect
(%)","
Police would treat you fairly
(%)","Police understand local concerns
(%)","
Police deal with local concerns
(%)","Police in this area can be trusted
(%)","Overall confidence in local police
(%)",Unweighted base - number of people aged 16 and over [note 2],unknown
All people,All people,52.644297243616656,80.69309462653985,58.88143857832596,58.30747500140778,47.350846624870826,71.29385109284736,67.67463373140589,30871,unknown
All people,16-24,60.529994792402874,78.13737716967705,56.29019487552752,57.120369109382764,49.35795818704264,69.59249411152763,66.7701011851188,1661,unknown
All people,25-34,58.84225505223066,79.47376334475217,59.03504226391413,56.93541272675618,47.238045814519886,70.16254468964222,66.81631585262771,4197,unknown
All people,35-44,56.30879568161746,80.3474400688796,60.40021637091267,58.424243710062875,47.249911579969925,72.1950642931572,68.93826763710715,4888,unknown
All people,45-54,50.695923290279964,80.29467673287004,60.010164719159306,58.51728888364719,45.549041683861674,70.65105694675438,67.27056991862467,4689,unknown
All people,55-64,45.20246839191345,80.03033422262888,56.92094415955923,57.10490601952243,44.26141321810559,69.81909770575592,65.26658579771872,5391,unknown
All people,65-74,44.6590158719763,82.696599130318,57.87795191448553,58.605272022872214,46.09564082932402,71.57283370308886,66.91126306104148,5192,unknown
All people,75+,51.55850637885736,85.2970781717892,61.783585325726484,62.820921936489185,54.15067206829548,76.49870498328156,73.15508866812993,4853,unknown
Men,Men,52.00875816425988,80.12732285784145,60.772199258364424,57.51815015392735,46.7412258329332,72.21731313705408,68.29811361133781,14633,unknown
Men,16-24,62.80540019620401,79.91985866978249,62.31929800610615,59.07300542955524,51.747254174929814,71.96852973066413,70.43735632833264,832,unknown
Men,25-34,57.22475887847275,78.32312039270587,59.916674498793064,55.94157395930661,47.349486082712055,70.70169620634454,67.60370714692918,1927,unknown
Men,35-44,53.33674352865351,78.68982008954039,59.93145095508674,54.9786459857683,43.962298016522965,72.01216310450049,68.15982954154852,2200,unknown
Men,45-54,50.758897721743025,79.8683924495335,62.43002123421443,57.64358708737145,46.09204187079434,71.95768351970415,67.56152245292604,2238,unknown
Men,55-64,45.12085028657014,79.92706434205584,59.85025020742726,57.293425307062094,44.013451316439614,71.76879169859114,66.26690997884151,2656,unknown
Men,65-74,44.35221008375004,82.81957789531205,59.33003756402533,58.39357921990772,44.370786746630394,73.18958415354942,67.80617933578617,2528,unknown
Men,75+,49.13220062839843,83.3531704646939,62.16525546176952,61.52700789548767,52.08248917325192,75.50700742357387,72.0166932878277,2252,unknown
Women,Women,53.25889528816291,81.23951648782715,57.045821112291286,59.06992845532697,47.94038109320333,70.39824836552806,67.07239323486283,16238,unknown
Women,16-24,58.13350739058586,76.25600946262666,49.882499845357664,55.05440067308239,46.82833374131721,67.06394847460368,62.90404306605384,829,unknown
Women,25-34,60.500354673151115,80.64982030778116,58.13294721104278,57.944898584868994,47.124363067624984,69.61133404356616,66.0113950509519,2270,unknown
Women,35-44,59.21260344447368,81.97813908254679,60.861426412610996,61.79541137930643,50.447445184796514,72.37378563220904,69.69908333667681,2688,unknown
Women,45-54,50.634646806228176,80.70893885471563,57.658244335471295,59.37189690445567,45.01799878240858,69.37366643328699,66.98759410918336,2451,unknown
Women,55-64,45.28116352502744,80.12959700335219,54.07360669072524,56.923504323169624,44.50142467246394,67.92792033558551,64.3005467854922,2735,unknown
Women,65-74,44.94501933328945,82.58227891456562,56.51402925893974,58.80126317363366,47.70067816851904,70.05660956738772,66.0805003913249,2664,unknown
Women,75+,53.53902465599879,86.8723495944342,61.47346095733217,63.87515090417719,55.829803508554676,77.30583548874887,74.08270747135377,2601,unknown
Ethnic group,White ,50.441166577873695,81.56801987016624,58.208571881339836,58.20156361289776,46.129871032672256,71.70859740757693,67.68715381959261,26873,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,49.194220012808884,81.53568717834585,57.84598365393288,58.23351484230589,45.587139244671974,71.6136371992668,67.38822204272759,24749,unknown
Ethnic group,   Irish,51.04958382581003,77.19739993319675,45.1039476010174,52.49403674462596,46.412914400344086,60.23283796350395,61.76760739739602,268,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],[u],[u],[u],[u],[u],12,unknown
Ethnic group,   Any other White background,63.08813105607023,82.4896169872977,63.56562982864698,58.57964395474342,51.6700384148816,73.97903783542438,71.52228453519098,1844,unknown
Ethnic group,Mixed/Multiple,51.69122581440577,73.506415994651,51.638597595374016,49.33189893833997,42.12342421485721,58.92674818537844,56.63705814103831,429,unknown
Ethnic group,   White and Black Caribbean,50.173106663699244,67.69336471211085,46.913000315344334,47.457629968340626,41.543944256372356,54.73677783774523,49.38619342535608,118,unknown
Ethnic group,   White and Black African,57.930817035155066,78.73768607457859,62.41909894988029,50.73096684765751,45.31527918411772,63.511660774112435,61.286191875370754,79,unknown
Ethnic group,   White and Asian,46.70603661712568,71.04111120119246,50.77309004354059,52.09417858619667,40.45484067459158,60.91740099506558,64.01508288995913,111,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,53.74981249301215,77.97868068347331,50.067822516879424,47.69180573491482,42.15543925044518,58.13048604063383,53.68993897413114,121,unknown
Ethnic group,Asian/Asian British,64.37107224110078,79.42969786142167,67.47771744187482,62.38794421483009,56.57185467969137,74.86852362104783,72.51387381176346,2212,unknown
Ethnic group,   Indian,65.05441130500903,80.15495275511076,68.94144052253769,60.52522261932681,54.57809885830164,75.69655029812026,72.50132874904287,938,unknown
Ethnic group,   Pakistani,61.75092279540194,77.97003478411786,63.251476385931035,61.74106434841726,54.008604233464176,70.46279076742805,67.96401331651644,514,unknown
Ethnic group,   Bangladeshi,64.72868174650772,78.4419523384426,64.38452762395418,63.59525131614804,55.77485223909607,67.22482377150605,70.66740089511802,158,unknown
Ethnic group,   Chinese,62.62233820464762,77.08698467269048,68.86009575165426,66.10250549343704,59.88997308515178,80.54580578244776,73.02194409894558,210,unknown
Ethnic group,   Any other Asian background,67.3660011026735,81.55335811891882,71.30679176460293,64.92596268081986,63.35138668321102,80.38549622776681,79.73953558631582,392,unknown
Ethnic group,Black/African/Caribbean/Black British,64.2406345400201,69.10079732814218,51.23291289186547,53.044863751697434,49.0875212088088,58.55497311149218,60.19327582771625,964,unknown
Ethnic group,   African,67.63676797849006,72.52136747303737,55.50571797149127,56.73944337008804,53.2200072323684,64.05164793170457,64.85464144657006,636,unknown
Ethnic group,   Caribbean,58.41758712356354,62.42116987434243,41.61790568202048,45.12204807522014,40.02768196816005,46.27895816469168,49.138123005900766,275,unknown
Ethnic group,   Any other Black/African/Caribbean background,45.233176083429704,53.96655708692501,37.63657805304363,40.138843849309865,34.828116558695534,41.91190623981885,48.303981499331094,53,unknown
Ethnic group,Other ethnic group,66.91193737773085,80.12070417786285,67.72742784698195,62.23409226114239,56.56633306001597,71.79627789919681,68.44252575425813,328,unknown
Ethnic group,   Arab,65.9041331927123,78.9984324982093,64.81173398130363,61.5131778849032,57.535478194276756,70.25145161777596,67.31044816884378,117,unknown
Ethnic group,   Any other ethnic group,67.53146578645207,80.78572846662009,69.5589314522714,62.6902925300702,55.961191594822154,72.75443852909595,69.14628985062392,211,unknown
Country of birth,Born in the UK,49.46452119400973,80.58630950120549,57.143213445617306,57.5241942332148,45.22117162795821,70.54214176821355,66.45713127378745,25790,unknown
Country of birth,Not born in the UK,65.37393193700598,81.40141417442099,66.1237912008929,61.83850719453217,56.23932111580336,74.42966605261847,72.73510657215542,4988,unknown
Marital status,Married/civil partnered,51.27291063201276,82.28473210306676,61.06917022293895,59.975702852416646,48.172651627497125,74.02071193500498,69.68226110381582,13883,unknown
Marital status,Cohabiting,51.20344125034465,81.5394228866443,56.354840210118965,55.672066580370014,43.21136282371094,70.25638121898216,66.13400110853937,2869,unknown
Marital status,Single,56.24983306789537,76.8789561564965,55.981805599933,55.19002374454447,46.58412624869514,66.79595673011426,64.2334855870433,7417,unknown
Marital status,Separated,49.31774945921209,79.950157943129,56.7357266314119,58.55069897357268,44.13762154029565,68.55325690027271,65.30164035689201,764,unknown
Marital status,Divorced/legally dissolved partnership,48.10674671200946,80.37854820190064,56.53780229189057,59.118616169121566,46.27934025381092,68.23294951641373,64.83641315619319,2604,unknown
Marital status,Widowed,55.64871578154836,84.90645827023464,61.86734457018221,64.27939383957332,55.538899851143164,76.3833773511589,74.03036082405372,3127,unknown
Respondent's employment status,In employment,53.7782402951209,80.67926572914509,58.70590664706202,58.117316580325806,46.33268714846164,71.49641137092135,67.84369951096998,17324,unknown
Respondent's employment status,Unemployed,55.07326747010512,80.01116894326927,58.650542947858575,59.80261358887198,45.89486566652526,67.6033634288724,67.30179397028311,337,unknown
Respondent's employment status,Economically inactive,50.57365947150352,80.8299962339929,59.267616215452094,58.62762389117662,49.18033336129148,71.20180372635215,67.52551544107361,13145,unknown
Respondent's employment status,Economically inactive: Student,61.58988411508432,77.39308907422861,59.29037840335819,55.44416249918943,51.16365645480509,71.2274431669613,67.82548485724385,582,unknown
Respondent's employment status,Economically inactive: Looking after family/home,58.33457889901824,81.46288581967245,64.53225317108104,63.53187623570384,54.26140134947889,69.5071455174876,67.8021436797136,1021,unknown
Respondent's employment status,Economically inactive: Long-term/temporarily sick/ill,48.054035231074245,71.66365719886964,52.49927366988486,51.69750953740806,43.0905697728696,58.562929538701724,56.373328760482146,1456,unknown
Respondent's employment status,Economically inactive: Retired,47.74265192676197,83.86921487764623,60.02729233504523,60.63330528208134,49.63598712748148,74.48233513202173,70.44605695592627,9577,unknown
Respondent's employment status,Economically inactive: Other inactive,48.94819032897951,70.0431906837365,53.97289054312439,46.92697897304061,41.93675973063243,61.41193499943773,54.26372614843258,509,unknown
Respondent's occupation,Managerial and professional occupations,49.82915242542084,82.06037956805284,55.48141434526501,57.46369504481957,44.09786526829762,72.78794840110476,68.65450028139884,11825,unknown
Respondent's occupation,Intermediate occupations,50.720685924524474,81.3502709162594,59.46414135323543,58.7361437297972,46.696921047793424,71.61578510705651,67.51750177464383,7002,unknown
Respondent's occupation,Routine and manual occupations,54.69510318802241,80.46453861248902,62.76015049481075,59.578575509774566,50.385872265738506,70.24145386724862,67.34895028500085,9112,unknown
Respondent's occupation,Never worked and long-term unemployed,58.714458370658264,74.81173603572924,61.654849638463894,60.526444782621105,56.477232654196506,68.18453737713332,65.89748750957321,1472,unknown
Respondent's occupation,Full-time students,61.344339842723606,79.00204961145099,59.771803658338044,57.0274006569532,50.12683247234032,71.49633209389509,68.05663009773767,928,unknown
Respondent's occupation,Not classified,55.2319642572743,68.98681855554109,52.081682877339745,50.03273335273949,41.95366573424378,59.621911369154205,57.24290620587953,528,unknown
Highest qualification,Degree or diploma,51.96466966037544,81.91561054265985,56.06549545920967,58.05766168991467,45.470439758118445,72.73303536418508,68.54582549083436,13830,unknown
Highest qualification,Apprenticeship or A/AS level,52.04413961467142,80.78222235656659,60.24567703039464,58.1630958530074,45.58766817530423,72.12978798799074,67.6676822966719,4845,unknown
Highest qualification,O level/GCSE,50.232688514991686,80.14493840724452,60.53439674610477,57.497302021463604,47.065605717888396,69.0563315310476,65.99112679928737,4979,unknown
Highest qualification,Other,57.282579827027256,82.25794175945951,63.137952215165136,59.89120128774486,51.5843873016655,73.7502564685936,68.96153272679464,1459,unknown
Highest qualification,,56.30671660626867,77.53761636516711,62.672390640306176,59.98651816220231,53.87981479222586,68.11408797093249,66.91387535091833,5580,unknown
Disability [note 3],Disabled,47.60614847154251,78.25522915273105,52.76635966131036,54.247153019525385,43.123768694619315,66.86731512899878,62.19633326039764,6706,unknown
Disability [note 3],Not disabled,53.78729732432747,81.2837699677076,60.27069545002283,59.23838253993565,48.33638069895937,72.32585836563231,68.92993315146082,24051,unknown
Religion,No religion,49.85581141072886,78.93535390419832,54.62831452927486,55.02129996211138,42.95652005290745,68.2517528502646,64.8720512601557,12438,unknown
Religion,Christian,52.70230531938274,82.82438927832142,61.339386401424555,60.69826984332798,49.6163773643298,74.12924337705098,69.91012996762008,15853,unknown
Religion,Buddhist,55.517373652574,78.18620498903412,62.336533887204595,60.35722743473227,51.370244236399145,72.31189374565048,71.1907359328429,156,unknown
Religion,Hindu,66.73611049967505,79.9058366774309,69.74889653338535,60.8110601843187,58.6276209104925,75.19031261804882,73.32753858165685,542,unknown
Religion,Jewish,50.336288007268315,77.64556138117264,48.56103438867256,60.14465261782369,42.77406987266847,66.09326265334127,63.919927077698034,117,unknown
Religion,Muslim,64.43729981221406,77.51920312736861,64.66252030636338,61.56502020104302,55.11683142961906,69.7695772829643,68.45401231280039,1233,unknown
Religion,Sikh,64.99607002570656,85.70154760425072,71.44494635762956,66.60588191382595,58.78629240792221,78.40024105905655,73.9568657972879,193,unknown
Religion,Other,46.870608096847896,75.31352594927381,50.81863057829076,52.46391024913185,44.87533258089712,63.35071843309482,56.14218327830805,184,unknown
Sexual orientation [note 4],Heterosexual or straight,52.8487075389364,82.03381468906093,60.170319055548525,59.42865951509086,47.90129216225474,72.69897324127174,69.03585385607694,25713,unknown
Sexual orientation [note 4],Gay or lesbian,49.67152420154863,81.36852423775395,50.77565672531773,52.858908252313654,40.022771291090535,65.5585841538538,61.519460726565924,430,unknown
Sexual orientation [note 4],Bisexual,54.854990756387465,74.9488202798333,44.68800300428921,53.12988539227062,43.67302730673089,66.2367378586906,61.56570818830204,522,unknown
Sexual orientation [note 4],Other,40.9486046554106,68.67038271077918,32.19378230368456,49.58665868316125,35.333283394695,56.52860045864089,52.97375068475632,128,unknown
Gender identity [note 5],Gender identity the same as sex registered at birth,52.39664831558871,81.48977108971305,58.9676091258276,58.72824262602811,47.11774649658818,72.1147208391962,68.27079068507538,25308,unknown
