"table s6: perceptions of the local police, by household and area characteristics of people 16 years and over saying they 'strongly agree' or 'tend to agree', year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,unknown
Link to notes ,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,unknown
Household or area characteristic [note 1],Household or area characteristic breakdown [note 1],"Police can be relied on when needed
(%)","Police would treat you with respect
(%)","Police would treat you fairly
(%)","Police understand local concerns
(%)","Police deal with local concerns
(%)","Police in this area can be trusted
(%)","Overall confidence in local police
(%)",Unweighted base - number of people aged 16 and over [note 2],unknown
All people,All people,52.644297243616656,80.69309462653985,58.88143857832596,58.30747500140778,47.350846624870826,71.29385109284736,67.67463373140589,30871,unknown
Structure of household,Single person with child(ren) under 16,55.63727063426449,75.59379215447383,56.340218352183754,58.83148222339499,45.09964091978974,63.28125776042399,61.54856765327048,1281,unknown
Structure of household,Persons with child(ren) under 16,58.301810492203984,82.52919300647095,63.292370727003586,62.117993934857715,51.67751603616502,75.28090213474829,71.34123491865502,5790,unknown
Structure of household,Person(s) and no child(ren),50.67046778303943,80.26491977251955,57.50174156389668,57.027337590302785,45.99858110057379,70.25307005890974,66.67482705196144,23800,unknown
Total household income,"Less than £10,400",55.75779221207505,77.2763776337387,60.00007654028479,59.458975315192845,51.642797874552485,69.73017501388588,67.48836634384202,2244,unknown
Total household income,"£10,400 to less than £20,800",52.919501949168065,79.72097950129485,60.47754446600923,58.64965527098508,50.72246013823093,69.80521566011909,67.26664399722968,5239,unknown
Total household income,"£20,800 to less than £31,200",50.49436834975206,80.3818547835578,60.14792684468787,58.14519059726004,47.61269699832815,71.24645351952861,67.96174968519823,4705,unknown
Total household income,"£31,200 to less than £41,600",52.35030107068117,81.2161035228781,60.68781749315831,57.90632016161488,45.85821388685816,72.45883738934315,67.8420544993069,3468,unknown
Total household income,"£41,600 to less than £52,000",52.46431675852988,82.99442877678935,58.46745381250918,58.80357342840193,46.86821704946566,72.37561025124614,68.49193566198024,2992,unknown
Total household income,"£52,000 or more",51.05220436354772,83.20572657675297,55.67429341736864,57.279841921308794,43.46762461100139,73.67735503598072,69.31608745750061,6291,unknown
Total household income,No income stated or not enough information provided,54.07372562163184,76.87988671668334,58.15191286899124,59.2211361153807,52.28273999346289,67.92201305724616,66.62084158978175,493,unknown
Tenure,Owner occupiers,49.97441520967775,82.36116731083368,58.99269201425006,59.008852883044646,46.25087805896628,73.014594583532,68.74025713213693,20644,unknown
Tenure,Social renters,54.472405959238344,76.33121468019971,57.72900448185834,55.17457904991324,47.34286931211287,64.45053137196558,61.682387019839105,4561,unknown
Tenure,Private renters,58.902255706629546,78.91174063544962,59.0253402972036,58.52328109144699,50.43325277280205,70.95234513560969,68.88341684632631,5340,unknown
Accommodation type ,Houses,51.664487958451346,81.16991001389457,59.168833085937045,58.7281281427119,47.12562671215244,71.91636909844647,67.79012284016207,26176,unknown
Accommodation type ,Detached,48.510385991706364,83.03503034232625,60.4458472458231,60.28223070257077,48.613777850587894,75.82926426813222,70.20356006569949,8390,unknown
Accommodation type ,Semi-detached,52.81372932529811,81.7717653910733,59.91341259608024,59.19814720322564,53.184366476886154,71.86595564628477,68.24532385897541,9630,unknown
Accommodation type ,Terraced,53.26849220765647,78.82959376420091,57.21945186087751,56.81867350765566,46.43342255048227,68.44316105464216,65.11751003511303,8156,unknown
Accommodation type ,Flats/maisonettes,58.36905190613179,78.03048522210041,57.043581081663866,55.82263408325786,48.613777850587894,67.85327507371946,66.94977841373353,4482,unknown
Accommodation type ,Other accommodation,53.77377184584622,83.99843215651354,62.28869684602824,61.154147804192014,53.184366476886154,70.60526015301124,76.70114665014744,80,unknown
Output Area Classification,Rural residents ,48.52184722308197,83.73667527337115,61.72625901234492,61.80155836545237,48.51533608048658,75.48590705784179,71.36930935900764,4246,unknown
Output Area Classification,Cosmopolitans ,55.50667184861613,79.47433114663775,50.98785822374351,55.76681236649465,41.452044772448495,69.26703619633146,67.8854326909885,1073,unknown
Output Area Classification,Ethnicity central ,57.19585643272649,74.86794760490552,50.27076148568423,49.404763864882526,44.69111865742062,59.76675681776017,59.20617809789642,1364,unknown
Output Area Classification,Multicultural metropolitans ,58.47771524393606,77.36055415519719,60.167726014099564,57.40262483955934,49.56393009836975,69.33336734313812,66.48098712749625,3711,unknown
Output Area Classification,Urbanities ,52.677066326621926,82.53298604301933,59.15146670891275,60.1583549965344,49.308317988059756,75.48102535698791,71.10517297486598,5738,unknown
Output Area Classification,Suburbanites ,50.18272902396088,83.63490837767094,61.16609050581873,60.16268242194208,47.168078918447364,74.89672613844058,70.0838266408678,6838,unknown
Output Area Classification,Constrained city dwellers ,52.16281181171855,78.71563761433286,58.16258647983831,55.11765027743726,46.390150343841405,67.38670344191547,64.26835271025895,2101,unknown
Output Area Classification,Hard-pressed living ,50.81943766536763,79.43694723037082,58.834660895276436,57.994828092083225,45.87831165357922,68.03289901128903,64.2431062846788,5800,unknown
Area type,Urban,53.47662874522722,80.02487447818237,57.9843946432536,57.51706305353713,47.080401311380065,70.2167070323176,66.82097310223078,24043,unknown
Area type,Rural,49.06553937918873,83.53803094014054,62.716586732897895,61.68246152518022,48.50934174594192,75.87696226180715,71.3104376186248,6828,unknown
Level of physical disorder,High,51.63251729596185,73.5139894470976,56.08134328178067,53.29321583390131,47.544172167372494,64.70248670490622,61.52519786826536,2061,unknown
Level of physical disorder,Not high,52.72469198921637,81.2465748936343,59.08621737588858,58.69377953995134,47.3315224449172,71.80383498622345,68.15469311244657,28772,unknown
English Employment deprivation index,20% most deprived output areas,52.93000623890769,78.22657623094668,57.904007890077445,57.297001629959766,46.222056616435225,65.23185463874778,62.33467898711047,5312,unknown
English Employment deprivation index,Other output areas,52.79273766022745,80.78860246059621,58.53852938821736,57.99864737281971,47.210831572123894,71.88095146205717,67.74414434356765,17285,unknown
English Employment deprivation index,20% least deprived output areas,51.86051267479884,83.20148141466532,59.80859342581937,59.326661192893624,48.13443699788472,75.29949553114655,72.58094101124928,5822,unknown
Welsh Employment deprivation index,20% most deprived output areas,52.97482250181977,76.0754919917771,64.36640501414561,58.40555064691666,49.73009303051669,66.62988831558361,64.89307687370034,370,unknown
Welsh Employment deprivation index,Other output areas,53.758992473028464,78.74661649233349,62.40041179836056,63.54666613572873,50.925268762122634,70.56944319584602,67.03264860081102,1630,unknown
Welsh Employment deprivation index,20% least deprived output areas,49.66731277106604,82.89699065091159,61.59966000783304,56.47989491660709,46.24265010010429,77.95103525524601,71.61911915948747,452,unknown
Region,North East,52.61447735238329,82.21912958854635,62.32346154017073,62.95273412986266,48.23662836822442,73.34538967311039,65.91632950012,1630,unknown
Region,North West,53.96791748038957,82.31930138231652,58.77301679491893,60.62523294044225,47.405098615415895,70.92987264030151,66.66657882747752,3627,unknown
Region,Yorkshire and The Humber,51.63199604781654,83.01352146152516,59.368955576407444,61.09708289858601,47.544429303269595,72.84007246437294,68.26447310723673,2475,unknown
Region,East Midlands,49.41042103121013,74.72713064651238,54.40599470841744,53.068032082904104,43.01648348614797,65.1410625974574,64.18329865575507,3109,unknown
Region,West Midlands,47.83250754740025,78.2103776324084,60.01136351399074,58.85824138568155,46.527239788342996,68.87302926259521,64.78529878512433,3558,unknown
Region,East,52.54006632918373,82.50258241975091,63.24162762244073,58.364806588208374,50.722499699029775,76.2285650569549,71.20785449388923,3411,unknown
Region,London,58.889643541132045,76.73753192776444,54.375028328325584,53.51810842836531,47.11950703307192,65.76872050971195,64.35927045196331,3192,unknown
Region,South East,51.06264238786756,83.5201340679196,58.7505408293715,57.32141365934774,45.90961430638629,74.98262449291549,70.65661620189584,4366,unknown
Region,South West,52.38479897709547,83.91892373169746,60.27884010269747,61.72551298515351,48.91045442368698,74.57997530868543,71.8187309263092,3051,unknown
Region,Wales,52.89823609483385,79.05508356019952,62.58569808400247,61.38997390682165,49.8710173015604,71.24377030852202,67.50222641005266,2452,unknown
