"table s8: public confidence in the police and local council, by personal characteristics,  people aged 16 and over, year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,age_band
England and Wales ,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,unknown
Link to notes,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,unknown
Link to table of contents,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,unknown
Personal characteristic [note 1],Personal characteristic breakdown,Agree that police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area (%),Disagree that police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area (%),"No opinion 
%",Unweighted base - number of people aged 16 and over,unknown
All people,All people,49.826077224153536,20.416024591055493,29.757898184790665,30043,unknown
All people,16-24,51.457331538558414,16.59093874776337,31.95172971367834,1628,unknown
All people,25-34,50.06870995787174,20.482301156349543,29.44898888577864,4110,unknown
All people,35-44,50.76424640124236,20.866457837328568,28.369295761428813,4760,unknown
All people,45-54,47.70021631570057,23.141932501047418,29.157851183252035,4592,unknown
All people,55-64,46.69033737624663,23.396890292547823,29.91277233120498,5277,unknown
All people,65-74,49.17384615527317,20.826550102423536,29.999603742303403,5032,unknown
All people,75+,54.81420454937909,14.99258456496089,30.19321088566028,4644,unknown
Men,Men,49.533300422024055,20.525421375360605,29.94127820261544,14269,unknown
Men,16-24,54.327813968267066,15.951751786131146,29.72043424560182,815,unknown
Men,25-34,49.53024742794856,20.872636991667186,29.597115580384266,1880,unknown
Men,35-44,49.79412076984341,20.406861447396953,29.799017782759538,2146,unknown
Men,45-54,46.557060134925614,22.516840107968935,30.926099757105643,2191,unknown
Men,55-64,46.42691415364297,23.887063430345282,29.686022416012,2608,unknown
Men,65-74,48.21734039539796,21.045462517823488,30.73719708677843,2459,unknown
Men,75+,54.368101244891214,16.753900143634805,28.877998611473977,2170,unknown
Women,Women,50.10972261325991,20.310039782062578,29.580237604677,15774,unknown
Women,16-24,48.42971524456236,17.26511561779698,34.30516913764072,813,unknown
Women,25-34,50.61455797809694,20.08661151948401,29.298830502419136,2230,unknown
Women,35-44,51.717660723840694,21.31813725553274,26.964202020626757,2614,unknown
Women,45-54,48.80922719235611,23.748353805937484,27.442419001706412,2401,unknown
Women,55-64,46.94548521907844,22.922115830802998,30.132398950118464,2669,unknown
Women,65-74,50.070216941994445,20.621400586083187,29.308382471922243,2573,unknown
Women,75+,55.18388256323946,13.533013119613566,31.283104317147227,2474,unknown
Ethnic group,White ,48.42065704649762,21.561705939961005,30.017637013541165,26145,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,48.120507126479716,22.134395744880695,29.745097128638704,24082,unknown
Ethnic group,   Irish,47.15104640963204,21.871190769626374,30.97776282074159,262,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],[u],12,unknown
Ethnic group,   Any other White background,51.581076991267516,15.555682862908762,32.863240145823916,1789,unknown
Ethnic group,Mixed/Multiple,45.24974158562132,25.85092731609878,28.899331098279884,424,unknown
Ethnic group,   White and Black Caribbean,42.91360750691982,28.96328454105479,28.123107952025347,118,unknown
Ethnic group,   White and Black African,57.14912998953874,19.984155840564906,22.86671416989631,76,unknown
Ethnic group,   White and Asian,39.235668680952976,26.60441949598739,34.159911823059666,108,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,45.52862101498327,25.87425600456429,28.597122980452475,122,unknown
Ethnic group,Asian/Asian British,58.8682525860493,13.846442287647353,27.285305126303264,2155,unknown
Ethnic group,   Indian,58.75493251119486,13.353359456887857,27.89170803191736,914,unknown
Ethnic group,   Pakistani,56.86405191602847,19.991547684335952,23.144400399635575,503,unknown
Ethnic group,   Bangladeshi,58.4715199547091,13.543293322364335,27.985186722926574,155,unknown
Ethnic group,   Chinese,57.7572898261819,10.159617965090057,32.08309220872807,204,unknown
Ethnic group,   Any other Asian background,62.76631475690286,8.037981940672646,29.195703302424576,379,unknown
Ethnic group,Black/African/Caribbean/Black British,54.75524384528363,13.502044782567385,31.742711372148936,948,unknown
Ethnic group,   African,59.38124225916071,10.830170084473094,29.788587656366197,623,unknown
Ethnic group,   Caribbean,44.54951491799904,20.85460703964058,34.59587804236042,274,unknown
Ethnic group,   Any other Black/African/Caribbean background,39.61133996565213,14.584101217298505,45.80455881704936,51,unknown
Ethnic group,Other ethnic group,60.481023270649835,12.293443564080503,27.22553316526952,313,unknown
Ethnic group,   Arab,61.21186026638392,8.32458466594237,30.46355506767372,114,unknown
Ethnic group,   Any other ethnic group,60.01382271459713,14.830607247540273,25.155570037862596,199,unknown
Country of birth,Born in the UK,47.97588367728945,22.231857580449024,29.792258742261183,25115,unknown
Country of birth,Not born in the UK,57.39507629221114,12.934282458698652,29.670641249090334,4840,unknown
Marital status,Married/civil partnered,50.767729429447456,20.64487866089473,28.58739190965808,13562,unknown
Marital status,Cohabiting,45.1601470044429,24.623079414881268,30.216773580676037,2791,unknown
Marital status,Single,49.41097468651039,18.8728438575894,31.716181455899857,7243,unknown
Marital status,Separated,48.24709695176145,21.510308048226605,30.242595000011807,736,unknown
Marital status,Divorced/legally dissolved partnership,49.60202759051576,22.549996025057304,27.847976384426776,2522,unknown
Marital status,Widowed,54.53067582502356,14.765702928049626,30.703621246926726,2988,unknown
Respondent's employment status,Employed,49.07673744823701,21.28129897563289,29.64196357612963,16957,unknown
Respondent's employment status,Unemployed,44.89201435673145,22.849423408912333,32.25856223435615,329,unknown
Respondent's employment status,Economically inactive,51.34601495469363,18.801727171044867,29.85225787426155,12697,unknown
Respondent's employment status,Economically inactive: student,52.779106844641525,12.728320390337842,34.49257276502067,572,unknown
Respondent's employment status,Economically inactive: looking after family/home,56.02422944816332,18.754569723589707,25.221200828246953,990,unknown
Respondent's employment status,Economically inactive: long-term/temp sick/ill,44.20293698145722,27.98251471154554,27.814548306997306,1430,unknown
Respondent's employment status,Economically inactive: retired,51.78914552458898,17.887338238200893,30.32351623721023,9212,unknown
Respondent's employment status,Economically inactive: other,48.46590684710264,24.91612201146993,26.61797114142732,493,unknown
Respondent's occupation,Managerial and professional occupations,48.63362158766384,20.8592693837595,30.507109028576707,11556,unknown
Respondent's occupation,Intermediate occupations,48.6445489375539,21.33331792635299,30.022133136093068,6785,unknown
Respondent's occupation,Routine and manual occupations,50.725409659211024,21.145671328499713,28.12891901228916,8849,unknown
Respondent's occupation,Never worked and long-term unemployed,55.322588780625246,17.503867793286272,27.17354342608848,1427,unknown
Respondent's occupation,Full-time students,52.89256827013343,13.948586236567326,33.158845493299225,907,unknown
Respondent's occupation,Not classified,49.48853265929805,20.03877963624933,30.472687704452674,515,unknown
Highest qualification,Degree or diploma,49.145545906752126,20.062388203407256,30.792065889840163,13524,unknown
Highest qualification,Apprenticeship or A/AS level,48.79221804005828,21.73136607529546,29.476415884645988,4724,unknown
Highest qualification,O level/GCSE,47.73908752121533,22.869631027738418,29.39128145104607,4854,unknown
Highest qualification,Other,52.89710385522983,20.09370981362972,27.009186331140583,1391,unknown
Highest qualification,,54.164933909436066,17.612854146181668,28.222211944382703,5380,unknown
Disability [note 2],Disabled,45.056791968416825,26.5247190792933,28.418488952290208,6492,unknown
Disability [note 2],Not disabled,50.904769079918786,19.04632446046515,30.04890645961509,23445,unknown
Religion,No religion,46.52173187575016,22.722906597130446,30.75536152711905,12134,unknown
Religion,Christian,50.93136142959089,19.342408785510475,29.72622978489814,15405,unknown
Religion,Buddhist,56.9638006129206,12.590207955672032,30.44599143140734,152,unknown
Religion,Hindu,61.31022405496051,12.145525746422427,26.544250198617107,523,unknown
Religion,Jewish,52.310455091353965,20.207615822127114,27.481929086519017,115,unknown
Religion,Muslim,58.20217274766492,16.89826180251309,24.899565449822298,1204,unknown
Religion,Sikh,58.50371757183522,14.82927292764441,26.66700950052032,190,unknown
Religion,Other,39.274453957656675,29.951199103238658,30.774346939104685,177,unknown
Sexual orientation [note 3],Heterosexual/straight,49.990135023206435,20.603990709840218,29.405874266953127,25074,unknown
Sexual orientation [note 3],Gay/Lesbian,42.60568324881023,26.89209079791826,30.502225953271427,424,unknown
Sexual orientation [note 3],Bisexual,46.376843592239666,22.612976778618425,31.010179629141827,510,unknown
Sexual orientation [note 3],Other,42.9577721280231,34.05476692485163,22.987460947125296,122,unknown
Gender identity [note 4],Gender identity the same as sex registered at birth,49.555919709517475,20.886890852144383,29.55718943833793,24737,unknown
Gender identity [note 4],Gender identity different from sex registered at birth,50.25586957031698,26.59399704724453,23.150133382438465,130,unknown
Overall level of perceived ASB [note 5],High,30.547423264349845,51.46595210880329,17.98662462684691,540,unknown
Overall level of perceived ASB [note 5],Not high,52.64116054734997,16.55011088462419,30.808728568025934,7100,unknown
Experience of crime in the last 12 months (including fraud and computer misuse),Victim,41.19609689453786,29.31438476814783,29.489518337314365,4504,unknown
Experience of crime in the last 12 months (including fraud and computer misuse),Not a victim,51.486270450926405,18.704201767462287,29.809527781610786,25539,unknown
Hours out of home on an average weekday,Less than 3 hours,51.47058585237157,18.899717221639325,29.629696925989098,13134,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,48.40378280815275,20.295779838232324,31.30043735361536,7956,unknown
Hours out of home on an average weekday,7 hours or longer,49.018508311564794,22.307704853057267,28.673786835378124,8839,unknown
Number of evening visits to pub/bar in the last month,,51.91854991411577,19.104168833987124,28.977281251896482,17145,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,48.10371642843103,21.336259984016586,30.56002358755266,8783,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,45.3967481892618,23.562936458521612,31.040315352216506,4093,unknown
Number of visits to a nightclub in the last month [note 6],,47.190142843567536,22.603341207090544,30.20651594934183,11734,unknown
Number of visits to a nightclub in the last month [note 6],1-3 times a month,47.058523008663116,18.962879264097165,33.978597727239695,998,unknown
Number of visits to a nightclub in the last month [note 6],4+ times a month,50.18795936936229,12.553245926070215,37.258794704567464,143,unknown
