"table s11: visibility of police foot patrols, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
Personal characteristic1,"High visibility of police2,3,4",Unweighted base - number of adults3,Personal characteristic1,"High visibility of police2,3,4",Unweighted base - number of adults3,unknown
,Percentage,,,Percentage,,unknown
ALL ADULTS,15.44506150354218,8749,Respondent's employment status,,,unknown
,,,In employment,16.57941977202091,4962,unknown
16-24,22.921932242073492,566,Unemployed,22.406716190542227,153,unknown
25-34,21.18096595803259,1213,Economically inactive,13.108141995423084,3625,unknown
35-44,19.887329556387947,1391,Student,26.443870688859505,192,unknown
45-54,14.257267343945578,1450,Looking after family/home,20.715760654673485,377,unknown
55-64,10.836348667601845,1422,Long-term/temporarily sick/ill,15.997268189658712,345,unknown
65-74,8.636172140371299,1445,Retired,8.165880397217503,2620,unknown
75+,6.504092031207935,1262,Other inactive,18.75296225862579,91,unknown
Men,17.26870936555005,4013,Respondent's occupation,,,unknown
,,,Managerial and professional occupations,13.048302898331368,3212,unknown
16-24,24.380070865334016,276,Intermediate occupations,13.277504649482397,1997,unknown
25-34,23.83567306114568,514,Routine and manual occupations,16.934474542019746,2887,unknown
35-44,22.587621359067693,622,Never worked and long-term unemployed,20.993463936772788,292,unknown
45-54,13.916229664800348,645,Full-time students,26.141888449125638,265,unknown
55-64,12.377035539908462,699,Not classified,14.00152793917478,96,unknown
65-74,10.645845065460827,687,,,,unknown
75+,8.06065492895898,570,Highest qualification,,,unknown
,,,Degree or diploma,15.390786776493634,3622,unknown
Women,13.715935454923178,4736,Apprenticeship or A/AS level,17.556032374133476,1553,unknown
,,,O level/GCSE,14.036209822017456,1547,unknown
16-24,21.370318608075543,290,Other,20.828918489860424,442,unknown
25-34,18.63855865105281,699,,13.358828807677032,1552,unknown
35-44,17.127391683830563,769,,,,unknown
45-54,14.562219566293392,805,Disability5,,,unknown
55-64,9.3569366334235,723,Disabled,12.663403428850895,1698,unknown
65-74,6.829973810287257,758,Not disabled,15.946867710085977,7023,unknown
75+,5.21686122245745,692,,,,unknown
,,,Religion,,,unknown
Ethnic group,,,No religion,15.742964843402962,3235,unknown
White ,13.601683232048261,7743,Christian,13.426272925315008,4883,unknown
   English/Welsh/Scottish/Northern Irish/British,12.07461909713365,7168,Buddhist,-,37,unknown
   Irish,~,~,Hindu,19.422128438992637,131,unknown
   Gypsy or Irish Traveller,-,~,Muslim,31.675397456133584,330,unknown
   Any other White background,29.757399189784273,512,Other,14.12668616825198,96,unknown
Mixed/Multiple,20.817592422957944,113,,,,unknown
   White and Black Caribbean,-,42,Sexual orientation6,,,unknown
   White and Black African,-,18,Heterosexual/straight,16.04857864730504,6607,unknown
   White and Asian,-,28,Gay/Lesbian,22.83681325761129,107,unknown
   Any other Mixed/Multiple ethnic background,-,25,Bisexual,19.536962147021377,83,unknown
Asian/Asian British,26.427691166242706,541,Other,-,30,unknown
   Indian,20.4788554523832,203,,,,unknown
   Pakistani,27.758694228023174,132,Overall level of perceived anti social behaviour,,,unknown
   Bangladeshi,38.261787580896666,55,High,20.821983658027747,566,unknown
   Chinese,17.235237491601723,57,Not high,15.000480808762049,7813,unknown
   Any other Asian background,32.10839508199202,94,,,,unknown
