"table s12: visibility of police foot patrols, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
Household characteristic1,"High visibility of police2,3,4","Unweighted base - 
number of adults",unknown
,Percentage,,unknown
ALL ADULTS,15.44506150354218,8749,unknown
Structure of household,,,unknown
Single adult and child(ren),18.548416935517665,419,unknown
Adults and child(ren),18.818240396581796,1816,unknown
Adult(s) and no child(ren),14.098498091997602,6514,unknown
Total household income,,,unknown
"Less than £10,400",16.509174113722157,775,unknown
"£10,400 to less than £20,800",17.99272908331234,1530,unknown
"£20,800 to less than £31,200",16.030293935570953,1302,unknown
"£31,200 to less than £41,600",16.328920208249183,1006,unknown
"£41,600 to less than £52,000",15.271234623564,814,unknown
"£52,000 or more",14.197346921704765,1625,unknown
No income stated or not enough information provided,-,48,unknown
Tenure,,,unknown
Owner occupiers,11.27516554601705,5722,unknown
Social renters,20.350153214046614,1436,unknown
Private renters,24.6393157065005,1530,unknown
Accommodation type ,,,unknown
Houses,13.275638824710587,7419,unknown
Detached,8.387944958038702,2172,unknown
Semi-detached,12.104633811790855,2763,unknown
Terraced,18.62389449917957,2484,unknown
Flats/maisonettes,28.72346584697942,1281,unknown
Other,-,24,unknown
Output Area Classification,,,unknown
Rural residents,3.844915918502909,1117,unknown
Cosmopolitans,29.843008447121296,307,unknown
Ethnicity central,36.77149620269851,433,unknown
Multicultural metropolitans,22.521666768885385,1025,unknown
Urbanites,14.331489375873312,1630,unknown
Suburbanites,9.43983244701842,1959,unknown
Constrained city dwellers,16.637549328542974,613,unknown
Hard-pressed living,13.83400088554369,1665,unknown
Area type,,,unknown
Urban,17.784538976994703,6884,unknown
Rural,5.048275059582056,1865,unknown
Level of physical disorder,,,unknown
High,29.911315886982422,426,unknown
Not high,14.62171644857727,8301,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,18.68443623107493,1516,unknown
Other output areas,14.99075884229431,4978,unknown
20% least deprived output areas,12.4487594525889,1631,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,29.509111672190595,116,unknown
Other output areas,20.40444785784061,391,unknown
20% least deprived output areas,11.414001541855074,117,unknown
English regions and Wales,,,unknown
North East,10.256075099613497,546,unknown
North West,15.601622926129522,1129,unknown
Yorkshire and The Humber,16.726923947704833,784,unknown
East Midlands,15.2849973642401,788,unknown
West Midlands,11.588928140034563,774,unknown
East,8.611433614857962,963,unknown
London,27.85098351743246,1024,unknown
South East,11.233208845774472,1216,unknown
South West,12.519927509959123,901,unknown
Wales,20.53402066030211,624,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,unknown
2. The question on visibility of police on foot patrols is only asked of a quarter of the CSEW sample.,,,unknown
"3. Those that responded ""Don't know"" or ""Don't wish to answer"" have been excluded from this table.",,,unknown
"4. The visibility of police on foot patrols is classified as high if the respondent said they see police officers or Police Community Support Officers (PCSOs) on foot patrol in their local area more than once a day, once a day or about once a week. ",,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
