"table s17: percentage of incidents in which victims were satisfied with the police, by criminal justice system factors, year ending march 2020 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,"Satisfaction with 
the police","Unweighted base - 
number of incidents",unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Treated fairly by the police,,,unknown
Yes,82.03755173512613,1375,unknown
No,8.471104479456832,410,unknown
Treated with respect by the police,,,unknown
Yes,73.00539076197083,1583,unknown
No,7.7522295046739025,188,unknown
If police found out who did it,,,unknown
Yes,70.5736703450228,488,unknown
No,63.24028700119481,1119,unknown
Not yet,57.98181762806847,144,unknown
Action taken against offender,,,unknown
Charged,82.9408101125669,129,unknown
Given caution,83.96084285069601,55,unknown
Gave them a fine (or Penalty Notice for Disorder),-,5,unknown
Made them do something to make amends for the matter,-,14,unknown
Some other action,-,47,unknown
No action (yet) taken against the offender,56.53891146023321,194,unknown
Did offender go to court,,,unknown
Yes,84.68544005671555,106,unknown
No,66.18331263938035,275,unknown
Not yet,-,44,unknown
How well police kept the victim informed,,,unknown
Well,90.98924267471669,540,unknown
Not well,30.82546221864952,722,unknown
Not necessary to keep me informed,79.6003862758114,533,unknown
Police gave victim chance to talk to someone formally or informally,,,unknown
Yes,-,45,unknown
No,79.58137434589742,91,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
"1. Following a methodological change to the handling of repeat victimisation in the CSEW, these data are not comparable with data published before January 2019. For more information see Improving victimisation estimates derived from the Crime Survey for England and Wales.",,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
