"table s2: ratings of the local police, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Local police,Unweighted base - number of adults,Personal characteristic1,Local police,Unweighted base - number of adults,unknown
,"Percentage saying police 
doing a good/excellent job",,,"Percentage saying police 
doing a good/excellent job",,unknown
ALL ADULTS,55.36026245098815,31791,Respondent's employment status,,,unknown
,,,In employment,55.70430694206705,18470,unknown
16-24,57.63255149362412,2038,Unemployed,57.35417720894962,515,unknown
25-34,59.57438623499042,4646,Economically inactive,54.6286317729306,12774,unknown
35-44,55.958402258848885,5211,Student,58.024760025929304,628,unknown
45-54,52.72491416825397,5261,Looking after family/home,59.979097680876635,1355,unknown
55-64,52.16196815148013,5280,Long-term/temporarily sick/ill,48.23339282310842,1392,unknown
65-74,51.71406630421945,4984,Retired,54.394816623596896,9045,unknown
75+,58.004168009194636,4371,Other inactive,47.06782828844836,354,unknown
Men,53.061083133474575,14733,Respondent's occupation (NS-SEC),,,unknown
,,,Managerial and professional occupations,56.14976907206093,11712,unknown
16-24,54.54410876619621,984,Intermediate occupations,54.21043039804149,7229,unknown
25-34,58.303558927515866,2018,Routine and manual occupations,54.23252162312495,10529,unknown
35-44,53.56490107294574,2316,Never worked and long-term unemployed,59.545960881902374,1029,unknown
45-54,50.79629963409275,2448,Full-time students,58.42873577424377,930,unknown
55-64,49.75186739741213,2562,Not classified,54.502377534670366,362,unknown
65-74,49.22931886006508,2423,,,,unknown
75+,54.6444271612942,1982,Highest qualification,,,unknown
,,,Degree or diploma,57.3651120959144,13245,unknown
Women,57.611802223184064,17058,Apprenticeship or A/AS level,53.55015426054071,5652,unknown
,,,O level/GCSE,52.35368878684358,5673,unknown
16-24,60.89300043907162,1054,Other,58.831925866532465,1521,unknown
25-34,60.87588676175943,2628,,54.485425551736974,5575,unknown
35-44,58.32676446274545,2895,,,,unknown
45-54,54.618212929185006,2813,Disability2,,,unknown
55-64,54.525322646043975,2718,Disabled,51.13592559807978,6222,unknown
65-74,54.10713302902419,2561,Not disabled,56.196907826953044,25466,unknown
75+,60.74347911521788,2389,,,,unknown
,,,Religion,,,unknown
Ethnic group,,,No religion,53.90400436689251,11833,unknown
White ,55.200342091615454,28194,Christian,56.39784266058816,17643,unknown
   English/Welsh/Scottish/Northern Irish/British,54.10107413785189,26070,Buddhist,58.717920495686606,132,unknown
   Irish,56.11339243405946,243,Hindu,58.67570368315813,433,unknown
   Gypsy or Irish Traveller,-,11,Jewish,51.034737230454155,123,unknown
   Any other White background,67.49022479371564,1870,Muslim,57.249511627218496,1183,unknown
Mixed/Multiple,56.86577692497329,392,Sikh,45.58993346269861,165,unknown
   White and Black Caribbean,47.58459815265021,119,Other,47.77963978910389,155,unknown
   White and Black African,73.06907419399539,53,,,,unknown
   White and Asian,62.8232197358645,112,Sexual Orientation3,,,unknown
   Any other Mixed/Multiple ethnic background,52.7711924752037,108,Heterosexual/straight,55.00374839629559,24140,unknown
Asian/Asian British,57.00101791566235,1964,Gay/Lesbian,54.42509451327483,380,unknown
   Indian,54.54073699442935,768,Bisexual,60.93410295536774,376,unknown
   Pakistani,51.296674969953806,466,Other,53.82518339460258,128,unknown
   Bangladeshi,54.83769460314186,182,,,,unknown
   Chinese,61.81324985320107,186,Overall level of perceived ASB4,,,unknown
   Any other Asian background,69.95844119490472,362,High,40.089183056270905,570,unknown
Black/African/Caribbean/Black British,53.4676721265628,900,Not high,59.27502429061497,7508,unknown
   African,59.42691462332337,552,,,,unknown
   Caribbean,38.940599977345464,283,Experience of crime in last 12 months (including fraud and computer misuse),,,unknown
   Any other Black/African/Caribbean background,57.68213257565142,65,Victim,46.192062070899695,5859,unknown
Other ethnic group,59.43564727541036,267,Not a victim,57.58520340685451,25932,unknown
   Arab,59.51409578796003,107,,,,unknown
