"table s23: awareness of police and crime commissioners, year ending march 2015 to year ending march 2020 csew1,2",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,age_band
England and Wales,,,,,,,Adults aged 16 and over,unknown
,"Apr '14 to
Mar '15","Apr '15 to
Mar '162","Apr '16 to
Mar '17","Apr '17 to
Mar '182","Apr '18 to
Mar '19","Apr '19 to
Mar '20","Apr '19 to Mar '20 
compared with:",unknown
,,,,,,,Apr '18 to Mar '19,unknown
,Percentage,,,,,,Statistically significant difference3,unknown
Were aware of Police and Crime Commissioners,55.894985343636286,59.08897989687768,62,58.53629625,57.26855694,56.72841004767895,,unknown
Unweighted base - number of adults4,29359,31169,30928,30538,28529,28333,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,unknown
1. The wording of this question changed in April 2015 from 'Before this interview were you aware that the Government had introduced elected Police and Crime Commissioners to oversee police forces in this way?' to 'Before this interview were you aware of Police and Crime Commissioners?'. Estimates prior to this date are not comparable and are therefore not presented.,,,,,,,,unknown
"2. A small change to the weighting procedure made in 2019 has been incorporated from the year ending March 2019 and into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table and therefore not all historic data have been re-calculated using the new weights, except where direct comparisons have been made since January 2019. Years that have been re-calculated using the new weighting procedure are denoted by a 2. ",,,,,,,,unknown
"3. Statistically significant change at the 5% level is indicated by an asterisk. For more information on statistical significance, see Chapter 8 of the User Guide.",,,,,,,,unknown
4. The unweighted base refers to non-London residents only. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,,,,,,,unknown
