"table s25: awareness of police and crime commissioners, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
Household characteristic1,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentage,,unknown
ALL ADULTS,56.72841004767895,28333,unknown
Structure of household,,,unknown
Single adult and child(ren),39.05474955061296,1371,unknown
Adults and child(ren),49.81225887399546,5851,unknown
Adult(s) and no child(ren),59.928881089995734,21111,unknown
Total household income,,,unknown
"Less than £10,400",45.61108571460393,2507,unknown
"£10,400 to less than £20,800",53.10819997054623,5117,unknown
"£20,800 to less than £31,200",58.28287479410529,4409,unknown
"£31,200 to less than £41,600",60.137558923441624,3319,unknown
"£41,600 to less than £52,000",61.85706037056002,2768,unknown
"£52,000 or more",65.8592173719909,5082,unknown
No income stated or not enough information provided,39.992051955642985,119,unknown
Tenure,,,unknown
Owner occupiers,64.24806057729774,19059,unknown
Social renters,43.31126677774172,4348,unknown
Private renters,40.672074490861974,4787,unknown
Accommodation type ,,,unknown
Houses,57.89077540842239,25003,unknown
Detached,67.0705307090964,7925,unknown
Semi-detached,56.98637456181803,9226,unknown
Terraced,49.615513543961214,7852,unknown
Flats/maisonettes,45.645481725378936,3172,unknown
Other accommodation,53.76259460566243,79,unknown
Output Area Classification,,,unknown
Rural residents ,67.13290482205366,4464,unknown
Cosmopolitans ,46.1547814165037,743,unknown
Ethnicity central ,42.318156605189216,215,unknown
Multicultural metropolitans ,39.9761219202817,2295,unknown
Urbanities ,58.160725520857305,5682,unknown
Suburbanites ,64.94250036355163,6677,unknown
Constrained city dwellers ,47.76228586366693,2166,unknown
Hard-pressed living ,51.47555387192268,6091,unknown
Area type,,,unknown
Urban,54.11570433451852,21069,unknown
Rural,65.35860067111557,7264,unknown
Level of physical disorder,,,unknown
High,40.317254103900694,1249,unknown
Not high,57.48833363626403,27031,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,46.19125589650558,4772,unknown
Other Output Areas,57.5416732480154,15639,unknown
20% least deprived Output Areas,63.75374967079714,5441,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,47.203248739693144,437,unknown
Other Output Areas,57.194849562883185,1562,unknown
20% least deprived Output Areas,60.37128834737866,482,unknown
Region,,,unknown
North East,60.39975614525448,2041,unknown
North West,53.866642035156296,2864,unknown
Yorkshire and The Humber,56.95194164222885,3066,unknown
East Midlands,58.101857550159785,2987,unknown
West Midlands,55.0443428540923,3067,unknown
East,52.0120745829967,3795,unknown
London3,:,:,unknown
South East,57.21477198156659,4604,unknown
South West,62.46448601274422,3428,unknown
Wales,55.91076130423188,2481,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of household and area characteristics.,,,unknown
2. The unweighted base refers to non-London residents only.,,,unknown
3. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,,unknown
: denotes not applicable.,,,unknown
