"table s26: contact and details of contact with police and crime commissioners (pcc), year ending march 2020 csew",unnamed: 1,age_band
England and Wales,Adults aged 16 and over,unknown
,Percentage,unknown
Had contacted their local PCC in the last 12 months,1.474413796175831,unknown
Unweighted base - number of adults1,28325,unknown
How contact made2,,unknown
At a local event,30.22952042801664,unknown
By telephone,20.95926359310041,unknown
By email,18.523772042835247,unknown
Had contact with them through work,15.305988869429013,unknown
By letter,4.50786077775595,unknown
At a surgery session,3.72885138190377,unknown
"Know them socially (friend, family friend, acquaintance)",1.7991582122342482,unknown
"Through election activity (Canvassed by them, campaign event, election rally)",0.561037147497561,unknown
Some other way,17.113605329375396,unknown
Nature of contact2,,unknown
Shared information on community activity / local crime,27.536424023408046,unknown
Shared views on policing / crime priorities,23.10798041178275,unknown
Asked for information,12.99993135860055,unknown
Spoke to them as a victim of crime,10.997599700397243,unknown
Had contact with them through work,10.948809901140587,unknown
Made a complaint about the local police,5.468156395645769,unknown
Shared views on police budget / council tax charged for the police,3.8967253321997255,unknown
Made a complaint about the PCC or their office,2.384642852003114,unknown
Something else,19.560256406564783,unknown
Unweighted base - number of adults3,439,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,unknown
1. The unweighted base refers to non-London residents only. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,unknown
2. Figures add to more than 100 as more than one response is possible.,,unknown
3. The unweighted base refers to questions on how contact with PCC was made. Bases for the questions on nature of contact will be similar.,,unknown
