"table s29: perceptions of changing crime levels, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,Adults aged 16 and over,unknown
Personal characteristic1,National,Local,Unweighted base - number of adults2,Personal characteristic1,National,Local,Unweighted base - number of adults2,unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,unknown
ALL ADULTS,81.74357143338389,51.617718186347886,16595,Respondent's employment status,,,,unknown
,,,,In employment,80.54624386125488,53.612017518813836,9524,unknown
16-24,78.13334817300934,50.67979672501232,1014,Unemployed,80.6057969631781,48.27130853369693,265,unknown
25-34,75.6796483754535,52.01206048308036,2366,Economically inactive,83.91149273609764,48.50244161766666,6785,unknown
35-44,79.62751594431873,54.82284210315858,2621,Student,70.32436334037016,49.0815669754196,317,unknown
45-54,82.927234148036,55.67947961600527,2718,Looking after family/home,84.17078425404972,57.1606594173777,691,unknown
55-64,84.5565129398344,53.86970470736047,2814,Long-term/temporarily sick/ill,84.57456433477097,57.52335231722916,747,unknown
65-74,85.91932955382468,48.38786197340465,2704,Retired,86.86641016646522,45.48328116935843,4842,unknown
75+,87.80908961590943,42.38429947469975,2358,Other inactive,70.97005064495802,52.096901728398116,188,unknown
Men,79.0409693149924,48.71281955105978,7641,Respondent's occupation,,,,unknown
,,,,Managerial and professional occupations,78.16715737068633,51.05143178518106,6160,unknown
16-24,74.78212022293103,47.02671518776469,485,Intermediate occupations,84.9337645312179,52.75825429380715,3801,unknown
25-34,72.98140655609956,48.235708365440736,1038,Routine and manual occupations,85.70495288605802,52.19244073264845,5459,unknown
35-44,76.02089538526826,49.009816692457505,1124,Never worked and long-term unemployed,78.53051021694957,46.9399656827139,528,unknown
45-54,80.56675291143975,51.695238426507494,1276,Full-time students,73.12058262016329,51.154446809528174,468,unknown
55-64,81.11147272072348,50.57934558731544,1344,Not classified,77.85186413791634,45.81459245025912,179,unknown
65-74,84.01613027256728,48.64900392549869,1310,,,,,unknown
75+,88.05984156810938,42.67347826828477,1064,Highest qualification,,,,unknown
,,,,Degree or diploma,76.79664603126997,50.88237958075237,6895,unknown
Women,84.35123207520842,54.393284124655715,8954,Apprenticeship or A/AS level,83.79617099012643,52.915566766929324,2940,unknown
,,,,O level/GCSE,86.77692577709438,54.66598694402756,2965,unknown
16-24,81.59634852022671,54.84041199017084,529,Other,83.94715614078683,46.82234825472365,783,unknown
25-34,78.48095317282363,55.58438704005949,1328,,86.38066296931216,49.63200020474245,2936,unknown
35-44,82.9415855393106,60.03221875430297,1497,,,,,unknown
45-54,85.33234404063182,59.68485662549552,1442,Disability3 ,,,,unknown
55-64,87.82088504579167,56.972769453509855,1470,Disabled,86.681599428128,55.65534800878308,3289,unknown
65-74,87.75230431185771,48.13310870036554,1394,Not disabled,80.77035098682211,50.78085747283902,13246,unknown
75+,87.60933208351427,42.148199282807326,1294,,,,,unknown
,,,,Religion,,,,unknown
Ethnic group,,,,No religion,78.49017907889397,49.84727191284345,6198,unknown
White ,81.88854441194316,51.1377369717505,14777,Christian,83.69941986035138,51.446416263800856,9212,unknown
   English/Welsh/Scottish/Northern Irish/British,82.78161237486196,51.2665938094169,13672,Buddhist,79.93368948825841,49.81876015396147,62,unknown
   Irish,86.37195515663682,52.941155148135266,138,Hindu,86.94596907426794,71.25665656158911,221,unknown
   Gypsy or Irish Traveller,-,-,5,Jewish,80.00564081592746,56.342052645065245,71,unknown
   Any other White background,71.26850230628415,48.62847954434593,962,Muslim,84.57693192025596,57.768697342074084,594,unknown
Mixed/Multiple,76.30550758741302,44.97476788825252,196,Sikh,89.43265461281817,68.4741146570945,92,unknown
   White and Black Caribbean,71.24297711415633,49.4755735633747,58,Other,79.76392971691216,51.12044941421567,79,unknown
   White and Black African,-,-,19,,,,,unknown
   White and Asian,81.01919610723093,29.72474968029723,54,Sexual Orientation4,,,,unknown
   Any other Mixed/Multiple ethnic background,81.79937681041784,53.97609501381907,65,Heterosexual or straight,81.15395170368484,52.87885784574401,12570,unknown
Asian/Asian British,83.09611198017053,58.696118961196134,986,Gay or lesbian,79.71000143702028,51.66231815803102,199,unknown
   Indian,85.4744178545078,63.4959343551697,391,Bisexual,80.18483122119939,57.73788412891564,197,unknown
   Pakistani,87.12282017250436,59.91849831938365,223,Other,81.54815353399069,41.59570055640272,70,unknown
   Bangladeshi,87.66513971977653,59.0401408151566,95,,,,,unknown
   Chinese,66.41300645007526,40.94820574163887,84,Experience of crime in last 12 months (including fraud and computer misuse),,,,unknown
   Any other Asian background,76.1866069319779,52.9979418616844,193,Victim,84.45167855148539,64.13503223372558,3102,unknown
Black/African/Caribbean/Black British,79.47105446731875,49.016752619572436,472,Not a victim,81.07501229436205,48.58185633176933,13493,unknown
   African,80.52674128536461,45.21044839167345,287,,,,,unknown
   Caribbean,76.07205487247985,52.55035326596237,151,Hours out of home on an average weekday,,,,unknown
   Any other Black/African/Caribbean background,-,-,34,Less than 3 hours,83.25896254484965,48.13373054014642,5217,unknown
Other ethnic group,76.26345460905509,55.665236372209584,121,3 hours or more but less than 7 hours,82.80437700621941,53.23319745281574,4428,unknown
   Arab,78.89474077742862,51.39279007189796,51,7 hours or longer,80.26132323665982,52.883469117317084,6875,unknown
   Any other ethnic group,73.99682572068926,59.90396418429741,70,,,,,unknown
,,,,Number of evening visits to pub/bar in the last month,,,,unknown
Marital status,,,,,83.43608569433385,50.418663804407046,8937,unknown
Married/civil partnered,83.0497681985436,52.95113155866725,7582,Less than once a week ,80.95412071610335,53.24646226255846,4856,unknown
Cohabiting,80.22430969703126,53.20806697508977,1728,Once a week or more often,78.2016886460339,52.61926938862269,2794,unknown
Single,77.92580444462249,50.51869117361101,3745,,,,,unknown
Separated,83.11693165524983,56.42261681711801,435,Number of visits to a nightclub in the last month,,,,unknown
Divorced/legally dissolved partnership,84.85050222029277,52.13608502095561,1456,,82.26422510409118,51.52562347987663,15776,unknown
Widowed,87.07214543184175,40.50932019414438,1604,1-3 times a month,73.22347826417585,52.78769701945375,712,unknown
,,,,4+ times a month,82.22310850377403,55.348606794505336,104,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,unknown
1. See Section 7.3 of User Guide for definitions of personal characteristics.,,,,,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,,,,,unknown
"3. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,unknown
"4. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,unknown
