"table s3: ratings of the local police, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
Household characteristic1,Local police,Unweighted base - number of adults,unknown
,"Percentage saying police 
doing a good/excellent job",,unknown
ALL ADULTS,55.36026245098815,31791,unknown
Structure of household,,,unknown
Single adult and child(ren),53.365216202303614,1599,unknown
Adults and child(ren),56.90944117670293,6919,unknown
Adult(s) and no child(ren),54.84424021527089,23273,unknown
Total household income,,,unknown
"Less than £10,400",54.930656328152025,2803,unknown
"£10,400 to less than £20,800",54.05598972981214,5596,unknown
"£20,800 to less than £31,200",53.6768691919834,4807,unknown
"£31,200 to less than £41,600",57.29667965179267,3612,unknown
"£41,600 to less than £52,000",56.503850049115876,3092,unknown
"£52,000 or more",56.88406598402296,5950,unknown
No income stated or not enough information provided,54.86691315618526,148,unknown
Tenure,,,unknown
Owner occupiers,54.15709950410101,20533,unknown
Social renters,52.41701543828399,5285,unknown
Private renters,60.96782010196428,5770,unknown
Accommodation type ,,,unknown
Houses,54.89179019932687,26902,unknown
Detached,55.82223221188322,7739,unknown
Semi-detached,54.94861127137598,9860,unknown
Terraced,54.09007601968323,9303,unknown
Flats/maisonettes,58.06195839465109,4730,unknown
Other accommodation ,66.35296146218488,72,unknown
Output Area Classification,,,unknown
Rural residents ,57.68576165609688,4153,unknown
Cosmopolitans ,60.46311785211343,1172,unknown
Ethnicity central ,52.94009159238996,1573,unknown
Multicultural metropolitans ,54.305720827013445,3787,unknown
Urbanities ,58.10200241967283,5945,unknown
Suburbanites ,56.85176815087378,6743,unknown
Constrained city dwellers ,51.182389139716925,2287,unknown
Hard-pressed living ,51.12003815024646,6131,unknown
Area type,,,unknown
Urban,55.16455134137234,24989,unknown
Rural,56.22314826757005,6802,unknown
Level of physical disorder,,,unknown
High,49.76076668019579,1498,unknown
Not high,55.64693743170742,30231,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,50.89796159700079,5577,unknown
Other output areas,54.96140913818327,17973,unknown
20% least deprived output areas,60.7291701289255,5880,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,47.827378483520825,424,unknown
Other output areas,57.77173077336094,1486,unknown
20% least deprived output areas,55.87924706768032,451,unknown
Region,,,unknown
North East,63.86457100596288,1934,unknown
North West,54.91395787582377,4038,unknown
Yorkshire and The Humber,54.86034185690058,2877,unknown
East Midlands,55.066940145378204,2855,unknown
West Midlands,47.82143456436134,2832,unknown
East,54.64339668594468,3628,unknown
London,54.61032623913788,3712,unknown
South East,56.46297820617394,4333,unknown
South West,60.30510826101535,3221,unknown
Wales,55.42386764262294,2361,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,unknown
