"table s32: worry about crime, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
England and Wales,,,,,,,,Adults aged 16 and over,,,,unknown
Personal characteristic1,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,Personal characteristic1,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,unknown
,Percentage with high level of worry,,,,,,Percentage with high level of worry,,,,,unknown
ALL ADULTS,9.921713594824784,6.814875333344192,18.93451424735313,8.465584575280266,8569,Respondent's employment status,,,,,,unknown
,,,,,,In employment,9.220690813479603,6.496392556428772,16.75691786204812,7.4941272896083015,4858,unknown
16-24,7.067263907804461,7.020149859269431,11.567805553934315,7.234765978417168,514,Unemployed,16.267472733748775,10.081673105566681,10.449771736799304,8.092754873927248,138,unknown
25-34,8.286858206639772,7.887848814202375,10.539294367370703,6.834663676323123,1226,Economically inactive,10.804380992946777,7.2249405469371935,23.4476890522786,10.321808445703493,3562,unknown
35-44,10.106204105451601,9.186828855121057,18.295334883400805,9.596672698016311,1392,Student,6.496203175514373,13.430543157241242,12.899722045118525,8.630886522418606,162,unknown
45-54,13.57806649507408,6.015091431626063,21.697270907449713,10.523392611875096,1369,Looking after family/home,17.38264496070151,9.346806341914675,23.01858253286951,18.57565441789319,380,unknown
55-64,10.481608759137082,6.639561412603857,23.950208584527758,9.190293860660107,1449,Long-term/temporarily sick/ill,15.696793240287219,14.684239458369513,29.139081150971652,19.207028942711233,392,unknown
65-74,10.243836762350176,5.911666088773257,26.24647084865808,8.754662807518645,1371,Retired,9.46648060752252,5.117792415821465,24.303922104473173,7.6083813611577265,2525,unknown
75+,8.562182815210397,3.686922484136356,23.01770661293701,6.034752748718011,1248,Other inactive,9.210775411607157,7.896622701292882,25.42978133897766,9.511405359038715,103,unknown
Men,8.208855668726788,6.2326842224467205,15.60541078951597,4.19098018588086,3886,Respondent's occupation,,,,,,unknown
,,,,,,Managerial and professional occupations,6.779349008285583,4.869336770931108,16.42388008717912,5.275633293493716,3163,unknown
16-24,6.8394777228134656,5.43073880231685,11.98129092802475,5.758156128645444,234,Intermediate occupations,11.011105075231221,7.164391028430537,18.80030440282608,8.216345516660803,1923,unknown
25-34,7.737712308616246,8.192215531675465,8.721163289850638,2.8766614125948293,529,Routine and manual occupations,12.45056520696434,7.733835762524112,22.54894993431949,11.629428336041183,2851,unknown
35-44,9.377205545531188,9.337353855727867,13.97811050715837,5.2999285231687585,603,Never worked and long-term unemployed,18.792553688666406,15.730600301442605,19.695926030756024,15.431167455577672,286,unknown
45-54,11.833438495981177,5.835512962533745,17.641267886165082,5.312269651032655,631,Full-time students,7.0964907790994625,10.735163422586137,13.374101097634034,8.469409473692311,246,unknown
55-64,7.23915494262275,5.210704230261831,18.565383501261834,3.789430860333827,666,Not classified,5.183728022282066,10.70414740012173,26.456955283302225,10.068739180954582,100,unknown
65-74,6.502364147333754,4.493838603015496,22.99343359934761,3.5400133865188095,657,,,,,,,unknown
75+,6.166042083985115,3.797978001417887,20.325846428133545,1.8959432909103453,566,Highest qualification,,,,,,unknown
,,,,,,Degree or diploma,7.5361700149484845,4.916924149190442,16.21454404115337,6.249978769394106,3584,unknown
Women,11.508852219400735,7.435361036455138,22.20393500127097,12.592677674035379,4683,Apprenticeship or A/AS level,7.874119993924951,7.415777846034542,17.348973169963774,7.110087556322418,1495,unknown
,,,,,,O level/GCSE,12.105293943122563,7.392111087660594,20.529339913265076,10.140752806862952,1476,unknown
16-24,7.280224304539735,8.733376116286,11.121788301121573,8.78517068504059,280,Other,10.81800489481152,8.3874322483145,22.143316177827636,10.366784456238697,407,unknown
25-34,8.825819601752844,7.54051592370242,12.45908802969807,10.956967394972754,697,,16.006735075448965,11.477363043917725,25.411671638135015,14.012566547213842,1573,unknown
35-44,10.804022315895734,9.050411229570646,22.96051348973152,14.177128391443382,789,,,,,,,unknown
45-54,15.28733779438855,6.213996468903307,25.589219318050628,15.422348423273057,738,Disability4,,,,,,unknown
55-64,13.240686707452829,8.211972498629036,29.328882322019407,14.503440943452178,783,Disabled,13.900734523081084,8.724306533173378,27.895343775123997,13.918277529846826,1724,unknown
65-74,13.71118562815164,7.423207890782692,29.111725547885243,13.264816241982219,714,Not disabled,9.106958993228538,6.479467619547136,17.19226968366632,7.401908299782506,6810,unknown
75+,10.53439554791372,3.5673448593637898,25.054788995013222,9.123937536688755,682,,,,,,,unknown
,,,,,,Religion,,,,,,unknown
Ethnic group,,,,,,No religion,6.54873310531506,4.457219439760304,13.147326354275135,5.230884894502923,3156,unknown
White ,8.356859930972426,5.378044951504662,17.661432267920194,6.694793195041212,7587,Christian,10.66596762042403,6.7553259728655695,22.023720211813938,9.07786722841329,4772,unknown
   English/Welsh/Scottish/Northern Irish/British,8.053113623673037,4.947385942345053,17.94217830263774,6.458605696900831,7010,Buddhist,-,-,-,-,38,unknown
   Irish,~,~,~,~,~,Hindu,32.56812587455571,22.901284058165277,29.098128193494865,25.20295040034477,120,unknown
   Gypsy or Irish Traveller,-,-,-,-,~,Muslim,16.56497199796545,18.27387674476767,22.069846008887552,18.439981123181582,317,unknown
   Any other White background,11.686403354265105,10.277805071786705,15.467093979159637,9.440496499978437,513,Other,17.97494928053325,13.783363186037349,31.860276933012504,15.911219986978598,132,unknown
Mixed/Multiple,7.880548706488981,3.382249825696569,20.298907506936377,12.940488187659824,102,,,,,,,unknown
   White and Black Caribbean,-,-,-,-,33,Sexual orientation5,,,,,,unknown
   White and Black African,-,-,-,-,6,Heterosexual/straight,9.878036242925058,6.560710150728422,18.186372380244844,8.124029080793155,6443,unknown
   White and Asian,-,-,-,-,29,Gay/Lesbian,7.193206981917799,3.590143404236285,11.862095538285383,9.298543522075839,95,unknown
