"table s36: high levels of perceived anti-social behaviour in local area, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
Household characteristic1,High level of perceived ASB2,Unweighted base - number of adults,unknown
,Percentage,,unknown
ALL ADULTS,7.143354311261469,8498,unknown
Structure of household,,,unknown
Single adult and child(ren),16.219995291266343,410,unknown
Adults and child(ren),7.596457472964718,1788,unknown
Adult(s) and no child(ren),6.633165490241427,6300,unknown
Total household income,,,unknown
"Less than £10,400",10.598809962828035,744,unknown
"£10,400 to less than £20,800",10.76258552207734,1474,unknown
"£20,800 to less than £31,200",7.18424579889109,1263,unknown
"£31,200 to less than £41,600",6.84685836131348,988,unknown
"£41,600 to less than £52,000",7.280644064502518,814,unknown
"£52,000 or more",3.657199421188187,1603,unknown
No income stated or not enough information provided,-,48,unknown
Tenure,,,unknown
Owner occupiers,5.072447858908815,5571,unknown
Social renters,14.461420729860158,1372,unknown
Private renters,8.191996542899076,1493,unknown
Accommodation type ,,,unknown
Houses,6.2125374994385,7211,unknown
Detached,1.2351298393835264,2102,unknown
Semi-detached,6.4361545077582685,2684,unknown
Terraced,10.108193695241772,2425,unknown
Flats/maisonettes,12.67247345152456,1238,unknown
Other,-,24,unknown
Output Area Classification,,,unknown
Rural residents,1.1117219119803337,1098,unknown
Cosmopolitans,8.836932304441996,300,unknown
Ethnicity central,15.767120828290167,418,unknown
Multicultural metropolitans,14.681006911422054,987,unknown
Urbanites,4.596830050002391,1605,unknown
Suburbanites,2.004303264055446,1898,unknown
Constrained city dwellers,11.458720095325875,589,unknown
Hard-pressed living,9.009022802714691,1603,unknown
Area type,,,unknown
Urban,8.414332769689063,6680,unknown
Rural,1.4904508594498207,1818,unknown
Level of physical disorder,,,unknown
High,23.10394163452991,414,unknown
Not high,6.214375392609646,8061,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,14.438383935531249,1439,unknown
Other output areas,6.757771254351537,4846,unknown
20% least deprived output areas,1.8052941030052068,1598,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,12.266353330380278,115,unknown
Other output areas,5.583759769395743,384,unknown
20% least deprived output areas,3.565687377882477,116,unknown
Region,,,unknown
North East,7.080679435382689,531,unknown
North West,6.795663113697486,1089,unknown
Yorkshire and The Humber,8.276102922057254,775,unknown
East Midlands,6.275397043712967,779,unknown
West Midlands,10.226344553797466,723,unknown
East,6.3755613931993596,936,unknown
London,11.089396655144327,992,unknown
South East,4.368904639345672,1179,unknown
South West,3.594767755753006,879,unknown
Wales,6.629831643094689,615,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of the personal characteristics.,,,unknown
2. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Sections 5.7 and 6.3 of the User Guide.,,,unknown
