"table s40: prevalence of domestic abuse, sexual assault and stalking among adults aged 16 to 74, by type, year ending march 2020 csew1,2,3",unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,unknown
,Since the age of 16,,,In the last year,,,unknown
,Men,Women,All,Men,Women,All,unknown
,Percentage who were victims once or more,,,,,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",13.840855877054683,27.59551968918771,20.795270433684312,3.6025610995387174,7.316400451564963,5.474631728063501,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",10.480362297548066,23.811540089543772,17.20837072571951,2.441942040231217,5.600399616968888,4.032061808227716,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",5.860230702460148,10.20211245438729,8.049329374176175,1.5084808367960718,2.374200765591753,1.9446853216769535,unknown
Partner abuse - non-sexual,9.281213995484304,20.79304348271587,15.10185061136167,2.0851133258686207,4.927129901727842,3.521768336871315,unknown
"Non-physical abuse (emotional, financial)",5.383875746617052,14.746402761617343,10.126977271228068,1.4834478791411976,3.7964250845242753,2.6549383397246786,unknown
Threats or force,6.902942617058608,16.980282238565504,11.99182293866565,1.0452873772218088,2.5183716189149243,1.7889933813072183,unknown
Threats,3.3490195189458656,13.530312507141995,8.482883004326943,0.5398744545354959,1.9132671423170728,1.232090010285191,unknown
Force,6.27208291467648,14.667945302944503,10.504526438368819,0.845776894191228,1.3884237540141666,1.1191988326184577,unknown
Family abuse - non-sexual,5.145785351338317,7.405489098728093,6.289473102130096,1.2995133571581319,2.0439269229042822,1.676356718909865,unknown
"Non-physical abuse (emotional, financial)",2.4280153043718786,4.266137617677164,3.357417035897288,0.819940549437021,1.4005163954993078,1.1134678520199568,unknown
Threats or force,3.888087419316911,5.613119086149859,4.761282353386513,0.6870010239620001,1.021559846607413,0.8563453560609684,unknown
Threats,2.4654075431528772,3.886459789308981,3.1843402206388216,0.5241956129262293,0.8208459190538695,0.6742927885244251,unknown
Force,2.925640413239725,4.152264828554596,3.545887751230336,0.3262424704826059,0.4250283411721405,0.37619925177822067,unknown
Any sexual assault (including attempts)4,4.707773491378014,22.87889991274399,13.868533395587187,0.7395378889104095,2.8954027889027807,1.8247741391853747,unknown
Sexual assault by rape or penetration including attempts,0.5235027429099469,7.0508522953286565,3.80872324588619,0.07116121047484156,0.8301113377814651,0.453052050326839,unknown
Sexual assault by rape or penetration excluding attempts,0.39321946625774545,5.991368401524605,3.2087163146370687,0.044846423842112786,0.6089132487451019,0.3284717278153815,unknown
- Rape including attempts,0.4125449394734111,6.235410845460202,3.341591864109178,0.0350010218475712,0.617186134335106,0.32775881131691975,unknown
- Rape excluding attempts,0.2980861351899345,5.1377990056102565,2.7293083502437945,0.03508253682590407,0.4258512720203021,0.23132256032012383,unknown
- Assault by penetration including attempts,0.27856936467314886,4.785716622320883,2.544469565553481,0.04573438023577371,0.4950435543815132,0.27159473802623774,unknown
- Assault by penetration excluding attempts,0.17896672132415592,3.609069978899605,1.9020576430562892,0.019387052800340403,0.3399242123865724,0.18040468301593665,unknown
Indecent exposure or unwanted sexual touching,4.496195706324415,21.738612501092707,13.203325505531065,0.6908211135906341,2.4972390423687,1.6029147351808788,unknown
- Indecent exposure,1.299493812150679,10.164085194728942,5.763068223072816,0.16354106696289986,0.528971022122775,0.3474920316599218,unknown
- Unwanted sexual touching,3.566349068971675,16.839329736944467,10.23766663718934,0.5670823145967336,2.174594714007272,1.374821110679393,unknown
Any sexual assault (including attempts) by a partner,0.6116422193931375,6.355583918763295,3.50458834506934,0.07588207281046747,0.5380015044765761,0.30845008115592676,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.11673794376648969,3.7042773553998596,1.9227790272152754,0.009890777139776357,0.36440873337618607,0.18836788776942143,unknown
Indecent exposure or unwanted sexual touching by a partner,0.5434408335972032,5.494134630048367,3.0424874613251807,0.06582944860555523,0.3316609734036738,0.2000237143724308,unknown
- Indecent exposure by a partner,0.10072400711661496,0.9577019374869589,0.5320387418107758,0.007388429244353529,0.026645824332778983,0.017081068077251193,unknown
- Unwanted sexual touching by a partner,0.44740242113862017,5.19971023416325,2.8348856408501084,0.05847140064337342,0.31526865744494864,0.18748334313899281,unknown
Any sexual assault (including attempts) by a family member,0.18384632348921479,2.0515165765702457,1.1243976237860542,0.022152604239703597,0.06742677483419497,0.04494914256546735,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.04088802920777161,0.6340199679284326,0.3395244403777371,0.005085386460152835,0.025597816898912377,0.015413643467896058,unknown
Indecent exposure or unwanted sexual touching by a family member,0.1725740906138025,1.9029351315483287,1.0465756225219043,0.017012470384542917,0.059214442846844795,0.03833010950374911,unknown
- Indecent exposure by a family member,0.10047962858931701,0.5996562346152927,0.3517471104680782,0.007388429244353529,0.024088072573346504,0.015794733809945272,unknown
- Unwanted sexual touching by a family member,0.10898052938822293,1.6951349128163156,0.9058017798393719,0.01697649524499806,0.03552531905035191,0.026296668659951086,unknown
Stalking,9.566371435864186,19.930511713899772,14.802949912291298,2.5053121501517217,4.579312452021263,3.5530276374347576,unknown
Stalking by a partner,2.672144526841564,8.213811218135369,5.472443003249257,0.5085141373340757,0.9690093356579843,0.7411972285079841,unknown
