"table s8: public confidence in the police and local council, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Agree,Disagree,No opinion,"Unweighted base
 - number of adults",Personal characteristic1,Agree,Disagree,No opinion,"Unweighted base
 - number of adults",unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,52.22802424565566,20.014709803178228,27.75726595116596,32225,Respondent's employment status,,,,,unknown
,,,,,In employment,51.95978650311894,20.80392710492363,27.236286391957275,18691,unknown
16-24,54.1479500153365,18.063907077314614,27.78814290734874,2019,Unemployed,59.30093914373632,19.383261137531044,21.315799718732666,520,unknown
25-34,55.41976136031395,18.49549670736951,26.084741932316476,4657,Economically inactive,52.30324098632162,18.622107637512993,29.0746513761653,12982,unknown
35-44,51.29256714268021,21.594480821634598,27.112952035685247,5252,Student,50.82084267905827,15.922853937078402,33.2563033838633,629,unknown
45-54,49.122791545552595,23.000612984798547,27.876595469648656,5346,Looking after family/home,54.98858075632509,18.980799180338042,26.03062006333696,1361,unknown
55-64,49.287102397119185,22.40396977377396,28.308927829106604,5385,Long-term/temporarily sick/ill,44.19827855991468,30.915578743428107,24.886142696657316,1389,unknown
65-74,50.95267167780065,20.447867316627256,28.599461005572145,5115,Retired,53.69792416022935,16.86864316793752,29.43343267183317,9244,unknown
75+,57.26312987138707,13.174688349470664,29.56218177914216,4451,Other inactive,46.20420707607404,22.332781313956385,31.463011609969655,359,unknown
Men,51.55068590426042,20.587699652480005,27.861614443259352,14898,Respondent's occupation,,,,,unknown
,,,,,Managerial and professional occupations,51.4029516609035,20.676090744286846,27.92095759480924,11928,unknown
16-24,54.08381784265088,17.547962884206395,28.36821927314276,972,Intermediate occupations,51.91176832860931,20.222175547098065,27.866056124292847,7342,unknown
25-34,56.608566241834666,17.952932906415096,25.438500851750117,2017,Routine and manual occupations,52.726416185983474,19.99700947048365,27.276574343532168,10624,unknown
35-44,49.24274094438999,22.917700174101256,27.83955888150883,2335,Never worked and long-term unemployed,58.59902596551535,17.288167566587365,24.112806467897304,1037,unknown
45-54,48.232133747714215,23.247078468327025,28.520787783958806,2489,Full-time students,52.4416371774768,16.78990372460646,30.768459097916693,928,unknown
55-64,48.067605133144596,23.24844045075894,28.683954416096423,2604,Not classified,50.9518800687499,20.18180228960177,28.866317641648365,366,unknown
65-74,49.8736264939083,21.702031989251935,28.42434151683993,2476,,,,,,unknown
75+,56.68174019827804,14.829202506299172,28.489057295422565,2005,Highest qualification,,,,,unknown
,,,,,Degree or diploma,53.03166183502638,19.210400251923843,27.75793791304963,13450,unknown
Women,52.88623607967667,19.457899895138272,27.655864025185117,17327,Apprenticeship or A/AS level,49.41989577896964,21.740646755601954,28.83945746542856,5729,unknown
,,,,,O level/GCSE,50.00588483125974,21.89891951200759,28.095195656732503,5751,unknown
16-24,54.214572790237916,18.599888198794652,27.185539010967506,1047,Other,56.94228311896149,19.215752569038237,23.841964312000208,1512,unknown
25-34,54.21243622446378,19.046513047289768,26.74105072824677,2640,,54.854589638041375,18.099783704416016,27.045626657542687,5650,unknown
35-44,53.32687592227433,20.28127839096163,26.391845686764064,2917,,,,,,unknown
45-54,49.99303199182211,22.759797451721504,27.24717055645644,2857,Disability2,,,,,unknown
55-64,50.47617648271389,21.580566370002032,27.94325714728404,2781,Disabled,49.22466839597065,24.026866248716043,26.748465355313634,6268,unknown
65-74,51.97913866261822,19.254813819710588,28.766047517671133,2639,Not disabled,52.815854425769274,19.244434014086988,27.939711560144097,25852,unknown
75+,57.732200654518174,11.839810405914351,30.42798893956774,2446,,,,,,unknown
,,,,,Religion,,,,,unknown
Ethnic group,,,,,No religion,49.49211086461153,21.649308349619155,28.858580785768375,12051,unknown
White ,51.909317648662814,20.19701472290338,27.893667628434276,28606,Christian,54.00532786613444,18.63817228869139,27.356499845174675,17854,unknown
   English/Welsh/Scottish/Northern Irish/British,50.99931355976418,20.87266146060584,28.128024979630027,26455,Buddhist,56.236452689365976,16.974920804055717,26.78862650657829,131,unknown
   Irish,55.50144722750614,22.403940975232747,22.094611797261106,250,Hindu,59.4039636683362,17.07829824096403,23.517738090699762,435,unknown
   Gypsy or Irish Traveller,-,-,-,11,Jewish,52.881938488908354,18.6446678474068,28.473393663684792,131,unknown
   Any other White background,61.7908881756173,12.334782723274529,25.874329101108078,1890,Muslim,54.5437283360714,21.574490685342973,23.881780978585603,1184,unknown
Mixed/Multiple,51.608976710414744,20.995709404036088,27.395313885549182,399,Sikh,44.41972028837589,22.29920800394515,33.281071707678905,167,unknown
   White and Black Caribbean,44.94104877158653,23.05747632668222,32.00147490173126,122,Other,47.86752263253967,28.128249171626095,24.004228195834223,154,unknown
   White and Black African,63.51005820232219,10.248265262039482,26.241676535638288,51,,,,,,unknown
   White and Asian,50.83091031356866,21.42746771875073,27.74162196768058,111,Sexual orientation3,,,,,unknown
   Any other Mixed/Multiple ethnic background,54.62664780519805,22.512215187247143,22.86113700755473,115,Heterosexual/straight,51.51204399546657,20.89830795012172,27.589648054412102,24444,unknown
Asian/Asian British,54.59951166752924,18.804581695237598,26.59590663723313,1975,Gay/Lesbian,49.842881902314666,25.20604488030706,24.951073217378234,394,unknown
   Indian,52.7054127667589,21.094660571530806,26.199926661710343,778,Bisexual,51.2943356894562,22.63296448206965,26.07269982847412,378,unknown
   Pakistani,50.380899564921634,24.437871314715053,25.18122912036325,469,Other,60.98664153727684,15.302431899038476,23.71092656368472,128,unknown
   Bangladeshi,55.1005463905397,20.514055289428818,24.38539832003147,181,,,,,,unknown
   Chinese,58.062007765060116,7.862486714519114,34.075505520420826,184,Overall level of perceived ASB4,,,,,unknown
   Any other Asian background,62.99851287678002,9.21164438607501,27.789842737144866,363,High,30.91667181867176,46.65933797373297,22.42399020759535,561,unknown
Black/African/Caribbean/Black British,54.70083487785594,18.27565312072305,27.023512001421107,914,Not high,56.191487406764665,16.065568252409992,27.74294434082558,7584,unknown
   African,57.463953291265845,15.88872167402947,26.647325034704707,562,,,,,,unknown
   Caribbean,50.1893452426348,23.901413997301507,25.909240760063735,286,Experience of crime in the last 12 months (including fraud and computer misuse),,,,,unknown
   Any other Black/African/Caribbean background,46.957015157481386,17.536947993171868,35.50603684934673,66,Victim,43.98596334779775,29.099142015655243,26.914894636547025,5909,unknown
