"Table A10b: Prevalence of sexual assault and stalking in the last year among people aged 16 years and over, by type and sex [note 1, 2, 3, 4]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2022 to year ending March 2025",,,,,,,,,,,,,,,,unknown,0,0,0
This worksheet contains one table. The units used in this table are percentages. Some cells refer to notes which can be found on the Notes worksheet. ,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Notes,,,,,,,,,,,,,,,,unknown,0,0,0
Some shorthand is used in this table. [c] denotes that figures have been suppressed due to disclosure constraints. [z] denotes not applicable. [s] denotes there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,unknown,0,0,0
Abuse type,"Oct 2021 to Mar 2022
Men
 [note 8]","Apr 2022 to Mar 2023
Men 
[note 9]","Apr 2023 to Mar 2024
Men 
[note 4]","Apr 2024 to Mar 2025
Men 
[note 4]","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024
Men","Oct 2021 to Mar 2022
Women 
[note 8]","Apr 2022 to Mar 2023
Women 
[note 9]","Apr 2023 to Mar 2024
Women
 [note 4]","Apr 2024 to Mar 2025
Women
 [note 4]","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024
Women","Oct 2021 to Mar 2022
All
 [note 8]","Apr 2022 to Mar 2023
All
[note 9]","Apr 2023 to Mar 2024
All
 [note 4]","Apr 2024 to Mar 2025
All
 [note 4]","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024
All",unknown,0,0,0
Any sexual assault (including attempts),1.17939443260537,0.904750591718848,0.784165308385663,0.67947399803699,[ns],3.3,3.2,3.44674546532747,3.00111718845951,[ns],2.3,2.1,2.11552383091544,1.85317391971206,[ns],unknown,0,0,0
Sexual assault by rape or penetration including attempts,[c],0.0973688870164427,0.0632700759467693,0.0626747546972171,[ns],1.1,0.8,0.614157569578937,0.404117029368934,[ns],0.6,0.5,0.338846178156879,0.235121793513019,[ns],unknown,0,0,0
Sexual assault by rape or penetration excluding attempts,[c],0.0505829489814292,[c],0.0627701599090354,[z],0.6,0.4,0.503411184108717,0.276003012938574,[ns],0.3,0.2,0.262869159595515,0.170447301127825,[ns],unknown,0,0,0
- Rape including attempts,[c],0.0946432095778829,[c],[c],[c],0.6,0.5,0.438461388669106,0.244790130569536,[ns],0.3,0.3,0.235197504072391,0.134557127058534,[ns],unknown,0,0,0
- Rape excluding attempts,[c],0.0277323267804758,[c],[c],[c],0.4,0.3,0.349823405969802,0.154211508191381,[ns],0.2,0.2,0.182415287570154,0.0888358430519529,[ns],unknown,0,0,0
- Assault by penetration including attempts,[c],0.0505722308424799,[c],0.06287262903364,[z],0.8,0.6,0.534114089175502,0.253690483130764,[ns],0.4,0.3,0.282672911229229,0.159213630188492,[ns],unknown,0,0,0
- Assault by penetration excluding attempts,[c],0.0507296137427318,[c],0.062977973689126,[z],0.3,0.2,0.422347823943092,0.151141358771879,[ns],0.1,0.1,0.214440258720295,0.107402524049693,[ns],unknown,0,0,0
Indecent exposure or unwanted sexual touching,1.17414691272655,0.8499452807519,0.738029856628341,0.659524197720182,[ns],2.7,2.9,3.09911976733288,2.82404228578467,[ns],1.9,1.9,1.92132933189698,1.7586951323267,[ns],unknown,0,0,0
- Indecent exposure,[c],0.219431722209066,0.312564953395757,0.27154669831928,[ns],0.8,0.8,1.06468296415104,0.827065976048975,[ns],0.4,0.5,0.687810315938917,0.55269369723652,[ns],unknown,0,0,0
- Unwanted sexual touching,1.1810870439443,0.70594644746892,0.504882934495156,0.39230995546827,[ns],2.3,2.3,2.511463078346,2.34937535288368,[ns],1.7,1.5,1.50641858861997,1.37872712509679,[ns],unknown,0,0,0
Any sexual assault (including attempts) by a partner [note 5],[c],0.109195728204425,0.0392188281613526,0.090661200855625,[ns],0.7,0.4,0.418295155251427,0.345915776670813,[ns],0.4,0.3,0.228666582615433,0.219713104068138,[ns],unknown,0,0,0
Sexual assault by rape or penetration (including attempts) by a partner,[c],0.0523606209934052,[c],[c],[c],0.3,0.2,0.184257136288353,0.143799539124951,[ns],0.1,0.1,0.0957286832290763,0.0727287376830726,[ns],unknown,0,0,0
Indecent exposure or unwanted sexual touching by a partner,[c],0.0565007107417723,0.0389682665086183,0.090365392530315,[ns],0.6,0.3,0.325697773507203,0.281197017378083,[ns],0.4,0.2,0.182581949140329,0.187228220766293,[ns],unknown,0,0,0
- Indecent exposure by a partner,[c],[c],[c],0.0545267811798189,[z],[c],[c],0.13909643997941,0.02478999586759,[ns],[c],[c],0.069405150129524,0.0394770641256298,[ns],unknown,0,0,0
- Unwanted sexual touching by a partner,[c],0.0569125457987775,0.0393948890767804,[c],[z],0.6,0.3,0.216401190420619,0.287495577536552,[ns],0.4,0.2,0.127760012489684,0.162943798561258,[ns],unknown,0,0,0
Any sexual assault (including attempts) by a family member [note 5],[c],[c],[c],[c],[c],[c],0.1,0.13677290882344,0.0436391932259323,[ns],[c],0,0.0761780378148447,0.0220944730603156,[ns],unknown,0,0,0
Sexual assault by rape or penetration (including attempts) by a family member,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],0,0.0191338550905318,[c],[z],unknown,0,0,0
Indecent exposure or unwanted sexual touching by a family member,[c],[c],[c],[c],[c],[c],0,0.11268949876271,0.0177847659906914,[ns],[c],0,0.0564451834481213,0.00904288036528035,[ns],unknown,0,0,0
- Indecent exposure by a family member,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],unknown,0,0,0
- Unwanted sexual touching by a family member,[c],[c],[c],[c],[c],[c],0,0.113386600830563,0.018026934018945,[ns],[c],0,0.0565941628495795,0.00908499702487867,[ns],unknown,0,0,0
Stalking [note 6],2.52963567666976,2.40111133904604,2.28480118493711,1.78927861933843,[ns],4.9,4.4,4.04663001188842,3.99371144097372,[ns],3.7,3.4,3.16621609751077,2.90683353158878,[ns],unknown,0,0,0
Unweighted base - number of people aged 16 and over [note 7],2311,7905,5442,6067,[z],2627,8781,5952,6674,[z],4938,16686,11394,12741,[z],unknown,0,0,0
