"Table A11a: Prevalence of sexual assault and stalking in the last year among men aged 16 to 59 years, by type [note 1, 2, 10]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2005 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Notes,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Some shorthand is used in this table. [x] denotes that data are unavailable.[z] denotes not applicable. [c] denotes that figures have been suppressed due to disclosure constraints.,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
[s] denotes there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Abuse type,"Apr 2004 to 
Mar 2005
[note 11]","Apr 2005 to 
Mar 2006","Apr 2006 to 
Mar 2007","Apr 2007 to 
Mar 2008","Apr 2008 to 
Mar 2009","Apr 2009 to 
Mar 2010","Apr 2010 to 
Mar 2011
[note 12]","Apr 2011 to 
Mar 2012
[note 12]","Apr 2012 to 
Mar 2013
[note 12]","Apr 2013 to 
Mar 2014","Apr 2014 to 
Mar 2015","Apr 2015 to 
Mar 2016","Apr 2016 to 
Mar 2017","Apr 2017 to 
Mar 2018
[note 11][note 13]","Apr 2018 to 
Mar 2019
[note 13]","Apr 2019 to 
Mar 2020
[note 14]","Oct 2021 to 
Mar 2022
[note 8][note 14]","Apr 2022 to 
Mar 2023
[note 9]","Apr 2023 to 
Mar 2024
[note 4]","Apr 2024 to 
Mar 2025
[note 4]",Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024,unknown,0,0,0
Any sexual assault (including attempts but excluding causing sexual activity without consent) [note 15][note 16],1.0009367068088357,0.8842268844997929,0.9828635832148003,0.6160269092383392,0.5386527904298588,0.8136607605785038,0.8034045496075883,0.6014162745795115,0.8108050322408671,0.7123531947264906,0.6943884676421456,0.6795844867985218,0.8358180258744489,1.2291580591867912,1.227706387569872,0.8827314864945397,1.4033084044659707,1.2220482470819,1.01353559292801,0.923985516413631,[ns],unknown,0,0,0
Any sexual assault (including attempts) [note 15][note 16],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.7087510379972969,0.8566473396409132,1.2324004025524915,1.2414363935841126,[x],[x],[x],[x],[x],[x],unknown,0,0,0
Sexual assault by rape or penetration including attempts,0.1589455802083428,0.09938911569055538,0.06942956135498773,0.14309239017063713,0.06789924403796763,0.0637874859471662,0.15854628255968214,0.04944229348763266,0.15220251943624316,0.047990055245823775,0.09112501128228534,0.14562965320131172,0.04633756645440542,0.06486672871538707,0.2514191239773397,0.08874948886326513,[c],0.118191753800341,0.0871645973853618,0.087656478975257,[ns],unknown,0,0,0
Sexual assault by rape or penetration excluding attempts,0.07317315019933252,0.044329487898120606,0.017432575254097075,0.05732026508145523,0.03225496393289232,0.01847344381469042,0.09670488482926093,0.03319442297939277,0.08088747684654965,0.026324584507216,0.08108655056944365,0.08021850906649716,0.04642486666011008,0.04940513866247588,0.16324511293740082,0.05593559028212603,[c],0.0534996204536144,[c],0.0878390375568247,[z],unknown,0,0,0
- Rape including attempts,0.06585675871622963,0.05679105421320131,0.03917732772268449,0.0663803481194715,0.03755385302329663,0.03541490015411363,0.09776664878695651,0,0.1020130586092857,0.03744706311492896,0.0381773934416909,0.12924468449944262,0.029511754501598843,0.04941726300371679,0.02775023379502741,0.043652830954708184,[c],0.114424768061979,[c],[c],[c],unknown,0,0,0
- Rape excluding attempts,0.039428896445840425,0.030475371108292227,0.007598803827120868,0.029904344588525734,0.02362732960206466,0.008395825154960027,0.06658110833451757,0,0.061063740891075906,0.026371758370834445,0.028919174844468397,0.05838449484763367,0.018711884370915716,0.04948689673767333,0.02779814540645215,0.04377231185291046,[c],[c],[c],[c],[c],unknown,0,0,0
- Assault by penetration including attempts,0.06160613068145415,0.012714907934885398,0.009520066103049578,0.04265733929618526,0.010277778980948248,0.016647432251328254,0.010977430969270474,0.04290370353575858,0.11124246779817698,0.03188814761878077,0.062353030490777485,0.11904562821997161,0.046445031260233714,0.04138797043207498,0.22384962199765054,0.05705456007659469,[c],0.0534743407749457,[c],0.0880440212637396,[z],unknown,0,0,0
- Assault by penetration excluding attempts,0.03603302915022509,0.005116504326869944,0.009520066103049578,0.022888119605754625,0.0012366771615544103,0.016647432251328254,0.010977430969270474,0.04290370353575858,0.08102003102564131,0.021362572500004867,0.05228087603651171,0.06388381142152248,0.04656991075911801,0.025904329124676717,0.13567455419115546,0.024193468310156372,[c],0.0536574401430739,[c],0.0881945541908085,[z],unknown,0,0,0
