"Table A11c: Prevalence of sexual assault and stalking in the last year among all people aged 16 to 59 years, by type [note 1, 2, 10]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2005 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Notes,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Some shorthand is used in this table. [x] denotes that data are unavailable.[z] denotes not applicable. [c] denotes that figures have been suppressed due to disclosure constraints.,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
[s] denotes there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Abuse type,"Apr 2004 to 
Mar 2005
[note 11]","Apr 2005 to 
Mar 2006","Apr 2006 to 
Mar 2007","Apr 2007 to 
Mar 2008","Apr 2008 to 
Mar 2009","Apr 2009 to 
Mar 2010","Apr 2010 to 
Mar 2011
[note 12]","Apr 2011 to 
Mar 2012
[note 12]","Apr 2012 to 
Mar 2013
[note 12]","Apr 2013 to 
Mar 2014","Apr 2014 to 
Mar 2015","Apr 2015 to 
Mar 2016","Apr 2016 to 
Mar 2017","Apr 2017 to 
Mar 2018
[note 11][note 13]","Apr 2018 to 
Mar 2019
[note 13]","Apr 2019 to 
Mar 2020
[note 14]","Oct 2021 to 
Mar 2022
[note 8][note 14]","Apr 2022 to 
Mar 2023
[note 9]","Apr 2023 to 
Mar 2024
[note 4]","Apr 2024 to 
Mar 2025
[note 4]",Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024,unknown,0,0,0
Any sexual assault (including attempts but excluding causing sexual activity without consent) [note 15][note 16],2.6050799941591,2.977146032817532,2.9029316670167846,2.564376169051692,2.155759741841332,2.0818715682243445,2.3234354469975713,2.408723543752493,1.9138697969641625,1.4746422648221806,1.7090108873577323,1.961200960790143,1.956909146432753,2.718711024938118,2.86324979856038,2.1974765453858516,2.650476350200518,2.71830033117879,2.64107394458755,2.36559445124345,[ns],unknown,0,0,0
Any sexual assault (including attempts) [note 15][note 16],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],1.9827371364921484,1.976389467540283,2.730981509011371,2.8781785406879803,[x],[x],[x],[x],[x],[x],unknown,0,0,0
Sexual assault by rape or penetration including attempts,0.5807690786841865,0.6947167972427217,0.5796652578237933,0.6768291231869491,0.5136816027453395,0.43644305063133604,0.6823323944697013,0.6178146206628041,0.5732873735485514,0.37809534271516415,0.3867421472956802,0.43204658201059554,0.4572409331564854,0.4799220390813798,0.6778626741249395,0.5363377614335408,0.6088658647182551,0.614891593974259,0.418470443560507,0.256723203813703,[ns],unknown,0,0,0
Sexual assault by rape or penetration excluding attempts,0.38200109399700183,0.506882305481921,0.4008879230508624,0.4245596907787492,0.3411265614154246,0.3197418680355412,0.5290575860226296,0.3517578872470043,0.3218272942779446,0.22283912028182648,0.22808285986910865,0.2649668330728844,0.3015629121747413,0.3464275352523321,0.30625944116478127,0.3963507191601835,0.38004517914067054,0.320442766169485,0.312509789807806,0.181506709289577,[ns],unknown,0,0,0
- Rape including attempts,0.4522542207277492,0.6199214512060127,0.5153829014745169,0.555393713169207,0.41908082142120096,0.44101640069775355,0.6323565378806828,0.46603023770551116,0.43338527241471436,0.2702982004996919,0.27948962379704745,0.2879526308115423,0.34011511753526696,0.35490854202821764,0.37301271883909537,0.4004414921311052,0.39741793420069704,0.381652040019316,0.296509093420099,0.141170485346134,[ns],unknown,0,0,0
- Rape excluding attempts,0.3020567272549657,0.4214052363102634,0.35691583306126734,0.3136973851300726,0.3174383427177026,0.29924287763303214,0.4890457573284891,0.3044003837631605,0.2537831796273153,0.16421981606119082,0.1748973512548219,0.18995999882389175,0.20064949704689022,0.2387059254705505,0.14424482689574938,0.27946832260091076,0.24737278055071846,0.240445227338278,0.222857950755697,0.0882568871515574,[ns],unknown,0,0,0
- Assault by penetration including attempts,0.25174963256344307,0.25177073445508086,0.200127989575343,0.25547250208846795,0.21975195673374032,0.12483193332932,0.1729111517953692,0.30988740633855366,0.31928602287608554,0.25927093101345783,0.21071111273180018,0.30859977760287244,0.2922350620870299,0.2803637489954452,0.44986439435550307,0.3085002037486498,0.4123385172321819,0.45152982849125,0.362693326298102,0.172939772575758,[ns],unknown,0,0,0
