"Table A12: Prevalence of harassment experienced in the last year among people aged 16 and over, by type and sex [notes 1, 2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2024 to year ending March 2025",,,,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,,unknown,0,0,0
Link to Notes worksheet,,,,,,,,,,unknown,0,0,0
Some shorthand is used in this table. [z] denotes not applicable. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,unknown,0,0,0
Harassment type ,"Apr 2023 to Mar 2024
All","Apr 2024 to Mar 2025
All","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 
All","Apr 2023 to Mar 2024
Women","Apr 2024 to Mar 2025
Women","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 
Women","Apr 2023 to Mar 2024
Men","Apr 2024 to Mar 2025
Men","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 
Men",unknown,0,0,0
Any harassment [note 3],8.93152066152256,8.599330947645859,[ns],11.192276938295418,10.440342508034973,[ns],6.64223697478852,6.685590178644333,[ns],unknown,0,0,0
Non sexual harassment [note 4],5.474514883952949,5.824581432,[ns],6.106123628901992,6.498370234,[ns],4.834936168163888,5.124174587,[ns],unknown,0,0,0
Sexual harassment [note 5],4.909283556028878,4.357979668373698,[ns],7.125385765704251,6.1827912616095215,[ns],2.6652174048615063,2.461078846640717,[ns],unknown,0,0,0
Unweighted base - number of people aged 16 years and over [note 6],14952,15687,[z],7889,8238,[z],7063,7449,[z],unknown,0,0,0
