"Table A17: Proportion of children aged 10 to 15 who experienced victimisation in the last year (preferred measure), by household and area characteristics [note 1]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2025",,,,,unknown,0,0,0
This worksheet contains one table. The units in this table are percentage of children who experienced victimisation. Some cells refer to notes which can be found on the Notes worksheet.,,,,,unknown,0,0,0
Link to Notes,,,,,unknown,0,0,0
Some shorthand is used in this table. [u] indicates that data are not reported because the unweighted base is fewer than 50. [c] indicates that the data has been supressed due to disclosure constraints.,,,,,unknown,0,0,0
Link to Table of contents,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,unknown,0,0,0
Household characteristic [note 2],Household and area characteristics breakdown,All crime experienced by children aged 10 to 15,"Crime against the
 person
 [note 3]",Unweighted base - number of children aged 10 to 15,unknown,0,0,0
All children,All children ages 10-15,11.86283013819295,11.043513475896,1437,unknown,0,0,0
Structure of household,Single person and child(ren),12.2961123664818,11.99662717680104,277,unknown,0,0,0
Structure of household,Persons and child(ren),11.7577187108632,10.81229434211035,1160,unknown,0,0,0
Total Household Income,"Less than £10,400",[u],[u],27,unknown,0,0,0
Total Household Income,"£10,400 to less than £20,800",10.61918253751077,10.61918253751077,152,unknown,0,0,0
Total Household Income,"£20,800 to less than £31,200",14.9183424758085,12.98644144096764,206,unknown,0,0,0
Total Household Income,"£31,200 to less than £41,600",12.22840377614262,11.07254456962348,169,unknown,0,0,0
Total Household Income,"£41,600 to less than £52,000",12.97762401580187,11.62532615672102,170,unknown,0,0,0
Total Household Income,"£52,000 or more",12.65934937300665,11.94777594278096,469,unknown,0,0,0
Total Household Income,No income stated or not enough information provided,[u],[u],5,unknown,0,0,0
Tenure,Owners,11.98847328617996,11.05755214315601,768,unknown,0,0,0
Tenure,Social renters,11.97079681417969,10.48064710787384,315,unknown,0,0,0
Tenure,Private renters,11.8055498450554,11.8055498450554,346,unknown,0,0,0
Accommodation type,Houses,11.57026529652468,10.75083579838167,1291,unknown,0,0,0
Accommodation type,    Detached,9.992529012739604,9.315024941139486,281,unknown,0,0,0
Accommodation type,    Semi-detached,12.81759776124007,11.92052972938479,476,unknown,0,0,0
Accommodation type,    Terraced,11.44951294177983,10.60945972929898,534,unknown,0,0,0
Accommodation type,Flats/maisonettes,13.17327746806993,12.33952921296166,142,unknown,0,0,0
Output Area Classification,Rural residents,8.197509769312177,8.197509769312177,127,unknown,0,0,0
Output Area Classification,Cosmopolitans,[u],[u],35,unknown,0,0,0
Output Area Classification,Ethnicity central,11.38476159169015,9.838174542688822,83,unknown,0,0,0
Output Area Classification,Multicultural metropolitans,9.37433679107431,9.278355045741966,278,unknown,0,0,0
Output Area Classification,Urbanites,12.81073448164157,11.51634296252165,235,unknown,0,0,0
Output Area Classification,Suburbanites,13.26030448338727,13.03216875446553,239,unknown,0,0,0
Output Area Classification,Constrained city dwellers,16.74862129768674,16.74862129768674,123,unknown,0,0,0
Output Area Classification,Hard-pressed living,12.24958482198494,10.5272486071483,317,unknown,0,0,0
Area type,Urban,12.32381604678246,11.62409175027591,1211,unknown,0,0,0
Area type,Rural,9.818483094292,8.468806837653473,226,unknown,0,0,0
Level of physical disorder,High,10.22576310466625,10.22576310466625,87,unknown,0,0,0
Level of physical disorder,Not high,11.86510665758705,10.99767470967353,1346,unknown,0,0,0
English Indices of Deprivation (Employment),20% most deprived Output Areas,11.55474423939446,10.89153136471834,442,unknown,0,0,0
English Indices of Deprivation (Employment),Other Output Areas,12.68090954414437,12.40264783785334,722,unknown,0,0,0
English Indices of Deprivation (Employment),20% least deprived Output Areas,10.32282067029065,9.013854669435489,214,unknown,0,0,0
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,[u],[u],16,unknown,0,0,0
Welsh Indices of Deprivation (Employment),Other Output Areas,[u],[u],31,unknown,0,0,0
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,[u],[u],12,unknown,0,0,0
Region,North East,16.86472798899617,14.79527289201695,75,unknown,0,0,0
Region,North West,11.07751450887645,11.07751450887645,230,unknown,0,0,0
Region,Yorkshire and The Humber,8.227616939223607,8.227616939223607,167,unknown,0,0,0
Region,East Midlands,9.30017854747341,9.30017854747341,120,unknown,0,0,0
Region,West Midlands,6.607825042306245,6.244089635424459,180,unknown,0,0,0
Region,East,5.906070812012747,5.906070812012747,122,unknown,0,0,0
Region,London,11.0486033023956,10.48522600493921,191,unknown,0,0,0
Region,South East,20.09074659327659,18.50800403450241,198,unknown,0,0,0
Region,South West,17.57055961595561,16.56992412776016,95,unknown,0,0,0
Region,Wales,10.53046372517639,5.160222985593365,59,unknown,0,0,0
