"Table A18: Number of Child Sexual Abuse crimes - combining crimes flagged as Child Sexual Abuse and Indecent Images of Children (IIOC) crimes; plus crimes flagged as Child Sexual Exploitation, by police force area (Official statistics in development) [notes 1, 2, 3, 4, 5]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2025",,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,unknown,0,0,0
Link to Notes page,,,,,unknown,0,0,0
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,unknown,0,0,0
Link to Table of Contents,,,,,unknown,0,0,0
Source: Police recorded crime from the Home Office ,,,,,unknown,0,0,0
Police force area,"Apr 2024 to Mar 2025
Total number of sexual offence crimes flagged as child sexual abuse (CSA)","Apr 2024 to Mar 2025
Total number of Indecent Images of Children (IIOC) crimes 
[note 7]","Apr 2024 to Mar 2025
 Total number of child sexual abuse crimes (CSA flagged and 
IIOC) 
[note 7]","Apr 2024 to Mar 2025
Total number of crimes
 flagged as child sexual exploitation
 [note 8]",unknown,0,0,0
ENGLAND AND WALES [note 6],78968,41485,120453,16478,unknown,0,0,0
England ,73872,39066,112938,15726,unknown,0,0,0
North East ,5143,2568,7711,1088,unknown,0,0,0
Cleveland,1394,707,2101,121,unknown,0,0,0
Durham,1087,626,1713,744,unknown,0,0,0
Northumbria,2662,1235,3897,223,unknown,0,0,0
North West,13323,5666,18989,3019,unknown,0,0,0
Cheshire,2134,865,2999,432,unknown,0,0,0
Cumbria,738,421,1159,289,unknown,0,0,0
Greater Manchester ,5435,2050,7485,1521,unknown,0,0,0
Lancashire,2701,1107,3808,495,unknown,0,0,0
Merseyside,2315,1223,3538,282,unknown,0,0,0
Yorkshire and The Humber ,10302,5396,15698,891,unknown,0,0,0
Humberside,1591,771,2362,478,unknown,0,0,0
North Yorkshire,1018,582,1600,40,unknown,0,0,0
South Yorkshire,2381,1455,3836,219,unknown,0,0,0
West Yorkshire,5312,2588,7900,154,unknown,0,0,0
East Midlands,7081,3704,10785,1460,unknown,0,0,0
Derbyshire,1402,849,2251,520,unknown,0,0,0
Leicestershire,1709,838,2547,360,unknown,0,0,0
Lincolnshire,1235,717,1952,187,unknown,0,0,0
Northamptonshire,1243,480,1723,157,unknown,0,0,0
Nottinghamshire,1492,820,2312,236,unknown,0,0,0
West Midlands,9721,3428,13149,1230,unknown,0,0,0
Staffordshire,1884,447,2331,188,unknown,0,0,0
Warwickshire,927,565,1492,121,unknown,0,0,0
West Mercia,1914,792,2706,655,unknown,0,0,0
West Midlands,4996,1624,6620,266,unknown,0,0,0
East ,6671,4455,11126,1585,unknown,0,0,0
Bedfordshire,984,494,1478,111,unknown,0,0,0
Cambridgeshire,1279,777,2056,491,unknown,0,0,0
Essex,1170,1188,2358,315,unknown,0,0,0
Hertfordshire,1078,532,1610,148,unknown,0,0,0
Norfolk,1201,848,2049,361,unknown,0,0,0
Suffolk,959,616,1575,159,unknown,0,0,0
London,4226,2987,7213,1378,unknown,0,0,0
City of London,20,6,26,7,unknown,0,0,0
Metropolitan Police,4206,2981,7187,1371,unknown,0,0,0
South East ,9470,6780,16250,1827,unknown,0,0,0
Hampshire,1047,1482,2529,172,unknown,0,0,0
Kent,2153,1804,3957,166,unknown,0,0,0
Surrey,1003,678,1681,38,unknown,0,0,0
Sussex,2392,1294,3686,1053,unknown,0,0,0
Thames Valley,2875,1522,4397,398,unknown,0,0,0
South West ,7935,4082,12017,3248,unknown,0,0,0
Avon and Somerset,2771,1402,4173,1432,unknown,0,0,0
Devon and Cornwall ,2959,1404,4363,983,unknown,0,0,0
Dorset,754,310,1064,80,unknown,0,0,0
Gloucestershire,458,578,1036,492,unknown,0,0,0
Wiltshire,993,388,1381,261,unknown,0,0,0
Wales,4617,2400,7017,708,unknown,0,0,0
Dyfed-Powys,601,331,932,56,unknown,0,0,0
Gwent,1027,491,1518,117,unknown,0,0,0
North Wales,1420,533,1953,280,unknown,0,0,0
South Wales,1569,1045,2614,255,unknown,0,0,0
British Transport Police,479,19,498,44,unknown,0,0,0
