"Table A6: Percentage of CSEW headline crime incidents reported to the police or Action Fraud, statistical significance of change year ending March 2025 compared with selected years [note 1, 2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending December 1981 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
"Some shorthand is used in this table. [z] indicates that data are not comparable [x] indicates that data are not available, [c] indicates that the data has been supressed due to disclosure constraints and [s] indicates that the change is statistically significant at the 5% level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Offence group [note 3],Jan 1981 to Dec 1981,Jan 1991 to Dec 1991,Jan 1995 to Dec 1995 ,Jan 1997 to Dec 1997,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009 ,Apr 2009 to Mar 2010 ,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2024 to Mar 2025,"Unweighted base - number of incidents
(Apr 2024 to Mar 2025)
","Apr 2024 to Mar 2025  compared with Apr 2014 to Mar 2015 Significance 
[note 4]",unknown,0,0,0
VIOLENCE [note 5],23.867369792293374,30.220036112994126,35.974959456779665,33.80493318607467,35.79941106849342,41.199414224781606,39.395112773262866,46.05412005081218,44.6367977811729,42.72968532509084,42.44608333300187,43.82221391137489,46.205015707830015,40.879260679420625,42.42954393865437,44.07574452427797,52.43987337398034,52.91097909245056,52.681149744327435,41.78909874258952,38.12099539755057,44.28668947857067,49.486548203872054,43.38051206313863,44.48630505298528,42.80732464131273,432,[s],unknown,0,0,0
Wounding,41.53511858021515,42.47246665765379,37.22749587108138,41.28180941929579,55.59174857516667,52.54702216331014,57.09194121609952,60.32933717699608,59.11389961152692,57.18377386659169,58.11557860646141,64.56894785313007,59.70745703500185,58.09085903302966,67.16626942138593,56.036468472100275,58.85166368284447,70.8188477528176,65.23580927307339,46.03191716636335,57.33423935295981,59.98260085844266,67.52723207669527,50.74292767602707,64.8838817909163,63.87796521927125,87,,unknown,0,0,0
Assault with minor injury,17.54221387683929,25.360749974950604,35.57631460524362,31.300739757495272,28.16270341914108,36.73110583729554,32.62121718319379,40.4839490717369,39.35870525377008,37.44637767814107,36.87996315702903,37.106640983446106,40.83641944600151,34.59317986276471,32.99616642910482,39.61271349008938,50.77600253541641,46.98983136690153,49.006386507234915,40.26020659699539,34.2024215057827,39.167639676951744,42.59551462793224,41.99111672589406,38.55248796841811,39.83961612169644,345,,unknown,0,0,0
Violence without injury,15.751691015913721,23.418828542754447,36.47731518620574,29.91042276812705,25.658970457600322,38.85762116025755,30.2744978578669,35.63073681908471,36.746136443020966,36.15499793806058,32.84599553705229,34.40124949182007,41.63976011899362,34.94808027077412,35.13964179915451,35.86607724394597,54.09013253464945,48.54603656732001,49.35597178581628,43.26310680832675,36.55329181690543,36.1582647451503,36.95293323634743,37.622328944670855,39.15336344713969,38.05875249766412,258,[s],unknown,0,0,0
Domestic violence,[c],24.0985540925375,29.105241164156148,25.115890932617273,34.65247495294661,35.42320027121986,39.41791584044228,41.114731011151385,41.91603756501544,43.70258863968876,40.789623275160466,49.14633696430236,42.84873542349965,41.56839652257553,39.18161742496868,49.03410378502919,55.14470592625986,54.54760436190224,52.23918796739929,39.33174139692712,26.61154419050676,40.149650370232415,57.748556405499215,49.96423019235402,18.208222335154115,37.21689165815187,76,[s],unknown,0,0,0
Acquaintance,23.736216148268348,26.84917430640698,38.57382269525346,33.94916562828089,38.553081385707316,42.97144416514486,39.29769133156278,44.934856603839265,44.3471884223245,48.75991859802562,46.67516462409765,39.89297949353563,45.84573514791697,38.355347387948036,45.133433676977134,44.54790975636906,54.37146119796636,47.00668502516493,46.2306580590958,42.09236467921027,41.65834787998609,44.631668095411506,39.6897569410919,49.6673790582477,54.58375534450156,46.23653868123752,131,,unknown,0,0,0
Stranger,28.245243206677163,40.24651615187005,38.043468902026675,43.55713875869027,33.939131885312555,43.29868739017436,39.62858491003677,49.711343680638166,46.112069283610566,36.21936548618056,39.00455447928552,45.18895485996673,47.707326850477,43.320066911603156,40.63712502488471,40.19189768029515,48.122421130157576,55.60472203551866,59.87208191074651,42.61045800591107,39.370501313770255,45.65845692463486,56.32022492899288,35.67129506231292,45.76341174098235,42.71271558905512,222,[s],unknown,0,0,0
ROBBERY,[c],[c],54.34837560541415,55.095516156615666,47.34390741854643,53.011475356234136,53.2401150707681,49.016017453878355,48.94534228050201,47.14574587590753,42.99364669197025,40.830462605449235,44.39422934933102,49.52049767959177,56.121848736967515,51.02699702182096,41.68723664806181,50.65820753868437,60.56593093574075,48.49338403701315,35.767076908370655,51.85007792809735,45.26009837208604,56.85774313142081,[c],[c],47,,unknown,0,0,0
THEFT OFFENCES,37.14940051856034,51.539653741420075,45.48360855947236,43.619322076544385,44.04621836993697,44.155151263887056,42.92873606892773,42.027264552955714,41.87933692564687,40.856283170560964,40.43371266555523,39.32378976099621,40.78252097485432,39.0598638987137,38.30245996422029,39.82213356125239,37.51880247648335,39.54602799089662,39.751426124646926,40.21465846428627,39.073688386748884,36.181279980280415,37.11126516870177,36.27733946655519,34.147103151101845,33.70022748045765,2439,[s],unknown,0,0,0
Theft from the person,39.830101014027065,38.69793544473718,39.83458802924087,34.12722146253616,34.21787494976928,33.11274206693046,38.39462530625461,32.14311750272133,32.80981683758369,34.41231685497737,32.14595454683888,30.053449574310488,33.15152420917712,29.30281516738586,32.03352657272806,35.222190725157404,32.05476623969779,34.67426661918345,33.76342015138961,32.02016666470732,29.434058294723698,26.73225716708849,23.03208536704299,28.060824443065762,25.876806690982047,38.39641679021696,220,,unknown,0,0,0
Snatch theft from person,[c],[c],[c],[c],53.04545958792106,40.02646409459776,50.35369849692239,53.81813297442125,40.15740336348232,45.466326253556176,58.0549573320403,45.73295176582767,39.38338331148387,[c],42.180869564190544,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],47,[s],unknown,0,0,0
Stealth theft from person,50.538648023662546,48.12549679343691,52.382668245054646,43.92158188502062,46.364297023958336,46.324014746919616,49.415079463699115,42.44194987805793,45.697721421882406,46.981066196420656,37.77271670535031,38.81383105465539,45.7210195442808,40.44370862430047,48.188508927091014,46.531687595071766,45.49846748912793,53.19519231016956,46.37163907304162,44.80006200893923,45.71260579081314,38.23289713143051,31.497452906626012,49.81240224457271,42.07944015401249,36.97539218413096,79,[s],unknown,0,0,0
Attempted snatch or stealth theft from the person,[c],[c],11.421202535435567,7.920176359560016,5.747720523689366,6.870023003161156,4.293330054107133,6.803670943089818,5.969116670754226,6.524399251125537,8.75107409187848,2.072974688167589,5.695304196795617,6.663195882623726,2.967499812207106,5.4175088559547095,8.278065101763637,7.353295861379277,9.246013156455223,6.788414850033438,6.793715419161309,5.269950391348248,11.999308298982289,7.202956377018318,10.317072719170111,24.418107975348,94,,unknown,0,0,0
Other theft of personal property ,21.93807112459238,38.22734477050291,28.920538696614123,31.4627709414152,31.6702342363599,36.50970432427474,35.09018921354208,34.85549048840406,33.868135673324005,33.27771094301148,30.81343412600399,33.63303153909026,33.90743636877461,32.78995338220862,34.59019603342282,34.18087409120961,27.80512096971845,36.48345530640062,29.663114874267183,29.869878401769544,33.29049227135501,24.501388071858386,30.990938756273245,29.91132643056898,25.182291661959074,31.791045495015,215,,unknown,0,0,0
Domestic burglary,66.65040083257028,72.2651200020754,61.56777707147537,60.74721235171027,57.75398792900756,62.0836058013365,58.96830402950726,58.616701383687264,58.93639789844711,61.404823172934506,60.304937861702115,59.982009310832495,61.94206807241889,62.5020132655609,62.236220551886014,65.59668027391558,61.4823437976332,63.00664367273924,61.37535963162771,62.57958886974445,59.75256041061249,61.234143314146806,59.0608238130606,54.72552122564485,57.65910382468882,54.01183373470988,421,[s],unknown,0,0,0
With entry,73.49185379698461,82.65095924434732,71.47188632437862,69.52522502801331,66.81657369329164,73.00079372420456,66.97556249024011,67.14664115256593,65.64328082425612,68.7435589620517,67.19231287573774,66.45515746507606,68.02292686427106,68.996013564685,68.05119972537453,70.98916256338164,69.5874720083906,68.45305389852246,69.50046159637485,69.01822030131041,67.39412431339863,69.10112100295758,64.67998923135522,66.31253767146936,65.69184643906941,61.99874639349154,232,,unknown,0,0,0
