Table A7: Reasons for not reporting incidents of crime to the police,Unnamed: 1,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2025",,unknown,0,0,0
This worksheet contains one table. The units in this table are responses in percentages of reasons for not reporting incidents of crime. Some cells refer to notes which can be found on the Notes worksheet.,,unknown,0,0,0
Link to Notes page,,unknown,0,0,0
Link to Table of contents,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,unknown,0,0,0
Reason for not reporting ,"All CSEW crime [note 14, 15]",unknown,0,0,0
Police could not do anything,28.29959582392879,unknown,0,0,0
Too trivial/not worth reporting,28.2943184574933,unknown,0,0,0
Police would not have been bothered/interested,21.63630378268983,unknown,0,0,0
Private matter/dealt with matter themselves,19.04977928269971,unknown,0,0,0
Inconvenient to report,11.07796503962314,unknown,0,0,0
"Reported to other authorities (e.g. superiors, company security)",7.560123431279546,unknown,0,0,0
No loss/damage,6.944904634657699,unknown,0,0,0
Attempt at offence unsuccessful,3.647684521004321,unknown,0,0,0
Lack of trust in the police,3.510342984586562,unknown,0,0,0
Dislike or fear of the police/previous bad experience with the police or courts,2.90714447790756,unknown,0,0,0
Common occurrence/just something that happens,2.547440112859355,unknown,0,0,0
Offender not responsible for actions,2.514340441923836,unknown,0,0,0
Partly own/family member/friends fault,2.314537235580796,unknown,0,0,0
Happened as part of job,2.060883044337381,unknown,0,0,0
Fear of reprisal,1.502974978782641,unknown,0,0,0
Thought someone else had already reported incident/similar incidents,1.362959839348872,unknown,0,0,0
"Tried to report, but unable to contact police/police not interested",0.3220217839729837,unknown,0,0,0
Other,2.349291925878269,unknown,0,0,0
Unweighted base - number of incidents,2194,unknown,0,0,0
