"Table B1: Perceptions of changing crime levels, year ending December 1996 to year ending March 2025, with statistical significance of change year ending March 2025 compared to year ending March 2024 and 2015 [note 1, 2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,age_band,flag_depression,flag_anxiety,flag_comorbid
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
This worksheet contains two tables. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
"Some shorthand is used in this table. [x] denotes that data are not available, [s] denotes there is a statistically significant change at the 5% level. [z] denotes that data are not applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Perceptions of changing crime levels,Geography,Jan 1996 to Dec 1996,Jan 1998 to Dec 1998,Jan 2000 to Dec 2000,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,"Apr 2008 to Mar 2009 [note 3, 4]",Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013 [note 4],Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018 [note 3],Apr 2018 to Mar 2019 [note 3],Apr 2019 to Mar 2020 ,Apr 2022 to Mar 2023 ,Apr 2023 to Mar 2024,Apr 2024 to Mar 2025,"Apr 2024 to Mar 2025 compared with Apr 2014 to Mar 2015
",Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024,unknown,0,0,0
There is 'a little more' or 'a lot more' crime than two years ago,National,75.18298279403,58.20034071143,66.33697388668,64.60660541062151,72.3716766137431,65.31529089960986,60.64685846085367,62.624652853812655,64.44134750180837,65.3974927995324,74.85367064508415,66.42349508246306,59.875333890460105,66.02325379755675,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],unknown,0,0,0
There is 'a little more' or 'a lot more' crime than two years ago,Local,54.76633365364,46.23002814014,49.97281395766,51.12022033163278,53.96923023066299,48.52973600906173,42.39032222887681,41.92339687245511,41.32980183732571,38.89087080059729,36.18818464136437,30.588140279336155,27.887806983632924,29.2472666099077,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],unknown,0,0,0
Unweighted base - number of people aged 16 and over [note 5],,8235,7248,9369,8136,8958,9292,10965,11738,11580,11404,11464,10966,11584,11373,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],unknown,0,0,0
Crime has gone up 'a little' or 'a lot' in the past few years,National,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],84.10291853176572,79.97714068790692,73.79368648921555,79.33621052949236,69.46743919412776,61.415694713442804,57.41387744,59.73099065,62.84193702,71.80053589,80.84642166,81.74019642,73.63031766,78.78358508,81.74730892637693,[s],[s],unknown,0,0,0
Crime has gone up 'a little' or 'a lot' in the past few years,Local,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],48.961192540390726,43.44870078066606,40.0003688506088,39.29402217105106,34.59716723819671,32.25543870470191,30.28424394,31.2964163,37.18550088,43.19409913,49.60991184,51.60639319,48.95937345,50.75410051,53.33558747160394,[s],[s],unknown,0,0,0
Unweighted base - number of people aged 16 and over [note 5],,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],34447,33119,34735,34119,26451,26554,25022,26300,26361,25872,16721,16594,15173,14977,15206,,,unknown,0,0,0
