"Table B2: Perceptions of changing crime levels, people aged 16 and over, by personal characteristics, year ending March 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,age_band,flag_depression,flag_anxiety,flag_comorbid
England and Wales,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,unknown,0,0,0
Link to Notes,,,,,unknown,0,0,0
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,unknown,0,0,0
Link to Table of contents,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,unknown,0,0,0
Personal characteristic [note 1],Personal characteristic breakdown,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: national level,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: local level,Unweighted base - number of people aged 16 and over [note 2],unknown,0,0,0
All people,All people,81.74730892637693,53.33558747160394,15206,unknown,0,0,0
All people,16-24,79.34040118587072,47.77765693026814,845,unknown,0,0,0
All people,25-34,78.56607073563153,52.18213237783856,2062,unknown,0,0,0
All people,35-44,79.24470170471868,55.87341983562387,2511,unknown,0,0,0
All people,45-54,81.88142326323138,59.62825098200346,2305,unknown,0,0,0
All people,55-64,82.31281585574317,56.39552888995066,2663,unknown,0,0,0
All people,65-74,86.26642090487529,52.55575130222419,2479,unknown,0,0,0
All people,75+,86.52780967832302,44.5661802987329,2341,unknown,0,0,0
Men,Men,78.8682027455232,49.15413352439081,7157,unknown,0,0,0
Men,16-24,75.4581405334835,45.03947650524188,397,unknown,0,0,0
Men,25-34,75.45811700201952,48.11387721952515,914,unknown,0,0,0
Men,35-44,76.58288024504071,51.10169828382686,1126,unknown,0,0,0
Men,45-54,80.33372027818079,56.95567270448668,1087,unknown,0,0,0
Men,55-64,79.40165479992437,50.24717654813634,1325,unknown,0,0,0
Men,65-74,83.8476948367506,46.4463480549233,1217,unknown,0,0,0
Men,75+,83.37689216584843,42.18021025717258,1091,unknown,0,0,0
