"Table B6: Worry about crime by household and area characteristics, people aged 16 and over, year ending March 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,age_band,flag_depression,flag_anxiety,flag_comorbid
England and Wales,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,unknown,0,0,0
Link to Notes,,,,,,,unknown,0,0,0
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,unknown,0,0,0
Link to Table of contents ,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown,0,0,0
Household characteristic [note 1],Household or area characteristics breakdown,Percentage with high level of worry about burglary,Percentage with high level of worry about car crime,Percentage with high level of worry about fraud [note 2],Percentage with high level of worry about violent crime,Unweighted base - number of people aged 16 and over [note 3],unknown,0,0,0
All people,All people,7.691737143980958,7.008187179993695,16.82460569989223,7.791190786433456,7821,unknown,0,0,0
Structure of household,Single person and child(ren) under 16,12.53274993149149,3.114647514778265,14.98377982487751,14.51481856286055,320,unknown,0,0,0
Structure of household,Persons and child(ren) under 16,8.91870549900027,9.020457224290292,15.37121819621706,10.85877623669298,1526,unknown,0,0,0
Structure of household,Person(s) and no children,7.137838171649462,6.369096984819038,17.3678999116019,6.535762071655158,5975,unknown,0,0,0
Total Household Income,"Up to £10,399",12.23230028171321,5.624022987888512,19.46880712481985,11.65107462600031,341,unknown,0,0,0
Total Household Income,"£10,400 - £20,799",11.17829386765162,5.908352205969527,21.42264347268312,10.17912076968605,1235,unknown,0,0,0
Total Household Income,"£20,800 - £31,199",10.22204260616107,8.420339507477953,17.87388498881248,8.86559559650037,1254,unknown,0,0,0
Total Household Income,"£31,200 - £41,599",5.08957490326674,6.327393569316859,16.47966525841192,7.680797840662758,858,unknown,0,0,0
Total Household Income,"£41,600 - £51,999",6.714143826809428,5.395085299371338,15.97076161312946,8.75829296535971,771,unknown,0,0,0
