"Table B7: Trends in percentage of people aged 16 and over who felt very/fairly safe walking alone after dark, by sex, with statistical significance of change year ending March 2025 to selected years [note1][note 2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending December 1994 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Some shorthand is used in this table. [x] indicates that data are not available. [s] indicates there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,0,0
Sex,Jan 1994 to Dec 1994,Jan 1996 to Dec 1996,Jan 1998 to Dec 1998,Jan 2000 to Dec 2000,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017 [note 3],Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2024 to Mar 2025,"Apr 2024 to Mar 2025 compared with Apr 2014 to Mar 2015
","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024
",unknown,0,0,0
Males,84.09777928720533,85.0083135678635,85.08041965721577,84.9842702156225,84.03549880314391,81.96650072375839,83.60368269869024,84.80284274385487,82.81551117478963,82.89045800167682,83.03751375719125,83.39308686861618,84.73876559170024,86.08563182994014,87.08260300311319,84.72288850522519,85.08356364056478,85.75433770849172,87.87263644507351,[x],87.16786062261748,88.35775144986023,86.82945825550871,89.71113921,89.2200060029071,88.8068362580452,[s],[ns],unknown,0,0,0
Females,45.47708463352843,52.658876982180736,51.599418027333776,52.7325935383084,53.096617922848345,50.44783516964759,53.25797600438492,56.55094237556175,54.56886977947831,55.9485120177003,56.334441511193866,57.392252107008545,60.94367969347289,63.54408855640662,64.48216164655682,56.65093352951438,57.95424582600218,61.81505205967733,61.70598040835134,[x],63.74953488,68.81072249224191,68.99556278,68.98974761,69.62947345094831,68.19204192885623,[s],[ns],unknown,0,0,0
All people aged 16 and over,64.048686877322,68.20053286290961,67.71540604658085,68.2817530715697,68.08609377647656,65.71513079673647,67.98317450562118,70.26242897022688,68.27897624231028,69.03893532593428,69.32177030234246,70.04666565093463,72.53356924800842,74.53675390817087,75.51578593894111,70.4816186669451,71.24689954764844,73.68757035735837,74.70836037037515,[x],75.22197772,78.41676293135104,77.84536512526424,79.13920834006623,79.49412805580185,78.35236362360455,[s],[ns],unknown,0,0,0
Unweighted base - number of people aged 16 and over [note 4],14451,16292,14893,19306,32499,36269,37627,44834,47584,46895,46696,46042,44373,46484,45707,8014,8302,7823,8385,[x],8230,8118,7902,7363,7282,7819,[x],[x],unknown,0,0,0
