"Table C10: High levels of perceived anti-social behaviour in local area, by household and area characteristics, people aged 16 and over [note 1]",Unnamed: 1,Unnamed: 2,Unnamed: 3,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2025",,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,unknown,0,0,0
Link to Notes page,,,,unknown,0,0,0
Some shorthand is used in this table. [u] indicates that that data are not reported because the unweighted base is fewer than 50,,,,unknown,0,0,0
Link to Table of contents,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown,0,0,0
Household characteristic [note 1] ,Household/area characteristics breakdown,"Percentage of people reporting high level of perceived ASB
 [note 2]",Unweighted base - number of people aged 16 and over,unknown,0,0,0
All people,All people,8.275303094814102,7661,unknown,0,0,0
Structure of household ,Single person and child(ren) under 16,16.20713862432562,321,unknown,0,0,0
Structure of household ,Persons and child(ren) under 16,10.08125798003406,1427,unknown,0,0,0
Structure of household ,Person(s) and no child(ren),7.460688746066094,5913,unknown,0,0,0
Total household income,"Less than £10,400",11.14732701059435,348,unknown,0,0,0
Total household income,"£10,400 to less than £20,800",9.883386713299961,1198,unknown,0,0,0
Total household income,"£20,800 to less than £31,200",8.586940229987269,1247,unknown,0,0,0
Total household income,"£31,200 to less than £41,600",9.261164231902175,839,unknown,0,0,0
Total household income,"£41,600 to less than £52,000",9.625029023104602,763,unknown,0,0,0
Total household income,"£52,000 or more",6.715392991463467,1692,unknown,0,0,0
Total household income,No income stated or not enough information provided,4.706851037257107,79,unknown,0,0,0
Tenure,Owner occupiers,5.664092296333775,4855,unknown,0,0,0
Tenure,Social renters,17.7679166029911,1311,unknown,0,0,0
Tenure,Private renters,9.33811797557665,1418,unknown,0,0,0
Accommodation type ,Houses,7.220014270515655,6309,unknown,0,0,0
Accommodation type ,Detached,3.285591969626183,1716,unknown,0,0,0
Accommodation type ,Semi-detached,5.92979685307243,2361,unknown,0,0,0
Accommodation type ,Terraced,12.01075126020558,2232,unknown,0,0,0
Accommodation type ,Flats/maisonettes,13.89647632654308,1313,unknown,0,0,0
Accommodation type ,Other,[u],17,unknown,0,0,0
Output Area Classification,Rural residents,2.216428517557078,962,unknown,0,0,0
Output Area Classification,Cosmopolitans,13.75522785471736,322,unknown,0,0,0
Output Area Classification,Ethnicity central,19.10027189653445,458,unknown,0,0,0
Output Area Classification,Multicultural metropolitans,14.39559306598139,996,unknown,0,0,0
Output Area Classification,Urbanites,4.366242320046765,1364,unknown,0,0,0
Output Area Classification,Suburbanites,2.852434929805793,1388,unknown,0,0,0
Output Area Classification,Constrained city dwellers,16.30933267515197,624,unknown,0,0,0
Output Area Classification,Hard-pressed living,9.726136445614586,1547,unknown,0,0,0
Area type,Urban,9.868145800711,6093,unknown,0,0,0
Area type,Rural,2.016631453417122,1568,unknown,0,0,0
Level of physical disorder,High,27.21185910084723,500,unknown,0,0,0
Level of physical disorder,Not high,7.057296173511282,7145,unknown,0,0,0
English Indices of Deprivation (Employment),20% most deprived output areas,17.13078704128895,1795,unknown,0,0,0
English Indices of Deprivation (Employment),Other output areas,7.31470872090402,4053,unknown,0,0,0
English Indices of Deprivation (Employment),20% least deprived output areas,3.041250753528712,1258,unknown,0,0,0
Welsh Indices of Deprivation (Employment),20% most deprived output areas,9.737966693556812,144,unknown,0,0,0
Welsh Indices of Deprivation (Employment),Other output areas,6.402878516839865,313,unknown,0,0,0
Welsh Indices of Deprivation (Employment),20% least deprived output areas,4.476337095020922,98,unknown,0,0,0
Region,North East,7.401449386503504,478,unknown,0,0,0
Region,North West,8.1154478797337,974,unknown,0,0,0
Region,Yorkshire and The Humber,11.17148128678561,782,unknown,0,0,0
Region,East Midlands,6.177877022368246,720,unknown,0,0,0
Region,West Midlands,9.686491993324093,738,unknown,0,0,0
Region,East,5.83040241612906,871,unknown,0,0,0
Region,London,13.75789841968129,914,unknown,0,0,0
Region,South East,5.085801929739817,925,unknown,0,0,0
Region,South West,7.107466760719144,704,unknown,0,0,0
Region,Wales,6.703517286209775,555,unknown,0,0,0
