"Table C12: Experiences of anti-social behaviour by police force area, people aged 16 and over, year ending March 2025 CSEW [note1][note 2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,age_band,flag_depression,flag_anxiety,flag_comorbid
England and Wales ,,,,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,unknown,0,0,0
Link to Notes page,,,,,,,,,,unknown,0,0,0
Some shorthand is used in this table: [z] indicates not applicable. [s] Denotes the change is significant at the 5% level. [sd] indicates a statistically significant decrease. [si] indicates a statistically significant increase.,,,,,,,,,,unknown,0,0,0
Link to Table of Contents,,,,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,unknown,0,0,0
Area Code,Area Name,Any anti-social behaviour - Percentage experienced or witnessed,Any anti-social behaviour - Statistically significantly different from England and Wales,Drink related behaviour - Percentage experienced or witnessed,Drink related behaviour - Statistically significantly different from England and Wales,Groups hanging around on the streets - Percentage experienced or witnessed,Groups hanging around on the streets - Statistically significantly different from England and Wales,Groups hanging around on the streets - Statistically significantly different from Apr 2024 to Mar 2025,"Unweighted base
 - number of people aged 16 and over",unknown,0,0,0
K04000001,ENGLAND AND WALES,35.47650820494556,[z],9.353894554378536,[z],11.365993426917866,[z],[sd],31465,unknown,0,0,0
E92000001,ENGLAND,35.6069370501533,,9.457802939530067,,11.322834574257444,,[sd],29276,unknown,0,0,0
E12000001,North East,44.19359988493648,[s],10.749890400138247,,16.044331313329206,[s],,1887,unknown,0,0,0
E23000013,Cleveland,46.89084165196419,[s],8.16787373301434,,16.38181810861136,,[sd],609,unknown,0,0,0
E23000008,Durham,44.89795677645269,[s],11.582795539285438,,16.240915639311847,,,590,unknown,0,0,0
E23000007,Northumbria,42.75013404356236,[s],11.477404393652087,,15.816639398810286,,,688,unknown,0,0,0
E12000002,North West,36.44760526422408,,8.478428613896362,,13.288890383761041,[s],,4021,unknown,0,0,0
E23000006,Cheshire,31.999252932931498,,7.740696154183141,,5.465623052365965,[s],,527,unknown,0,0,0
E23000002,Cumbria,26.61480272829797,[s],5.762244549465853,[s],6.377929892841576,[s],,563,unknown,0,0,0
E23000005,Greater Manchester,39.802697825476784,[s],11.441052968501738,,19.657650028848874,[s],,1479,unknown,0,0,0
E23000003,Lancashire,37.43928950845083,,8.72881767807512,,13.181801696153114,,,576,unknown,0,0,0
E23000004,Merseyside,35.73633603710271,,4.2554547272602,[s],9.489113387161416,,,876,unknown,0,0,0
E12000003,Yorkshire and the Humber,37.32723390352009,,8.575001245823755,,12.25713594822389,,[sd],3228,unknown,0,0,0
E23000012,Humberside,31.80737410033132,,7.188950762744322,,9.788504073314483,,[sd],717,unknown,0,0,0
E23000009,North Yorkshire,28.91319053489698,[s],11.01113041610648,,7.639360107363027,[s],[sd],613,unknown,0,0,0
E23000011,South Yorkshire,35.24806946502461,,9.14398514600168,,12.331356531033476,,,745,unknown,0,0,0
E23000010,West Yorkshire,43.63383489831523,[s],7.881078174750624,,14.778434520231903,,,1153,unknown,0,0,0
E12000004,East Midlands,36.76927097910264,,7.048943933485308,[s],11.720195146894602,,,3005,unknown,0,0,0
E23000018,Derbyshire,39.73205055236149,,7.334394081621451,,12.094161593600628,,,599,unknown,0,0,0
E23000021,Leicestershire,32.50411941086449,,5.211378376809824,[s],9.821413074020233,,,636,unknown,0,0,0
E23000020,Lincolnshire,29.84986974651735,,9.218166413389383,,6.723173479974363,[s],[sd],684,unknown,0,0,0
E23000022,Northamptonshire,30.74739829397901,,8.485569902693227,,13.28195907091602,,,472,unknown,0,0,0
E23000019,Nottinghamshire,46.253189984724884,[s],6.4394669321453275,[s],15.23322664069287,,,614,unknown,0,0,0
E12000005,West Midlands ,39.079677877758996,[s],7.25863172779736,[s],11.999685624421904,,,3153,unknown,0,0,0
E23000015,Staffordshire,44.57612702179338,[s],7.591696131560257,,14.15126155276961,,,566,unknown,0,0,0
E23000017,Warwickshire,36.911164339573595,,9.816433110999071,,11.853306986900883,,,756,unknown,0,0,0
E23000016,West Mercia,24.190052448056296,[s],4.96584772523834,[s],8.889736246462519,,,588,unknown,0,0,0
E23000014,West Midlands,43.88092453398082,[s],7.5680558956252,,12.54523015456804,,[sd],1243,unknown,0,0,0
E12000006,East,32.72389712049819,[s],7.774928439272115,[s],9.61726938860252,[s],,3528,unknown,0,0,0
E23000026,Bedfordshire,37.15832264352711,,7.221360295961289,,12.227985430220627,,,537,unknown,0,0,0
E23000023,Cambridgeshire,30.41884995866486,,8.35841336699249,,7.860398736725853,[s],,492,unknown,0,0,0
E23000028,Essex,35.95902094738943,,8.3316350389539,,11.601337955816728,,,784,unknown,0,0,0
E23000027,Hertfordshire,29.43625854517592,,7.641762657771752,,7.4279671156308185,[s],,562,unknown,0,0,0
E23000024,Norfolk,33.049815669786945,,8.43768381845994,,6.8666691142432486,[s],,591,unknown,0,0,0
E23000025,Suffolk,27.586502327265862,[s],5.576592814873744,[s],11.147538952926348,,,562,unknown,0,0,0
E12000007,London,31.751619622906347,[s],10.88539352479746,,9.545965213157363,[s],,3865,unknown,0,0,0
E12000007,City of London / Metropolitan Police,31.751619622906347,[s],10.88539352479746,,9.545965213157363,[s],,3865,unknown,0,0,0
E12000008,South East,34.68084661762244,,10.577516646647672,,10.66887001598136,,[sd],3680,unknown,0,0,0
E23000030,Hampshire,35.46223301813011,,10.723793319118093,,10.581752930248985,,[sd],791,unknown,0,0,0
E23000032,Kent,38.80162605317209,,13.17817456614059,[s],13.479224101908295,,,984,unknown,0,0,0
E23000031,Surrey,30.9433718928282,,7.962732058510301,,7.223886748825728,[s],,602,unknown,0,0,0
E23000033,Sussex,32.40046688016045,,11.324780306615231,,11.344897683030695,,[sd],552,unknown,0,0,0
E23000029,Thames Valley,34.21973855746532,,9.136822195531586,,9.702610238565356,,,751,unknown,0,0,0
E12000009,South West,34.92382345538745,,13.067359957636521,[s],10.366983670189148,,,2909,unknown,0,0,0
E23000036,Avon and Somerset,44.47161116353291,[s],14.630082312323873,[s],12.94931817799943,,,551,unknown,0,0,0
E23000035,Devon and Cornwall,23.8407721586764,[s],12.655128395164889,,6.30631373498159,[s],,567,unknown,0,0,0
E23000039,Dorset,49.93878994823946,[s],22.315031198811027,[s],18.51636594725212,[s],,615,unknown,0,0,0
E23000037,Gloucestershire,26.31822682031898,[s],6.213526240594796,[s],7.190206047125569,[s],,568,unknown,0,0,0
E23000038,Wiltshire,29.11997184377387,[s],6.890547196439697,,7.597019298513791,[s],,608,unknown,0,0,0
W92000004,WALES,33.14737966692438,,7.498354203540981,,12.136701127653128,,,2189,unknown,0,0,0
W15000004,Dyfed-Powys,25.466883093966125,[s],5.267403908524916,[s],9.14154960637887,,,508,unknown,0,0,0
W15000002,Gwent,38.37562684680723,,8.201550685986774,,10.210359970462399,,[sd],565,unknown,0,0,0
W15000001,North Wales,34.36162940464715,,10.94907597666082,,14.502331018189567,,[si],498,unknown,0,0,0
W15000003,South Wales,33.13939697237609,,5.964384507246169,[s],12.805395926182792,,,618,unknown,0,0,0
