"Table C19: Community Safety Partnerships: Crime rate per 1,000 population for categories of anti-social behaviour, year ending March 2025 [note 1][note 4][note 5][note 6]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,age_band,flag_depression,flag_anxiety,flag_comorbid
England and Wales,,,,,,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,unknown,0,0,0
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,,unknown,0,0,0
Link to Notes page,,,,,,,,,,,unknown,0,0,0
Link to table of contents,,,,,,,,,,,unknown,0,0,0
Source: Home Office - Police recorded crime,,,`,,,,,,,,unknown,0,0,0
"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name",Population figures (mid-2022) - rounded to 100,Total recorded ASB,Environmental,Nuisance,Personal,unknown,0,0,0
E23000036,Avon and Somerset,,,,,1765400,12.830490924456951,0.5392533380461356,10.280932862959414,2.0103047234514024,unknown,0,0,0
E23000036,Avon and Somerset,E22000001,Bath and North East Somerset,E06000022,Bath and North East Somerset,195600,11.77294522998906,0.5827684568904702,9.385639358341257,1.8045374147573332,unknown,0,0,0
E23000036,Avon and Somerset,E22000002,"Bristol, City of",E06000023,"Bristol, City of ",479000,18.725575336517586,0.7223020140953272,15.638047362971374,2.3652259594508838,unknown,0,0,0
E23000036,Avon and Somerset,E22000003,North Somerset,E06000024,North Somerset,219100,10.8421364849757,0.4335029318487759,8.428209632891464,1.9804239202354605,unknown,0,0,0
E23000036,Avon and Somerset,E22000369,Somerset,E06000066,Somerset,576900,11.295791641530236,0.4663241177979794,8.827220846941676,2.002246676790581,unknown,0,0,0
E23000036,Avon and Somerset,E22000006,South Gloucestershire,E06000025,South Gloucestershire,294800,8.318491001306125,0.42067409631401287,6.296541312571031,1.6012755924210813,unknown,0,0,0
E23000036,Avon and Somerset,,Unassigned Avon and Somerset,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000026,Bedfordshire,,,,,715900,15.1074112355784,1.8604911026063637,12.427019023940554,0.8199011090314832,unknown,0,0,0
E23000026,Bedfordshire,E22000009,Bedford,E06000055,Bedford,187500,16.029573362636427,1.514941376036188,13.623803783085998,0.8908282035142372,unknown,0,0,0
E23000026,Bedfordshire,E22000353,Central Bedfordshire,E06000056,Central Bedfordshire,301500,13.903768146705982,1.2172430605536964,11.940258904613916,0.7462661815383698,unknown,0,0,0
E23000026,Bedfordshire,E22000010,Luton,E06000032,Luton,227000,15.341031752675429,2.9695161979618723,11.56084644429073,0.8106691104228256,unknown,0,0,0
E23000026,Bedfordshire,,Unassigned Bedfordshire,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000023,Cambridgeshire,,,,,906800,15.44528425895498,1.2328878910118282,12.893493042674683,1.3189033252684674,unknown,0,0,0
E23000023,Cambridgeshire,E22000013,Cambridge,E07000008,Cambridge,147000,16.367903670192863,1.2857580189802373,13.809993537195142,1.2721521140174836,unknown,0,0,0
E23000023,Cambridgeshire,E22000014,East Cambridgeshire,E07000009,East Cambridgeshire,89400,11.879991945768172,1.073897577018592,9.776942524106763,1.0291518446428172,unknown,0,0,0
E23000023,Cambridgeshire,E22000015,Fenland,E07000010,Fenland,103000,14.247585771825108,1.04818750909885,11.830931236958316,1.3684670257679428,unknown,0,0,0
E23000023,Cambridgeshire,E22000016,Huntingdonshire,E07000011,Huntingdonshire,184100,12.083541607806488,0.9834177297720209,10.116706148262447,0.9834177297720209,unknown,0,0,0
E23000023,Cambridgeshire,E22000017,Peterborough,E06000031,Peterborough,217700,22.084931443926415,1.8281619622884178,18.3045864817069,1.9521829999310996,unknown,0,0,0
E23000023,Cambridgeshire,E22000018,South Cambridgeshire,E07000012,South Cambridgeshire,165600,10.813062614334099,0.8029800824714882,9.104465897496272,0.9056166343663401,unknown,0,0,0
E23000023,Cambridgeshire,,Unassigned Cambridgeshire,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000006,Cheshire,,,,,1108800,9.173269358249945,0.5537692838428342,6.901372247500597,1.7181278269065132,unknown,0,0,0
E23000006,Cheshire,E22000354,Cheshire East,E06000049,Cheshire East,406500,8.115082147065262,0.4526144634919698,5.965163445478406,1.6973042380948866,unknown,0,0,0
E23000006,Cheshire,E22000355,Cheshire West and Chester,E06000050,Cheshire West and Chester,361700,9.029732315161436,0.4948934734886396,7.088865173323307,1.4459736683494888,unknown,0,0,0
E23000006,Cheshire,E22000023,Halton,E06000006,Halton,129000,13.631711175211686,0.7211314785521541,10.654136037964083,2.25644365869545,unknown,0,0,0
E23000006,Cheshire,,Unassigned Cheshire,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000006,Cheshire,E22000026,Warrington,E06000007,Warrington,211600,8.214386993099538,0.6994990074676245,5.737782399092541,1.7771055865393703,unknown,0,0,0
E23000034,City of London [note 6],E22000180,City of London,E09000001,City of London,10800,[u1],[u1],[u1],[u1],unknown,0,0,0
E23000013,Cleveland,,,,,579300,28.483290665939336,0.6663363755789444,26.27367781427859,1.543276476081804,unknown,0,0,0
E23000013,Cleveland,E22000027,Hartlepool,E06000001,Hartlepool,93900,28.27585472134326,0.7670917633521911,25.686920020029618,1.8218429379614536,unknown,0,0,0
E23000013,Cleveland,E22000029,Middlesbrough,E06000002,Middlesbrough,148300,34.63600499039013,0.6406581919951445,32.214991401692686,1.7803553967022963,unknown,0,0,0
E23000013,Cleveland,E22000028,Redcar and Cleveland,E06000003,Redcar and Cleveland,137200,28.664115181337706,0.7362857663568435,26.41880809185347,1.509021323127392,unknown,0,0,0
E23000013,Cleveland,E22000030,Stockton-on-Tees,E06000004,Stockton-on-Tees,200000,23.604012682155968,0.5650960663312764,21.78870407969355,1.2502125361311422,unknown,0,0,0
E23000013,Cleveland,,Unassigned Cleveland,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000002,Cumbria,,,,,503000,7.182431371301684,0.3757208771591526,5.896233447905008,0.9104770462375231,unknown,0,0,0
E23000002,Cumbria,E22000031,Allerdale,E07000026,Allerdale,96600,5.240536481797939,0.2589197866500958,4.235927709595567,0.7456889855522759,unknown,0,0,0
E23000002,Cumbria,E22000032,Barrow-In-Furness,E07000027,Barrow-In-Furness,67300,11.240292811855019,0.6681812107443539,9.027870580723715,1.5442410203869512,unknown,0,0,0
E23000002,Cumbria,E22000033,Carlisle,E07000028,Carlisle,111400,9.549623938681362,0.3949092606221616,8.086664632285627,1.0680500457735733,unknown,0,0,0
E23000002,Cumbria,E22000034,Copeland,E07000029,Copeland,67400,7.4016939347642285,0.29666107954966847,6.229882670543038,0.875150184671522,unknown,0,0,0
E23000002,Cumbria,E22000035,Eden,E07000030,Eden,55500,5.010001982374885,0.4144965668871308,3.9647497702247296,0.6307556452630251,unknown,0,0,0
E23000002,Cumbria,E22000036,South Lakeland,E07000031,South Lakeland,104800,4.618012155676625,0.29578177030160197,3.673418760197315,0.6488116251777075,unknown,0,0,0
E23000002,Cumbria,,Unassigned Cumbria,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000018,Derbyshire,,,,,1067000,21.32331853107069,1.3561971743861498,17.800205069759333,2.1669162869252094,unknown,0,0,0
E23000018,Derbyshire,E22000037,Amber Valley,E07000032,Amber Valley,126900,19.85915049155533,1.4021930930173934,16.61362490547013,1.8433324930678094,unknown,0,0,0
E23000018,Derbyshire,E22000038,Bolsover,E07000033,Bolsover,81600,19.85212070677964,1.1894105673611026,16.602700084607555,2.0600100548109817,unknown,0,0,0
E23000018,Derbyshire,E22000039,Chesterfield,E07000034,Chesterfield,104100,29.526462395543174,1.5176255883200462,25.18490058591874,2.8239362213043897,unknown,0,0,0
E23000018,Derbyshire,E22000040,Derby,E06000015,Derby,263500,27.306539147595736,1.5977835971004593,22.873733348514175,2.8350222019810998,unknown,0,0,0
E23000018,Derbyshire,E22000041,Derbyshire Dales,E07000035,Derbyshire Dales,71800,11.62336938343182,0.8501505184524474,9.727951834095217,1.0452670308841565,unknown,0,0,0
E23000018,Derbyshire,E22000042,Erewash,E07000036,Erewash,113100,21.276972055182174,1.255748142907676,18.031482136540504,1.9897417757339937,unknown,0,0,0
E23000018,Derbyshire,E22000043,High Peak,E07000037,High Peak,91100,17.572358383913773,1.3171036889879155,14.488140578867071,1.7671141160587867,unknown,0,0,0
E23000018,Derbyshire,E22000044,North East Derbyshire,E07000038,North East Derbyshire,103800,16.206893229141574,1.2044361793357294,13.27770444099708,1.7247526088087644,unknown,0,0,0
E23000018,Derbyshire,E22000045,South Derbyshire,E07000039,South Derbyshire,111100,13.605319752008853,0.962810326365706,10.842863955800707,1.7996454698424411,unknown,0,0,0
E23000018,Derbyshire,,Unassigned Derbyshire,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000035,Devon and Cornwall,,,,,1810400,14.183413851655533,0.6418634145586996,9.15456314068961,4.386987296407222,unknown,0,0,0
E23000035,Devon and Cornwall,E22000356,Cornwall,E06000052,Cornwall,575400,13.849183108480343,0.5908799418852199,8.701576085350869,4.556727081244254,unknown,0,0,0
E23000035,Devon and Cornwall,E22000362,East and Mid Devon,Combined Local Authorities,,238300,9.421451533031734,0.5665460832780777,5.79975323770595,3.0551522120477075,unknown,0,0,0
E23000035,Devon and Cornwall,E22000049,Exeter,E07000041,Exeter,134900,19.942344318543935,0.867058448632345,13.902578202002386,5.172707667909203,unknown,0,0,0
E23000035,Devon and Cornwall,E22000050,Isles of Scilly,E06000053,Isles of Scilly,2300,4.822446295484436,0,3.507233669443227,1.31521262604121,unknown,0,0,0
E23000035,Devon and Cornwall,E22000363,North Devon,Combined Local Authorities,,169100,12.031453234007332,0.4729809625162587,8.017027314650585,3.541444956840487,unknown,0,0,0
E23000035,Devon and Cornwall,E22000056,Plymouth,E06000026,Plymouth,266900,20.287639304209666,0.779429068207538,13.42266789576635,6.085542340235778,unknown,0,0,0
E23000035,Devon and Cornwall,E22000364,South Devon and Dartmoor,Combined Local Authorities,,284000,8.899328764518197,0.5071243933876614,5.469195714798876,2.9230086563316595,unknown,0,0,0
E23000035,Devon and Cornwall,E22000060,Torbay,E06000027,Torbay,139500,19.95282443952136,0.982226715132744,12.969694362592218,6.000903361796399,unknown,0,0,0
E23000035,Devon and Cornwall,,Unassigned Devon and Cornwall ,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000039,Dorset ,,,,,785200,17.34014967421151,1.9205982892920277,13.556265378795985,1.863286006123499,unknown,0,0,0
E23000039,Dorset,E22000063,Bournemouth,E06000058,"Bournemouth, Christchurch and Poole",198200,30.177329659571463,3.2347271424390147,24.000565194134094,2.9420373229983547,unknown,0,0,0
E23000039,Dorset,E22000367,Dorset,E06000059,Dorset,433200,11.018921239992242,1.2258636451782698,8.403283744724861,1.3897738500891117,unknown,0,0,0
E23000039,Dorset,E22000067,Poole,E06000058,"Bournemouth, Christchurch and Poole",153800,18.200018200018203,2.119002119002119,14.306514306514305,1.7745017745017746,unknown,0,0,0
E23000039,Dorset,,Unassigned Dorset,,,[X],[x],[x],[x],[x],unknown,0,0,0
E23000008,Durham,,,,,637600,20.194605988745227,4.518535248025395,12.663191111612996,3.0128796291068327,unknown,0,0,0
E23000008,Durham,E22000365,County Durham,E06000047,County Durham,528100,19.42335839674927,4.423178515773668,12.053918849064713,2.946261031910885,unknown,0,0,0
E23000008,Durham,E22000072,Darlington,E06000005,Darlington,109500,23.915446382080773,4.978578410326211,15.602590687774622,3.3342772839799393,unknown,0,0,0
E23000008,Durham,,Unassigned Durham,,,[X],[x],[x],[x],[x],unknown,0,0,0
W15000004,Dyfed-Powys,,,,,519000,6.9289093133712925,0.5298804397044231,5.724635586770331,0.6743932868965384,unknown,0,0,0
W15000004,Dyfed-Powys,W14000010,Carmarthenshire,W06000010,Carmarthenshire,189100,7.439838829930678,0.5552118529799014,6.14963223824405,0.7349947387067265,unknown,0,0,0
W15000004,Dyfed-Powys,W14000008,Ceredigion,W06000008,Ceredigion,71600,6.4376483731322445,0.5027230833682447,5.362379555927943,0.5725457338360564,unknown,0,0,0
W15000004,Dyfed-Powys,W14000009,Pembrokeshire,W06000009,Pembrokeshire,124400,7.365297868405606,0.49048381001391045,6.215475166241849,0.6593388921498469,unknown,0,0,0
W15000004,Dyfed-Powys,W14000007,Powys,W06000023,Powys,133900,6.064634665511498,0.5452196189437677,4.862163999073873,0.6572510474938569,unknown,0,0,0
W15000004,Dyfed-Powys,,Unassigned Dyfed-Powys,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000028,Essex,,,,,1877300,7.500129174810006,0.2935064755199086,5.366214581465625,1.8404081178244724,unknown,0,0,0
E23000028,Essex,E22000079,Basildon,E07000066,Basildon,188800,9.57913242396001,0.3071253071253071,7.127425230873507,2.1445818859611965,unknown,0,0,0
E23000028,Essex,E22000080,Braintree,E07000067,Braintree,157700,5.371604695556218,0.20294138165029393,3.8749120058853,1.2937513080206238,unknown,0,0,0
E23000028,Essex,E22000081,Brentwood,E07000068,Brentwood,77300,5.76734081622097,0.28448766358040656,3.8405834583354883,1.642269694305074,unknown,0,0,0
E23000028,Essex,E22000082,Castle Point,E07000069,Castle Point,89700,6.697796748058085,0.14487746709609833,5.115289030546857,1.4376302504151297,unknown,0,0,0
E23000028,Essex,E22000083,Chelmsford,E07000070,Chelmsford,183300,5.9456923731494715,0.27819294589965415,4.009251279142075,1.6582481481077425,unknown,0,0,0
E23000028,Essex,E22000084,Colchester,E07000071,Colchester,194400,8.199841558895852,0.2726421597374405,5.663755054168338,2.2634443449900714,unknown,0,0,0
E23000028,Essex,E22000085,Epping Forest,E07000072,Epping Forest,135000,5.985672906681285,0.4222566283178629,4.126262139878064,1.4371541384853581,unknown,0,0,0
E23000028,Essex,E22000086,Harlow,E07000073,Harlow,94400,8.982194494168988,0.24362084123335698,6.2070353462064,2.531538306729231,unknown,0,0,0
E23000028,Essex,E22000087,Maldon,E07000074,Maldon,67600,2.797761790567546,0.10362080705805725,2.013204251413684,0.6809367320958049,unknown,0,0,0
E23000028,Essex,E22000088,Rochford,E07000075,Rochford,87200,4.013025133003119,0.11465786094294625,2.958172812328013,0.9401944597321592,unknown,0,0,0
E23000028,Essex,E22000089,Southend-on-Sea,E06000033,Southend-on-Sea,180900,9.811237321394024,0.3316474587513473,6.903794599673881,2.5757952629687972,unknown,0,0,0
E23000028,Essex,E22000090,Tendring,E07000076,Tendring,151500,6.787673901129739,0.32353698555968596,4.681382097179946,1.7827548183901065,unknown,0,0,0
E23000028,Essex,E22000091,Thurrock,E06000034,Thurrock,176900,9.650774266863413,0.3279114865132267,7.197091764333407,2.12577101601678,unknown,0,0,0
E23000028,Essex,,Unassigned Essex,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000028,Essex,E22000092,Uttlesford,E07000077,Uttlesford,92600,7.366761001533842,0.3132493681004126,5.714100542245458,1.3394110911879713,unknown,0,0,0
E23000037,Gloucestershire,,,,,652400,16.95255583537321,1.506723543053514,10.173066282040867,5.272766010278828,unknown,0,0,0
E23000037,Gloucestershire,E22000093,Cheltenham,E07000078,Cheltenham,119400,21.23348460237453,1.9173769613342933,13.882144113066632,5.433963527973609,unknown,0,0,0
E23000037,Gloucestershire,E22000094,Cotswold,E07000079,Cotswold,91300,12.090547688668396,1.1499162203896571,6.625707746054693,4.314923722224047,unknown,0,0,0
E23000037,Gloucestershire,E22000095,Forest of Dean,E07000080,Forest of Dean,87900,15.124464104984249,1.842227958652217,8.017103153393906,5.265132992938126,unknown,0,0,0
E23000037,Gloucestershire,E22000096,Gloucester,E07000081,Gloucester,133500,22.56556971884783,1.5128593040847202,14.746633513578287,6.306076901184824,unknown,0,0,0
E23000037,Gloucestershire,E22000097,Stroud,E07000082,Stroud,123200,12.78357209528834,1.2418327178280102,8.181486140984537,3.360253236475792,unknown,0,0,0
E23000037,Gloucestershire,E22000098,Tewkesbury,E07000083,Tewkesbury,97000,14.484536082474227,1.1649484536082473,6.577319587628866,6.742268041237113,unknown,0,0,0
E23000037,Gloucestershire,,Unassigned Gloucestershire,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000005,Greater Manchester,,,,,2911700,26.663401727624404,4.21602998065764,8.981902255143309,13.465469491823457,unknown,0,0,0
E23000005,Greater Manchester,E22000099,Bolton,E08000001,Bolton,298900,27.105783481597708,4.382692713020612,9.334131808646951,13.388958959930145,unknown,0,0,0
E23000005,Greater Manchester,E22000100,Bury,E08000002,Bury,194600,22.686864742094283,4.002959826521279,7.682188627277679,11.001716288295325,unknown,0,0,0
E23000005,Greater Manchester,E22000101,Manchester,E08000003,Manchester,569000,30.49582070875718,4.500910375468369,9.500945525100352,16.49396480818846,unknown,0,0,0
E23000005,Greater Manchester,,Manchester Airport,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000005,Greater Manchester,E22000102,Oldham,E08000004,Oldham,243900,29.067860539866835,5.32159139361737,9.827314769261045,13.918954376988422,unknown,0,0,0
E23000005,Greater Manchester,E22000103,Rochdale,E08000005,Rochdale,227000,31.432825826460842,5.163177556918305,10.722844857968562,15.546803411573975,unknown,0,0,0
E23000005,Greater Manchester,E22000104,Salford,E08000006,Salford,278100,25.602019678922836,3.675412854594626,7.972984636630415,13.953622187697796,unknown,0,0,0
