"Table C5: How often anti-social behaviour (ASB) was experienced or witnessed in the local area, people aged 16 and over",Unnamed: 1,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2025 [note 1]",,unknown,0,0,0
This worksheet contains one table. The units in this table are percentage. Some cells refer to notes which can be found on the notes worksheet. ,,unknown,0,0,0
Link to Notes page,,unknown,0,0,0
Link to Table of contents,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,unknown,0,0,0
Frequency of ASB experienced/witnessed,Estimate ,unknown,0,0,0
Every day/almost every day,12.42045044752128,unknown,0,0,0
At least once a week,23.90382213324744,unknown,0,0,0
At least once a fortnight,9.95612798712735,unknown,0,0,0
At least once a month,16.65277117356886,unknown,0,0,0
A few times in the last 12 months,29.04491380325311,unknown,0,0,0
Once in the last 12 months,8.021914455281953,unknown,0,0,0
Unweighted base - number of people aged 16 and over,11488,unknown,0,0,0
