"Table C6: The types of anti-social behaviour (ASB) experienced/witnessed, and the organisations it was reported to",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2025",,,,,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,unknown,0,0,0
Link to Notes page,,,,,,,unknown,0,0,0
Link to Table of contents,,,,,,,unknown,0,0,0
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown,0,0,0
Type of ASB experienced/witnessed [note 1],% who reported ASB to the police ,% who reported ASB to the council,% who reported ASB to a housing association/private landlord,% who reported ASB to other,% who reported ASB to none of the categories listed,Unweighted base - number of people aged 16 and over,unknown,0,0,0
Nuisance neighbours,20.76484551001364,16.46758801900153,10.53954622823363,1.718910328021171,62.83691959841408,747,unknown,0,0,0
Problem of out of control or dangerous dogs,19.70360852521936,8.286847727764973,2.229939780042509,3.045280941196237,70.9742238153653,148,unknown,0,0,0
People committing inappropriate or indecent sexual acts in public,16.33026253164561,2.777112142636076,3.420457512093572,6.692519920868294,78.07355501343231,62,unknown,0,0,0
People using or dealing drugs,12.25965238285056,5.386022062149758,2.195753401419988,0.6445665613702721,82.88134821511031,2179,unknown,0,0,0
"People being intimidated, verbally abused or harassed",11.65578664428709,3.521683941011571,1.63653909039681,1.701247926827751,83.97222034422956,1183,unknown,0,0,0
Vehicle related behaviour [note 2],10.65982119681857,6.566601756170087,0.859523256457549,0.8983440898067185,83.34319723549058,2599,unknown,0,0,0
"Vandalism, criminal damage or graffiti",10.29449898305684,6.652214514645907,1.412339395883724,1.180547210008068,83.3316798440785,959,unknown,0,0,0
Inconsiderate behaviour [note 3],8.08504554008443,4.38114659449548,1.639631672490631,1.925208430389292,85.64217571539461,1983,unknown,0,0,0
Groups hanging around on the streets,7.862807597005056,3.370195124459912,1.102904975103215,1.084836831390835,88.21185377253546,2467,unknown,0,0,0
"Begging, vagrancy and homeless people",6.946931119650583,5.141842633251302,1.380960686070356,1.236395238099407,86.8042863177144,437,unknown,0,0,0
Loud music or other noise,6.267610573016781,6.373776853104417,3.272349914106497,1.542598716981319,84.04379011041681,1288,unknown,0,0,0
Drink related behaviour,4.340082489168803,2.194791143264688,1.360849882404785,0.5997853841556493,92.56861851943525,1839,unknown,0,0,0
"Litter, rubbish or dog-fouling",1.344146919543617,16.02043066145658,2.305292099993289,0.763715309275636,80.95083892196199,1613,unknown,0,0,0
