"table s1: trends in ratings of the local police, year ending march 2004 to year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,age_band
England and Wales,,,,,,,,,,,,,,,,Adults aged 16 and over,unknown
,Apr '03 to Mar '04,Apr '04 to Mar '05,Apr '05 to Mar '06,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '121,Apr '12 to Mar '131,Apr '13 to Mar '141,Apr '14 to Mar '151,,,April 2016 to March 2017  compared with:,,unknown
Rating,,,,,,,,,,,,,Apr '15 to Mar '161,Apr '16 to Mar '171,Apr '11 to Mar '122,Apr '15 to Mar '16 ,unknown
,Percentages,,,,,,,,,,,,,,Statistically significant difference,,unknown
Excellent,6.001620864675771,6.465095060416781,6.971133603386241,6.688247645176238,7.3434546938703456,7.427708582915167,8.272962491884044,8.69128693179448,10.3769630091696,9.646832147639804,9.96038500383525,10.260828253317644,10.993094306421662,10.776122478695928,,,unknown
Good,41.36007992491837,42.074793058134496,43.40328028878892,44.458523435850495,45.20825953613372,45.84650259465178,48.07944725981733,50.072404976958985,51.95755326159767,51.798307838659035,52.70232619283936,51.74945416214123,51.90759377728148,51.480979117501406,,,unknown
Fair,34.42931535646292,35.04636105464409,34.8406882464493,34.25220816811732,34.257167003210476,35.15261690342106,33.568762791842246,32.24604904755877,29.71184303620508,30.200910804877495,29.22564559413405,29.87724090174546,29.603650708546592,29.0622774945641,,,unknown
Poor,13.677735161698862,12.378902181319534,11.230189847556991,11.10390653581211,9.857376064563386,8.849888037968737,7.638549004135612,6.9298229325187455,6.1147948329011514,6.188057355306716,6.160341865322724,6.295933824981592,5.7463323404059725,6.548247376264958,*,*,unknown
Very poor,4.531248692244176,4.034848645484806,3.554708013819191,3.497114215045064,3.333742702221556,2.723283881043049,2.4402784523192897,2.0604361111685465,1.8388458601277982,2.165891853516743,1.9513013438685278,1.8165428578138478,1.7493288673450957,2.132373532973888,*,*,unknown
Unweighted base - number of adults,34862,43970,46672,45985,45782,45323,43686,45675,44886,33823,34230,31890,33317,33450,,,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,,,,,unknown
"1. Data from year ending March 2012 CSEW onwards are not directly comparable with those previous; the methodological note published alongside Focus On: Public Perceptions of Policing, 2011/12 provides more information.",,,,,,,,,,,,,,,,,unknown
2. This is the earliest period for which statistical significance testing can be performed upon directly comparable data.,,,,,,,,,,,,,,,,,unknown
