"table s12: visiblity of police foot patrols, by household  and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Local police,"Unweighted base
 - number of adults2",unknown
,Percentage of adults reporting high visibility,,unknown
ALL ADULTS,21.96711901412713,9119,unknown
Structure of household,,,unknown
Single adult and child(ren),30.251638839924805,442,unknown
Adults and child(ren),26.882472655916768,1981,unknown
Adult(s) and no child(ren),19.775075850031108,6696,unknown
Total household income,,,unknown
"Less than £10,000",25.787131983840904,898,unknown
"£10,000 to less than £20,000",23.048661389059845,1753,unknown
"£20,000 to less than £30,000",20.1992532887149,1381,unknown
"£30,000 to less than £40,000",21.51372613787015,1078,unknown
"£40,000 to less than £50,000",22.430772890957744,758,unknown
"£50,000 or more",20.36633250408522,1745,unknown
No income stated or not enough information provided,22.889171495206455,1506,unknown
Tenure,,,unknown
Owner occupiers,17.083698899634214,5817,unknown
Social renters,28.264638348412618,1566,unknown
Private renters,31.887979649903127,1690,unknown
Accommodation type ,,,unknown
Houses,19.452606088847386,7645,unknown
Detached,13.321783413385905,2250,unknown
Semi-detached,18.203206868396386,2842,unknown
Terraced,25.890970829298134,2553,unknown
Flats/maisonettes,36.6454253296423,1423,unknown
Other,-,22,unknown
Output Area Classification,,,unknown
Rural residents,7.995731772776499,1154,unknown
Cosmopolitans,38.83428241377012,341,unknown
Ethnicity central,42.3460389639596,477,unknown
Multicultural metropolitans,30.847201709940013,1074,unknown
Urbanites,19.739340982233326,1739,unknown
Suburbanites,14.07000967127227,1905,unknown
Constrained city dwellers,29.000003668213925,638,unknown
Hard-pressed living,20.902393040722163,1791,unknown
Area type,,,unknown
Urban,24.868272451722266,7195,unknown
Rural,8.567771498329405,1924,unknown
Level of physical disorder,,,unknown
High,28.14061962615409,480,unknown
Not high,21.59318926633564,8582,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,27.777467126119998,1585,unknown
Other output areas,21.42339537781512,5213,unknown
20% least deprived output areas,16.23500067914382,1641,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,unknown
2. The question on visibility of police on foot patrols is only asked to a quarter of the CSEW sample,,,unknown
