"table s14:  percentage of incidents in which victims were satisfied with the police by crime type, year ending march 2017 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,"Unweighted base
 - number of adults",unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Violence,60.574738125588866,295,unknown
With injury,67.84141909752024,150,unknown
Without injury ,54.29606644356466,145,unknown
Theft offences,72.3513530116895,1405,unknown
Theft from the person,76.25300377617576,76,unknown
Other theft of personal property,74.96181780224369,123,unknown
Domestic burglary,75.62336340199658,482,unknown
Other household theft,56.963209230309744,142,unknown
Vehicle-related theft,72.41474020102518,413,unknown
Bicycle theft,70.07552120833932,169,unknown
Criminal damage,67.7671701225322,422,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
