"table s16:  percentage of incidents in which victims were satisfied with the police by household and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Satisfaction with the police,Unweighted base - number of adults,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
ALL INCIDENTS,68.41372141958121,2155,unknown
Structure of household,,,unknown
Single adult and child(ren),61.363012072729106,187,unknown
Adults and child(ren),67.54682245380013,581,unknown
Adult(s) and no child(ren),69.65419914906401,1387,unknown
Total household income,,,unknown
"Less than £10,000",64.48491091958644,219,unknown
"£10,000 to less than £20,000",62.652856860858805,422,unknown
"£20,000 to less than £30,000",66.04290141550032,329,unknown
"£30,000 to less than £40,000",72.86180692472843,241,unknown
"£40,000 to less than £50,000",76.80170316295788,183,unknown
"£50,000 or more",73.99003848436632,462,unknown
No income stated or not enough information provided,64.70949330497194,299,unknown
Tenure,,,unknown
Owner occupiers,71.73914385269293,1211,unknown
Social renters,63.540918361698374,460,unknown
Private renters,66.12472211072166,476,unknown
Accommodation type ,,,unknown
Houses,68.33579343752744,1797,unknown
Detached,73.74241167554992,395,unknown
Semi-detached,68.33631416893418,680,unknown
Terraced,65.7262919814121,722,unknown
Flats/maisonettes,68.81040651964952,353,unknown
Other,-,1,unknown
Output Area Classification,,,unknown
Rural residents,71.82894940529452,182,unknown
Cosmopolitans,63.570785379195584,85,unknown
Ethnicity central,73.9368626382001,117,unknown
Multicultural metropolitans,65.05942220886482,334,unknown
Urbanites,75.81241775946688,403,unknown
Suburbanites,75.67351281534785,357,unknown
Constrained city dwellers,57.604624839389096,184,unknown
Hard-pressed living,62.65842057349097,493,unknown
Area type,,,unknown
Urban,67.70839911239736,1816,unknown
Rural,72.66231216624278,339,unknown
Level of physical disorder,,,unknown
High,58.85454233097065,146,unknown
Not high,69.06066634302314,2000,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,63.83867697808924,458,unknown
Other output areas,68.11380021799445,1227,unknown
20% least deprived output areas,74.980185521896,308,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,unknown
