"table s18: attitudes to local police, by police force area, english regions and wales, year ending march 2017 csew",unnamed: 1,unnamed: 3,unnamed: 4,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,Adults aged 16 and over,unknown
Area Code,Area Name,Rating of local police,,Police deal with local concerns,,,,unknown
,,"% saying
police do
excellent/good job",Statistically significantly different from England and Wales1,% agree,Statistically significantly different from England and Wales1,Statistically significantly different from     Apr '15 to Mar '161,Unweighted base - number of adults2,unknown
K04000001,ENGLAND AND WALES,62.257101596197124,:,60.6437856524133,:,*↓,33450,unknown
E92000001,ENGLAND,62.22460168196964,,60.60744087985797,,,30912,unknown
E12000001,North East,66.72398681045134,*,63.09319115634835,*,,1974,unknown
E23000013,Cleveland,60.50070106543462,,64.34175379108382,,,560,unknown
E23000008,Durham,70.50324062132655,*,66.23619855109126,*,,636,unknown
E23000007,Northumbria,67.1134178927859,*,61.31579005290853,,,778,unknown
E12000002,North West,61.16054497334706,,63.19130051817948,*,,4075,unknown
E23000006,Cheshire,69.91949797391612,*,67.6340739895798,*,,614,unknown
E23000002,Cumbria,60.69603387996939,,64.95783459012186,,,601,unknown
E23000005,Greater Manchester,57.95288498474131,*,63.03724837627784,,*↑,1432,unknown
E23000003,Lancashire,59.879689349441854,,61.244424055882185,,*↓,768,unknown
E23000004,Merseyside,62.01735865280775,,61.28789817799982,,,660,unknown
E12000003,Yorkshire and the Humber,56.48776385659431,*,56.69885891252777,*,,3152,unknown
E23000012,Humberside,50.60001388892371,*,55.6329866839785,*,,623,unknown
E23000009,North Yorkshire,71.07855206892741,*,63.571594478548235,,,639,unknown
E23000011,South Yorkshire,50.36224474079486,*,48.59952908884413,*,,711,unknown
E23000010,West Yorkshire,57.17249641041416,*,59.404502613043725,,,1179,unknown
E12000004,East Midlands,60.404921769925465,,58.16671997905896,*,,3084,unknown
E23000018,Derbyshire,59.071989635556605,,53.638879564573614,*,,627,unknown
E23000021,Leicestershire,66.41697388823049,,62.854127881899515,,,630,unknown
E23000020,Lincolnshire,63.27853955045421,,60.541597276834786,,,608,unknown
E23000022,Northamptonshire,57.689025592934776,*,53.58502399527295,*,*↓,599,unknown
E23000019,Nottinghamshire,55.8161484894815,*,59.63141921306274,,,620,unknown
E12000005,West Midlands,58.90445860003054,*,58.5984481985595,,,2788,unknown
E23000015,Staffordshire,59.7105552956343,,54.365909742098324,,*↓,371,unknown
E23000017,Warwickshire,64.64558477582912,,62.36794439887759,,,628,unknown
E23000016,West Mercia,60.76213194018268,,57.402612253498546,,,557,unknown
E23000014,West Midlands,56.459029711981394,*,59.477856151587055,,,1232,unknown
E12000006,East,59.85710746170672,*,57.88669411560069,*,*↓,3869,unknown
E23000026,Bedfordshire,52.41264529418653,*,56.341432994355635,,,621,unknown
E23000023,Cambridgeshire,60.77026365441032,,59.18444706535018,,,618,unknown
E23000028,Essex,51.58137215119367,*,50.622614521166305,*,*↓,854,unknown
E23000027,Hertfordshire,66.83692603169226,,65.79466112847437,,,588,unknown
E23000024,Norfolk,67.45268962663633,*,59.84388043926029,,*↓,578,unknown
E23000025,Suffolk,64.71088536609108,,59.29536876391301,,,610,unknown
E12000007,London,65.5301865409851,*,63.40946200350913,*,,3948,unknown
E12000007,City of London / Metropolitan Police,65.5301865409851,*,63.40946200350913,*,,3948,unknown
E12000008,South East,64.3677541470311,*,60.16844129610693,,,4442,unknown
E23000030,Hampshire,63.4473006987198,,61.094931902406444,,,985,unknown
E23000032,Kent,60.97226273193373,,58.421111609118384,,,830,unknown
E23000031,Surrey,70.22678746029412,*,63.17144663116872,,,629,unknown
E23000033,Sussex,57.27685426418341,*,53.06908045601388,*,,823,unknown
E23000029,Thames Valley,69.3814510618489,*,63.944684923518544,,,1175,unknown
E12000009,South West,65.69695570905031,*,63.17723987862216,*,,3580,unknown
E23000036,Avon and Somerset,62.16732659533803,,57.72593731273947,,,766,unknown
E23000035,Devon and Cornwall,66.1256611983345,,73.63776380919431,*,,914,unknown
E23000039,Dorset,70.19275719504449,*,62.639090121851844,,,589,unknown
E23000037,Gloucestershire,67.68301700439933,*,57.94743724712242,,,720,unknown
E23000038,Wiltshire,66.4493302297246,*,58.720778435561975,,*↓,591,unknown
W92000004,WALES,62.82419948247066,,61.2816083674745,,*↓,2538,unknown
W15000004,Dyfed-Powys,73.0943383795635,*,68.28727356735219,*,,601,unknown
W15000002,Gwent,51.102300777042736,*,52.11621286096346,*,*↓,675,unknown
W15000001,North Wales,64.32527785661769,,63.91683779175791,,,591,unknown
W15000003,South Wales,63.35589824224991,,61.23462314710802,,,671,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,unknown
1. '*' denotes statistically significantly different in comparison with England and Wales while '*↑/↓' denotes statistically significantly different in comparison with the year ending March 2016 estimate.,,,,,,,,unknown
2. Unweighted base refers to ratings of local police; base for police deal with local concerns will be similar.,,,,,,,,unknown
