table s31: perceptions of changing crime levels by household and area characteristics year ending march 2017 csew1,unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,Adults aged 16 and over/households,unknown
,National,Local,"Unweighted base
 - number of adults2",unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,unknown
ALL ADULTS,62.807060628216036,37.17438613180016,26361,unknown
Structure of household,,,,unknown
Single adult and child(ren),69.77433644529123,46.55966865883816,1347,unknown
Adults and child(ren),59.97680331637286,39.36850731747086,5697,unknown
Adult(s) and no child(ren),63.58970349801718,36.03575723656621,19317,unknown
Total household income,,,,unknown
"Less than £10,000",72.56276994204252,41.515375273107644,2546,unknown
"£10,000 to less than £20,000",69.93856505072921,39.157431253153156,5155,unknown
"£20,000 to less than £30,000",66.3693968808641,37.73761494802573,3950,unknown
"£30,000 to less than £40,000",63.17537591756266,37.077124213973185,3012,unknown
"£40,000 to less than £50,000",57.45280768399407,35.91116405535247,2229,unknown
"£50,000 or more",52.32334581075235,33.64691598255542,5120,unknown
No income stated or not enough information provided,65.53088181848685,38.230279905330775,4345,unknown
Tenure,,,,unknown
Owner occupiers,63.25789601911202,36.15509083834191,16978,unknown
Social renters,70.90310571223506,41.1332396854451,4424,unknown
Private renters,55.897911675819635,38.05054453226387,4804,unknown
Accommodation type ,,,,unknown
Houses,63.74882233099501,37.42504785320462,22337,unknown
Detached,61.39910925146719,33.24850732349082,6623,unknown
Semi-detached,66.88455413945003,38.22224145561682,8210,unknown
Terraced,62.36657477928828,40.244616480237504,7504,unknown
Flats/maisonettes,56.791961657561906,34.971981064299015,3889,unknown
Other Accomodation,80.40895990337029,43.65988714785439,65,unknown
Output Area Classification,,,,unknown
Rural residents,63.55735706068215,29.58794042218963,3368,unknown
Cosmopolitans,42.259200626559306,33.439251491799986,988,unknown
Ethnicity central,47.101621971759194,32.97930283666879,1366,unknown
Multicultural metropolitans,63.56560394367891,45.21924659719568,3100,unknown
Urbanites,59.37222701708976,34.61108161817523,4983,unknown
Suburbanites,64.22704144446547,34.850139010559374,5679,unknown
Constrained city dwellers,70.35919485377595,44.4645258882002,1829,unknown
Hard-pressed living,71.96906592305527,40.670118533708546,5048,unknown
Area type,,,,unknown
Urban,62.61548526478826,38.7258940713728,20792,unknown
Rural,63.68687393732901,30.35856847705055,5569,unknown
Level of physical disorder,,,,unknown
High,61.609210891523645,43.48504651201529,1402,unknown
Not high,62.902078436999375,36.86289277987096,24783,unknown
Employment deprivation index,,,,unknown
20% most deprived output areas,68.52274836431918,43.280635510889134,4576,unknown
Other output areas,62.83717743669847,37.1699130909868,15003,unknown
20% least deprived output areas,56.238936371168144,32.07737457703852,4825,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,unknown
