"table s33: worry about crime by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,Adults aged 16 and over,,,unknown
,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,unknown
,Percentage with high levels of worry,,,,,Percentage with high levels of worry,,,,unknown
ALL ADULTS,10.210727497417677,7.037160612738027,10.946604874373692,8722,Respondent's occupation (NS-SEC),,,,,unknown
,,,,,Managerial and professional occupations,5.987566219012708,4.817620017888393,6.083811783170725,3029,unknown
Age,,,,,Intermediate occupations,9.470681418452882,7.324392635378564,9.557628914221256,2039,unknown
16-24,8.413355756774596,2.88715029793832,12.133236627474302,634,Routine and manual occupations,14.55290510496533,9.444724375272658,14.814941150194594,2950,unknown
25-34,9.289255484297959,8.319663506600671,11.097459319932643,1341,Never worked and long-term unemployed,20.06100371958328,18.808422205131166,24.687718166162075,328,unknown
35-44,11.430211590768403,8.330049017062482,11.424853883585055,1483,Full-time students,5.406795352426502,3.7081277478952264,12.491229744721709,294,unknown
45-54,9.679813245517655,7.424188506788078,9.826654086894832,1475,Not classified,13.91339830777566,3.5267068612950516,12.486151489997901,82,unknown
55-64,10.96368003051039,7.658650196470088,11.378147882124393,1381,,,,,,unknown
65-74,10.874224022817556,6.2984016242314205,10.577902116389287,1352,Highest qualification,,,,,unknown
75+,11.272896400111657,5.635774020180661,9.923021207203481,1056,Degree or diploma,7.247898801739362,5.715677177461482,7.865348000909565,3471,unknown
,,,,,Apprenticeship or A/AS level,8.507675365309114,5.715378661174819,9.507451510330938,1525,unknown
Sex,,,,,O level/GCSE,10.393366170388232,7.8419276660200055,12.017320015437994,1570,unknown
Men,8.65630816280355,6.39559095542796,6.898197234008449,4048,Other,16.261435732397285,9.025678903744824,18.60273989436012,347,unknown
Women,11.736447115304665,7.643429749545991,14.879480306805512,4674,,16.710683099614858,11.198087854740459,16.48337351298881,1777,unknown
Ethnic group,,,,,Long-standing illness or disability ,,,,,unknown
White ,8.158903131759704,5.728767931808265,8.775711465736274,7814,Long-standing illness or disability ,13.030171042139276,7.636566242743373,11.989929976088048,2143,unknown
English/ Welsh/ Scottish/ Northern Irish/ British ,7.738121166871472,5.484682242701074,8.079452835725634,7247,Limits activities,14.004345299148097,7.914471809094162,12.452703349460133,1699,unknown
Irish ,4.552252968464032,5.471864068818397,2.0831673145000646,69,Does not limit activities,9.75155136149983,6.874202203267927,10.48571768809716,443,unknown
"Gypsy, Traveller or Irish Traveller ",-,-,-,4,No long-standing illness or disability ,9.480717836301949,6.890587660134568,10.670783201305591,6555,unknown
Any other White background,13.56042265468876,9.608033441990713,17.567342553118827,494,,,,,,unknown
Mixed/Multiple,18.91711990408624,5.174901423525012,15.829860686067038,76,Experience of crime in last 12 months,,,,,unknown
White and Black Caribbean ,-,-,-,17,Victim,14.860116957932135,13.85454550914468,12.597381923394357,1190,unknown
White and Black African ,-,-,-,13,Not a victim,9.433969609476772,5.9406241622762135,10.67218008048643,7532,unknown
White and Asian ,-,-,-,28,,,,,,unknown
Any other Mixed/ Multiple ethnic background ,-,-,-,18,Religion,,,,,unknown
Asian/Asian British,25.450085284155506,19.43059445413934,27.778524348434203,482,No religion,6.341841628704293,4.0862976942562765,7.062584124558244,3078,unknown
Indian ,23.27536541216685,13.579097485320219,25.792261232936248,175,Christian,10.855285747977495,7.505042210473135,11.274355655732283,5022,unknown
Pakistani ,30.27985041977547,23.548431572603704,26.417722449097948,134,Buddhist,-,-,-,46,unknown
Bangladeshi ,-,-,-,41,Hindu,25.408013077933873,13.500101454519719,25.012782531347423,97,unknown
Chinese ,-,-,-,48,Muslim,24.178055186090756,23.00249416918671,26.205380126166872,316,unknown
Any other Asian background ,19.884347739071977,23.89091688061726,31.609817842338757,84,Other,14.111321050371165,6.702261507605507,21.54750001434007,138,unknown
Black/African/Caribbean/Black British,23.299002764290293,14.657427734692268,25.864559946606207,257,,,,,,unknown
African ,22.277223695122352,15.830898725675652,28.091093285879627,160,,,,,,unknown
Caribbean ,21.434434320564495,13.486640862115562,20.693932020205487,75,,,,,,unknown
Any other Black/ African/ Caribbean background,-,-,-,22,,,,,,unknown
Other ethnic group,21.34163092318927,16.63628824774087,20.176545204103107,83,,,,,,unknown
Arab ,-,-,-,32,,,,,,unknown
Any other ethnic group ,26.737543885533665,18.655142610151064,22.8101079240116,51,,,,,,unknown
Marital status,,,,,,,,,,unknown
Married/civil partnered,10.52440498167852,7.492895282824616,10.236863044138147,3870,,,,,,unknown
Cohabiting,8.95753798288764,7.5125063384333775,8.411436179856853,904,,,,,,unknown
Single,9.548955417409703,5.7260477068459315,12.507219721261825,2010,,,,,,unknown
Separated,15.639210420513095,5.997913506935786,14.983956675729429,276,,,,,,unknown
Divorced/legally dissolved partnership,10.40972747734815,5.857002058152039,12.150449649077979,795,,,,,,unknown
Widowed,11.040205379554541,6.634604070935677,12.445508334617786,843,,,,,,unknown
Respondent's employment status,,,,,,,,,,unknown
In employment,8.829981697494544,6.911526503014434,9.482623849458683,4998,,,,,,unknown
Unemployed,9.483479696370804,7.028064619817191,10.56814094536473,177,,,,,,unknown
Economically inactive,12.646778499564137,7.327301908612063,13.556897190981351,3535,,,,,,unknown
Student,4.821534440069587,3.065245995668903,12.319433867905207,207,,,,,,unknown
Looking after family/home,20.052597525788364,13.864791529700302,23.50670007499459,383,,,,,,unknown
Long-term/temporarily sick/ill,20.84718819000018,9.161997056937762,20.63403497612918,381,,,,,,unknown
Retired,10.951598386501248,6.284730387151659,10.491471351943124,2465,,,,,,unknown
Other inactive,20.623761001906256,6.574862544766553,17.450370825869296,99,,,,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,unknown
1. See Section 7.3 of User Guide for definitions of personal characteristics.,,,,,,,,,,unknown
"2. Unweighted base refers to worry about burglary. Bases for violent crime will be similar but for car crime will be slightly lower as this is based only on those residing in households owning, or with use of a vehicle.",,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,unknown
