"table s37:  prevalence of intimate violence among adults aged 16 to 591, by category, year ending march 2017 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 5,unnamed: 6,unnamed: 7,age_band
England and Wales,,,,,,,unknown
,Since the age of 16,,,In the last year,,,unknown
,Men,Women,All,Men,Women,All,unknown
,Percentage who were victims once or more,,,,,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",14.726046202215661,26.18564100747052,20.46070565372026,4.3340144884535174,7.452457391988314,5.892692216673727,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",11.00707120637013,22.854495698512153,16.916417014852325,2.986210983636378,5.9466231116544055,4.4606588302093995,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",6.047156087275985,9.045080213534032,7.546307549029077,1.5879492134755715,2.031942158472958,1.8100219872367722,unknown
Partner abuse - non-sexual,9.612260165026596,19.948322342833563,14.776889893932887,2.7315777519144304,5.205224590337796,3.9674698259078904,unknown
"Non-physical abuse (emotional, financial)",5.867017103333048,13.849737228446324,9.857216982439022,2.00990134699646,4.0040690398472885,3.0065752539735238,unknown
Threats or force,6.829970800221204,16.62880092998987,11.721097984581498,1.249821742596401,2.7924847313533046,2.0196843275586858,unknown
Threats,3.1975325502052176,13.348955786489642,8.26032965059288,0.6163274937568425,2.171177475195244,1.3914353951218486,unknown
Force,6.002256120875601,14.287151944203172,10.132012230557665,0.9134113982513351,1.5447026462363063,1.2279968149269147,unknown
Family abuse - non-sexual,5.304496654722271,6.739551783180252,6.0241818870106325,1.4557262808970455,1.7520931031195988,1.6043922331583187,unknown
"Non-physical abuse (emotional, financial)",2.4945887849540496,4.038123374963575,3.2677266412488786,0.9170207103249858,1.195682794647462,1.0565845436364139,unknown
Threats or force,4.039572040484777,5.099268503063332,4.570832528965271,0.7570894109176411,0.9760089966581068,0.8668565284622792,unknown
Threats,2.3578957999115002,3.6449230819105347,3.0026273546877666,0.5671479091590769,0.7955394349844657,0.6815753334548262,unknown
Force,3.1551075528498025,3.752089627986577,3.4546376768038294,0.336242277544689,0.4600475088933598,0.39836779768881275,unknown
Any sexual assault (including attempts),3.831404128158678,20.34756017362044,12.092500898466719,0.8358180258744489,3.079419028781737,1.956909146432753,unknown
Sexual assault by rape or penetration including attempts,0.330840886711633,6.448553612165237,3.3888900605581207,0.04633756645440542,0.868450676632067,0.4572409331564854,unknown
Sexual assault by rape or penetration excluding attempts,0.25335306707496674,5.349424992826206,2.800096926832665,0.04642486666011008,0.5570527652116682,0.3015629121747413,unknown
- Rape including attempts,0.2749233094207611,5.54476299820845,2.9080049134932455,0.029511754501598843,0.6512825940306466,0.34011511753526696,unknown
- Rape excluding attempts,0.18651345646410153,4.501024037923434,2.3398534696672884,0.018711884370915716,0.383305451191603,0.20064949704689022,unknown
- Assault by penetration including attempts,0.2333218592156291,4.441017284583774,2.3366523782274338,0.046445031260233714,0.5381653824112316,0.2922350620870299,unknown
- Assault by penetration excluding attempts,0.17765166139100996,3.385457695581112,1.7797126678702933,0.04656991075911801,0.31427759118484927,0.1802626413501113,unknown
Incidents of indecent exposure or unwanted sexual touching,3.6817639258573824,19.249995070405973,11.47609421648558,0.8018492776244551,2.673493973298345,1.738902155951773,unknown
Any sexual assault (including attempts) by a partner,0.679164713759636,5.586942903933533,3.124006768913985,0.07547836280193476,0.4231242755473736,0.24862700853718953,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.1400045585113416,3.520783969710605,1.8250386737950806,0.02970155592356127,0.2957512443525279,0.16230576139937938,unknown
Incidents of indecent exposure or unwanted sexual touching by a partner,0.6115474960097707,4.632981340389148,2.617761318084965,0.05422610554386193,0.2566273183447821,0.1552139436659,unknown
Any sexual assault (including attempts) by a family member,0.18060672233361583,1.6515106114436766,0.9158491740093063,0.03612048237459033,0.04358957908189831,0.0398543836233427,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.06520169056146999,0.7075116130910042,0.38648966822672354,0.018769994601151363,0.019466673492425087,0.01911848855999311,unknown
Incidents of indecent exposure or unwanted sexual touching by a family member,0.16367422988224345,1.3997766684136284,0.7827413500082053,0.02589992410828546,0.023910956631604235,0.02490353697957634,unknown
Stalking2,9.674622695775343,19.999177488691462,14.845793248079243,2.3614066432350067,4.90826980606815,3.6370891725861543,unknown
Stalking by a partner,2.879700556430699,8.24464073452199,5.557841644885982,0.5327046431888435,1.32279797910538,0.9271137803631553,unknown
Stalking by a family member,1.0429091075402488,2.5489445764069663,1.797605486151594,0.20051864729372776,0.4519342971360979,0.3265067029435922,unknown
Unweighted base - number of adults3,9523,11168,20691,9495,11083,20578,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. Chapter 5 of the User Guide provides definitions of the various types of intimate violence.,,,,,,,unknown
2. The definition of stalking was incorrectly described in a previous publication; Chapter 5 of the User Guide for the correct definition.,,,,,,,unknown
3. The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,,,,unknown
