"table s11: visiblity of police on foot patrols, by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
,Local police,Unweighted base- number of adults2,,Local police,Unweighted base - number of adults2,unknown
,Percentage of adults reporting high visibility,,,Percentage of adults reporting high visibility,,unknown
ALL ADULTS,26.78834377093502,9009,Respondent's employment status,,,unknown
,,,In employment,28.50640845050795,5028,unknown
Sex,,,Unemployed,37.036096761252786,186,unknown
Men,29.646333197345577,4058,Economically inactive,23.16232905189032,3788,unknown
Women,24.11043159461807,4951,Student,37.750517935897335,183,unknown
,,,Looking after family/home,35.23962722243706,373,unknown
Age,,,Long-term/temporarily sick/ill,24.890775336849146,401,unknown
16-24,34.30020494174642,607,Retired,16.845878470639366,2725,unknown
25-34,35.20579044323755,1254,Other inactive,37.527384824140256,106,unknown
35-44,32.46751619306174,1436,,,,unknown
45-54,24.332917868219628,1575,Respondent's occupation (NS-SEC),,,unknown
55-64,21.178873025681884,1469,Managerial and professional occupations,23.544876525269977,3133,unknown
65-74,18.201306699866777,1533,Intermediate occupations,26.192532363364982,2086,unknown
75+,16.018388091029667,1135,Routine and manual occupations,28.024036537383157,3154,unknown
,,,Never worked and long-term unemployed,34.44321348574723,300,unknown
Ethnic group,,,Full-time students,35.77567392569988,274,unknown
White ,24.936752974223406,8154,Not classified,21.015518687000462,62,unknown
   English/Welsh/Scottish/Northern Irish/British,23.714718682038193,7631,,,,unknown
   Irish,32.08401510852175,81,Highest qualification,,,unknown
   Gypsy or Irish Traveller,-,1,Degree or diploma,25.499391534186465,3413,unknown
   Any other white background,39.628286314684,441,Apprenticeship or A/AS level,28.60200223564363,1604,unknown
Mixed/Multiple,43.27410740192237,84,O level/GCSE,28.761285214015054,1669,unknown
   White and Black Caribbean,-,35,Other,27.700983804603084,376,unknown
   White and Black African,-,6,,25.348134997081907,1914,unknown
   White and Asian,-,21,,,,unknown
   Any other Mixed/Multiple ethnic background,-,22,Long-standing illness or disability ,,,unknown
Asian/Asian British,36.90294746188088,453,Long-standing illness or disability ,21.74109145957438,2201,unknown
   Indian,33.77410058019639,192,Limits activities,21.19535423855271,1708,unknown
   Pakistani,46.22352378087635,107,Does not limit activities,23.474064507643106,492,unknown
   Bangladeshi,-,44,No long-standing illness or disability ,28.168754131681055,6783,unknown
   Chinese,-,45,,,,unknown
   Any other Asian background,37.946965508346054,65,Overall level of perceived ASB,,,unknown
Black/African/Caribbean/Black British,35.976283488999,253,High,35.32473765309734,813,unknown
   African,34.859348638049106,151,Not high,25.787174359961213,7645,unknown
   Caribbean,32.707069935748756,87,,,,unknown
   Any other Black/African/Caribbean background,-,15,Perception of local crime rate3,,,unknown
Other ethnic group,62.92879814644382,54,Higher than average,37.87239022629965,696,unknown
   Arab,-,18,About average,29.721449136302226,3069,unknown
   Any other ethnic group,-,36,Lower than average,23.40605701383475,5009,unknown
Marital status,,,,,,unknown
Married/civil partnered,23.450440272452763,4162,Experience of crime in last 12 months,,,unknown
Cohabiting,34.786269436954726,865,Victim,30.023929784438952,1217,unknown
Single,32.19671398996939,1982,Not a victim,26.22860148130514,7792,unknown
Separated,32.94916405279692,261,,,,unknown
Divorced/legally dissolved partnership,26.690562288400717,822,,,,unknown
Widowed,15.150336754453297,889,,,,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,unknown
2. The question on visibility of police on foot patrols is only asked to a quarter of the CSEW sample.,,,,,,unknown
3 The question about perception of local crime rates is only asked to half the sample.,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,unknown
