"table s14:  percentage of incidents in which victims were satisfied with the police by crime type, year ending march 2016 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,"Unweighted base
 - number of adults",unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Violence,71.62724956391432,336,unknown
With injury,69.80754289364342,199,unknown
Without injury ,73.54494614747308,137,unknown
Theft offences,73.44907120215166,1513,unknown
Theft from the person,67.07957113149628,69,unknown
Other theft of personal property,77.96069837490757,146,unknown
Domestic burglary,74.33753527751647,514,unknown
Other household theft,74.66770335813987,164,unknown
Vehicle-related theft,72.64538694559232,443,unknown
Bicycle theft,69.99205034779729,177,unknown
Criminal damage,62.9424197150398,408,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
