"table s16:  percentage of incidents in which victims were satisfied with the police by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Satisfaction with the police,Unweighted base - number of adults,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
ALL INCIDENTS,71.26832496576546,2310,unknown
Structure of household,,,unknown
Single adult and child(ren),69.84912574949026,211,unknown
Adults and child(ren),70.22620835466611,652,unknown
Adult(s) and no child(ren),71.94309501049764,1447,unknown
Total household income,,,unknown
"Less than £10,000",69.3731694530059,259,unknown
"£10,000 to less than £20,000",71.26592145783144,432,unknown
"£20,000 to less than £30,000",71.17992747304764,350,unknown
"£30,000 to less than £40,000",72.21595678669634,258,unknown
"£40,000 to less than £50,000",83.26128376587583,190,unknown
"£50,000 or more",70.8394901528478,453,unknown
No income stated or not enough information provided,66.68637009531648,365,unknown
Tenure,,,unknown
Owner occupiers,72.58004593877565,1261,unknown
Social renters,71.01397566343854,504,unknown
Private renters,69.57069696514066,527,unknown
Accommodation type ,,,unknown
Houses,72.20243926181253,1934,unknown
Detached,73.36324270571065,477,unknown
Semi-detached,74.1004008892521,672,unknown
Terraced,70.11944695563245,785,unknown
Flats/maisonettes,67.30859991665808,355,unknown
Other accommodation,-,4,unknown
Output Area Classification,,,unknown
Rural residents,78.26510114845206,209,unknown
Cosmopolitans,75.06107380506137,101,unknown
Ethnicity central,61.48885983241546,135,unknown
Multicultural metropolitans,67.15807889993968,354,unknown
Urbanites,73.83622169910058,409,unknown
Suburbanites,75.32850380162071,402,unknown
Constrained city dwellers,71.87307473245872,195,unknown
Hard-pressed living,69.35313585510757,505,unknown
Area type,,,unknown
Urban,70.37763639631441,1942,unknown
Rural,77.03399949474023,368,unknown
Level of physical disorder,,,unknown
High,60.08505770267112,169,unknown
Not high,72.69476868328032,2123,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,67.36954034045301,546,unknown
Other output areas,71.71748692239107,1226,unknown
20% least deprived output areas,76.64004048302186,360,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,unknown
