"table s17: percentage of incidents in which victims were satisfied with the police by cjs factors, year ending march 2016 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,Unweighted base - number of adults,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Treated fairly by the police,,,unknown
Yes,86.25825283342252,1875,unknown
No,9.380364801257965,409,unknown
Treated with respect by the police,,,unknown
Yes,79.51429344469659,2048,unknown
No,8.374306384772073,235,unknown
If police found out who did it,,,unknown
Yes,71.78228621291449,685,unknown
No,70.53729134478594,1338,unknown
Not yet,80.57375814408918,105,unknown
Action taken against offender,,,unknown
Charged,90.55091720545063,182,unknown
Given caution,72.11481246154932,88,unknown
Gave them a fine (or Penalty Notice for Disorder),-,10,unknown
Made them do something to make amends for the matter,-,28,unknown
Some other action,79.46534529782848,62,unknown
No action (yet) taken against the offender,53.89161743675987,248,unknown
Did offender go to court,,,unknown
Yes,93.93299110165626,163,unknown
No,62.50082410182319,380,unknown
Not yet,63.57123121921475,55,unknown
How well police kept the victim informed,,,unknown
Well,88.61265348512997,868,unknown
Not well,38.619327480840255,737,unknown
Not necessary to keep me informed,84.19124260093037,685,unknown
Police gave victim chance to talk to somone formally or informally,,,unknown
Yes,85.83373902974961,125,unknown
No,68.21438959253285,67,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
