"table s18:  attitudes to local police, by police force area, english regions and wales, year ending march 2016 csew",unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,Adults aged 16 and over,unknown
,Rating of local police,,,Police deal with local concerns,,,,unknown
,"% saying
police do
excellent/good job",Statistically significantly different from England and Wales1,Statistically significantly different from     Apr '14 to Mar '151,% agree,Statistically significantly different from England and Wales1,Statistically significantly different from     Apr '14 to Mar '151,Unweighted base - number of adults2,unknown
ENGLAND AND WALES,62.66433840449139,,,61.33295256587446,,,33768,unknown
ENGLAND,62.73663752314959,,,61.095730362518296,,,30971,unknown
North East,65.62690368324714,,,63.63353526664388,,,2008,unknown
Cleveland,59.0440760919106,,,59.83506061708946,,,612,unknown
Durham,63.868541059554914,,,62.53588183419312,,,611,unknown
Northumbria,68.68865485329624,*,,65.43084924346358,*,,785,unknown
North West,61.96413303297673,,,61.95423556647041,,,3914,unknown
Cheshire,67.71652212274056,*,,65.29386038172886,,,605,unknown
Cumbria,68.37344656879269,*,,68.84232567334125,*,*↑,601,unknown
Greater Manchester,57.15522179594058,*,,57.47812985372049,*,,1316,unknown
Lancashire,64.81366319288014,,,68.80579979866651,*,,736,unknown
Merseyside,61.6603079129267,,,58.31270122547056,,,656,unknown
Yorkshire and the Humber,59.1920607610779,*,,57.153229271523685,*,,3038,unknown
Humberside,51.994767570836615,*,,50.61464251897869,*,,618,unknown
North Yorkshire,71.8129251676947,*,,68.5597899635698,*,,673,unknown
South Yorkshire,55.65231823696081,*,,49.92271001221838,*,*↓,666,unknown
West Yorkshire,59.66076937623751,,,60.22612552201012,,,1081,unknown
East Midlands,62.13410036464976,,,60.81184713619141,,,3162,unknown
Derbyshire,62.824009299195644,,,58.166556486921934,,,676,unknown
Leicestershire,69.46368989429587,*,*↑,66.2154771352917,,,662,unknown
Lincolnshire,58.34292469069884,,,61.96381716130302,,,613,unknown
Northamptonshire,59.4383375950607,,,60.600712057841406,,,585,unknown
Nottinghamshire,58.84553308529145,,,57.938550138998394,,,626,unknown
West Midlands,57.77202898469314,*,,56.523176848443214,*,,3213,unknown
Staffordshire,51.66576520591195,*,,48.109624941329926,*,,745,unknown
Warwickshire,63.93566387580579,,,61.34888777625324,,,600,unknown
West Mercia,60.72549217851953,,,59.69517369967892,,,619,unknown
West Midlands,57.88690012316208,*,,57.981040253085816,,,1249,unknown
East,62.99336866054695,,,62.20253383929003,,,3992,unknown
Bedfordshire,55.40976266228431,*,,56.91333222269465,*,,714,unknown
Cambridgeshire,60.85103194514164,,,59.43171234279396,,,609,unknown
Essex,58.80088545180566,,,57.53160622792424,,,825,unknown
Hertfordshire,69.81586166514002,*,,67.89418940884323,*,*↑,630,unknown
Norfolk,67.30213337843327,,,67.94420565821488,*,,584,unknown
Suffolk,65.44081220789658,,,64.14179292684052,,,630,unknown
London,64.27739678360051,,,62.822528383982984,,,3458,unknown
Metropolitan/City of London,64.27739678360051,,,62.822528383982984,,,3458,unknown
South East,64.67105577056782,*,,62.03838133892925,,,4323,unknown
Hampshire,61.89275483340918,,*↓,58.983551263688916,,*↓,969,unknown
Kent,59.87380768958567,,,56.378857887549586,*,,863,unknown
Surrey,69.05317561947531,*,,67.68237312022902,*,,573,unknown
Sussex,62.692018648759955,,,59.090290147322065,,,791,unknown
Thames Valley,70.02720593207661,*,,68.29399610688723,*,,1127,unknown
South West,65.58584002911657,*,,62.0615920158145,,,3863,unknown
Avon and Somerset,60.53202003456706,,,53.94938962586866,*,*↓,856,unknown
Devon and Cornwall,68.94346023553281,*,,68.02295229361474,*,,1002,unknown
Dorset,68.74678082129654,*,,67.85109324829746,*,,602,unknown
Gloucestershire,63.524029123164595,,*↑,59.13821046279324,,,723,unknown
Wiltshire,69.08445962429388,*,,65.82877164486295,*,,680,unknown
WALES,61.4004482887829,,*↑,65.47679262782279,*,*↑,2797,unknown
Dyfed-Powys,71.95781343772792,*,*↑,73.60731064600262,*,*↑,670,unknown
Gwent,52.58931507626706,*,,61.51615055546773,,,698,unknown
North Wales,66.46743718495709,,*↑,68.34101414349085,*,*↑,722,unknown
South Wales,57.941680385244524,,,62.06845497302371,,,707,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,unknown
1. '*' denotes statistically significantly different in comparison with England and Wales while '*↑/↓' denotes statistically significantly different in comparison with year ending March 2015.,,,,,,,,unknown
2. Unweighted base refers to ratings of local police; base for police deal with local concerns will be similar.,,,,,,,,unknown
