"table s19:  attitudes to local police working in partnership, by police force area, english regions and wales, year ending march 2016 csew",unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,Police and local council are dealing with issues,,,,unknown
,"% saying
strongly agree/
tend to agree",Statistically significantly different from England and Wales1,Statistically significantly different from       Apr '14 to Mar '151,Unweighted base - number of adults,unknown
ENGLAND AND WALES,61.93043112660796,,,33787,unknown
ENGLAND,61.837830741966684,,,30980,unknown
North East,61.856394991722006,,,1986,unknown
Cleveland,60.43668569781034,,,577,unknown
Durham,60.921565001754864,,,601,unknown
Northumbria,62.700724523372116,,,808,unknown
North West,65.06657991563657,*,*↑,3928,unknown
Cheshire,67.51426495286368,*,,620,unknown
Cumbria,71.27283959321755,*,*↑,600,unknown
Greater Manchester,64.20551004938643,,*↑,1334,unknown
Lancashire,69.15866489375253,*,,720,unknown
Merseyside,58.03272763281414,,,654,unknown
Yorkshire and the Humber,57.92947924001064,*,,3047,unknown
Humberside,53.85566823469482,*,,629,unknown
North Yorkshire,69.94326138406164,*,,674,unknown
South Yorkshire,48.91430540398849,*,,664,unknown
West Yorkshire,60.84249402558269,,,1080,unknown
East Midlands,59.86849488184962,,,3188,unknown
Derbyshire,57.68547440864909,,,683,unknown
Leicestershire,66.76249035586169,*,*↑,667,unknown
Lincolnshire,55.62940368328519,*,,616,unknown
Northamptonshire,60.08621841920966,,,588,unknown
Nottinghamshire,58.356626331149364,,,634,unknown
West Midlands,56.30428017046429,*,,3215,unknown
Staffordshire,44.138367579041656,*,*↓,751,unknown
Warwickshire,58.94831265339025,,,590,unknown
West Mercia,61.007458348350475,,,619,unknown
West Midlands,59.249442327827204,,,1255,unknown
East,62.32844649493126,,,4013,unknown
Bedfordshire,58.21619066850748,,,718,unknown
Cambridgeshire,60.05364920832223,,,610,unknown
Essex,58.4926967030199,,,823,unknown
Hertfordshire,68.20477324507304,*,,639,unknown
Norfolk,66.44822326141136,*,*↓,599,unknown
Suffolk,62.510022626330894,,,624,unknown
London,65.26444790463502,*,*↓,3439,unknown
Metropolitan/City of London,65.26444790463502,*,*↓,3439,unknown
South East,63.33829197612346,,,4273,unknown
Hampshire,61.319124264351885,,,938,unknown
Kent,56.50502392014099,*,,849,unknown
Surrey,70.14985647339616,*,,580,unknown
Sussex,59.574250560597754,,,791,unknown
Thames Valley,69.38587914840832,*,,1115,unknown
South West,60.608671929627704,,,3891,unknown
Avon and Somerset,53.77846175904219,*,,871,unknown
Devon and Cornwall,64.73819801072493,,,976,unknown
Dorset,59.43147844004992,,,605,unknown
Gloucestershire,67.12404885576369,*,,746,unknown
Wiltshire,64.14464772513206,,,693,unknown
WALES,63.53525850411653,,,2807,unknown
Dyfed-Powys,73.28679954354017,*,*↑,665,unknown
Gwent,59.873647111826024,,,704,unknown
North Wales,65.49658014495816,,,725,unknown
South Wales,59.83371893478343,,,713,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,unknown
1. '*' denotes statistically significantly different in comparison with England and Wales while '*↑/↓' denotes statistically significant different in comparison with year ending March 2015.,,,,,unknown
