"table s23:  awareness of police and crime commissioners, by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,unknown
ALL ADULTS,59.242459236177915,31620,unknown
Structure of household,,,unknown
Single adult and child(ren),43.199830260162926,1570,unknown
Adults and child(ren),53.10181416858429,6506,unknown
Adult(s) and no child(ren),62.13617697294283,23544,unknown
Total household income,,,unknown
"Less than £10,000",45.894610849307234,3345,unknown
"£10,000 to less than £20,000",56.00361971276171,6351,unknown
"£20,000 to less than £30,000",61.26986027141922,4895,unknown
"£30,000 to less than £40,000",62.9852742938717,3763,unknown
"£40,000 to less than £50,000",64.75855196063395,2523,unknown
"£50,000 or more",69.53050306838405,5469,unknown
No income stated or not enough information provided,49.45778650942475,5269,unknown
Tenure,,,unknown
Owner occupiers,66.62720700446208,21103,unknown
Social renters,45.452758203525654,4892,unknown
Private renters,45.041344942306324,5453,unknown
Accommodation type ,,,unknown
Houses,60.44742545606404,27921,unknown
Detached,69.22260953677001,8992,unknown
Semi-detached,59.300300219008406,10195,unknown
Terraced,53.15926000334801,8734,unknown
Flats/maisonettes,48.09090116533518,3402,unknown
Other accommodation,63.30062594803819,107,unknown
Output Area Classification,,,unknown
Rural residents ,69.30540034424578,4907,unknown
Cosmopolitans ,46.21575712633,758,unknown
Ethnicity central ,42.9196387390272,291,unknown
Multicultural metropolitans ,45.634066188721356,2657,unknown
Urbanities ,62.184133796998964,6233,unknown
Suburbanities ,67.72287498429355,7545,unknown
Constrained city dwellers ,47.917174096810534,2320,unknown
Hard-pressed living ,53.40620128962994,6909,unknown
Area type,,,unknown
Urban,57.04860285837532,23542,unknown
Rural,66.93592731440054,8078,unknown
Level of physical disorder,,,unknown
High,38.915102574285896,1266,unknown
Not high,60.245864100020356,30134,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,47.48191840968407,5622,unknown
Other Output Areas,60.431056494290495,17238,unknown
20% least deprived Output Areas,66.64329317493048,5842,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of area and household characteristics.,,,unknown
2. Unweighted base refers to non-London residents only,,,unknown
