"table s24:  contact  and details of contact with police and crime commissioners (pcc), year ending march 2016 csew",unnamed: 1,age_band
England and Wales,Adults aged 16 and over,unknown
,Percentage,unknown
Had contacted their local PCC in the last 12 months,1.6934753542280059,unknown
Unweighted base - number of adults1,31612,unknown
How contact made2,,unknown
By telephone,32.87420906100776,unknown
At a local event,25.93361588565707,unknown
By email,15.567528886975296,unknown
Had contact with them through work,10.843572641655744,unknown
By letter,6.34133661169962,unknown
At a surgery session,3.524605378839206,unknown
Some other way,18.150271187275337,unknown
Nature of  contact2,,unknown
Shared information on community activity/ local crime,22.684327877041248,unknown
Spoke to them as a victim of crime,15.541648111424685,unknown
Shared views on policing/ crime priorities,13.25664374278751,unknown
Had contact with them through work,13.03478410849704,unknown
Asked for information,12.098084237501007,unknown
Made a complaint about the local police,5.533378075502166,unknown
Shared views on police budget/ council tax charged for the police,3.2083722029230057,unknown
Made a complaint about the about the PCC or their office,1.396094117350894,unknown
Something else,25.80838696942464,unknown
Unweighted base - number of adults3,544,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,unknown
1. The unweighted base is adults resident outside of the London Area. Within the London area responsibility for holding police to account is the responsibility  of the Mayor of London and not  a Police and Crime Commissioner.,,unknown
2. Figures add to more than 100 as more than one response possible.,,unknown
3. Unweighted base refer to questions on how contact with PCC was made. Bases for the questions on nature of contact will be similar.,,unknown
