"table s25:  confidence in the criminal justice system, year ending march 2008 to year ending march 2016 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
,,,,,,,,,,April 2015 to March 2016 compared with:,unknown
,Oct '07 to Mar '081,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,"Apr '11 to Mar '122,3",Apr '12 to Mar '13,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,Apr '14 to Mar '15,unknown
,Percentage saying that they are confident that,,,,,,,,,Statistically significant difference,unknown
The CJS as a whole is effective,36.90382323570525,38.21816006877301,40.62713008638206,42.49708965484509,43.72765309988969,44.66913848968932,48.31232949579166,50.88128231368132,53.60137523879518,*,unknown
The CJS as a whole is fair,55.914501134650585,58.45841479651415,59.39388220371866,61.19358421278381,62.573071612939714,62.67720429762997,64.46458034724802,66.0979794591515,68.0255650433682,*,unknown
Unweighted base - number of adults4,9774,44707,43086,44883,22149,17180,17417,16346,17185,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,unknown
1. Estimates for year ending March 2008 are based on six months of data (between October 2007 and March 2008) as the questions were introduced in the middle of the year ending March 2008 survey year.,,,,,,,,,,,unknown
"2. From April 2011, the number of respondents asked questions relating to their perceptions of the CJS has been reduced from a full sample to a half sample.",,,,,,,,,,,unknown
"3. Caution should be used in interpreting changes in these figures as a possible order effect may have affected these estimates in year ending March 2012.  Note in Crime in England and Wales, Quarterly First Release to December 2011 provides further detail.",,,,,,,,,,,unknown
4. Unweighted bases refer to questions on the fairness of the criminal justice system. Bases for the effectiveness question will be similar each year. Previous questions on the CJS have not shown seasonality effects.  ,,,,,,,,,,,unknown
