"table s26:  confidence in the criminal justice system by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,Adults aged 16 and over,unknown
,Confident that the CJS is fair,Confident that the CJS is effective,Unweighted base - number of adults2,,Confident that the CJS is fair,Confident that the CJS is effective,Unweighted base - number of adults2,unknown
,Percentages,,,,Percentages,,,unknown
ALL ADULTS,68.0255650433682,53.60137523879518,17185,Respondent's employment status,,,,unknown
,,,,In employment,67.66256469606924,53.604189723592555,9690,unknown
Age,,,,Unemployed,71.67541142768276,61.70618207989143,322,unknown
16-24,73.0494284385887,69.7788565342673,1188,Economically inactive,68.50644021176592,53.16003796120459,7157,unknown
25-34,66.56571462637449,56.101468722479254,2458,Student,76.78748665764714,76.74391081004879,341,unknown
35-44,69.93543625734452,54.377640935944896,2709,Looking after family/home,70.40572497220049,60.63375942115113,705,unknown
45-54,64.70037309495275,49.37496029175795,2990,Long-term/temporarily sick/ill,57.83232299282572,44.42837942707551,762,unknown
55-64,64.70427315552753,45.7318049193338,2770,Retired,68.56313351355661,49.03601504312559,5151,unknown
65-74,66.20734263806884,44.960734766264224,2927,Other inactive,65.42832305215593,49.114038389391574,198,unknown
75+,74.07709400382171,55.98364799707355,2143,,,,,unknown
,,,,Respondent's occupation (NS-SEC),,,,unknown
Sex,,,,Managerial and professional occupations,68.85399213311022,51.23143286697298,6034,unknown
Men,69.89454285878466,53.425372018862035,7839,Intermediate occupations,66.87409171069277,50.92542263207376,4003,unknown
Women,66.23803700046808,53.77024116465298,9346,Routine and manual occupations,66.24570197056957,52.61530317178611,5959,unknown
,,,,Never worked and long-term unemployed,70.19284718006898,64.36337573719496,542,unknown
Ethnic group,,,,Full-time students,75.82109913001383,75.43944339949398,544,unknown
White ,67.45537427447064,51.479666852528474,15592,Not classified,62.572705765953295,48.48697059742571,103,unknown
English/Welsh/Scottish/Northern Irish/British,66.39278501761046,49.90607587389685,14683,,,,,unknown
Irish,65.57036109431229,58.792211386803075,148,Highest qualification,,,,unknown
"Gypsy, Traveller or Irish Traveller",-,-,4,Degree or diploma,69.66582231600684,54.02889043755144,6642,unknown
Any other White background,82.97232085025828,73.19357047517275,757,Apprenticeship or A/AS level,66.72641248050184,52.96351102257984,3130,unknown
Mixed/Multiple,58.764748020119484,55.71127048097383,181,O level/GCSE,66.17312796479791,53.132743389091615,3205,unknown
White and Black Caribbean,42.269848022883885,45.47687140593412,71,Other,65.97126756208756,53.289390923243595,674,unknown
White and Black African,-,-,21,,68.30857164609367,53.967267571482104,3469,unknown
White and Asian,-,-,45,,,,,unknown
Any other Mixed/Multiple background,-,-,44,Long-standing illness or disability ,,,,unknown
Asian/Asian British,77.89520273131744,71.55321546258669,841,Long-standing illness or disability ,60.77435411010331,45.36582866044061,4242,unknown
Indian,78.37165804303874,68.88649810202027,342,Limits activities,58.585632396897715,44.272691031373355,3272,unknown
Pakistani,77.64519764281357,69.88123946492438,208,Does not limit activities,67.81479841055773,48.874207951642255,966,unknown
Bangladeshi,70.78797554019395,75.0393004765396,68,No long-standing illness or disability ,70.03971232032906,55.848383925270106,12892,unknown
Chinese,78.6098818987772,74.38368457008137,76,,,,,unknown
Any other Asian background,81.55914129815712,77.31868687619345,147,Perception of local crime rate3,,,,unknown
Black/African/Caribbean/Black British,64.72042209029283,66.38992292166229,449,Higher than average,52.19335543175836,43.416408540458896,663,unknown
African,75.21220785855128,76.12550293513856,264,About average,64.77558403183593,50.51664823651226,2980,unknown
Caribbean,46.110654763385924,48.707703700695674,159,Lower than average,72.02566886636413,56.739860001964004,4898,unknown
Any other Black/African/Caribbean background,-,-,26,,,,,unknown
Other ethnic group,71.54080547466268,73.46734710518193,99,Confidence in police and local council dealing with issues,,,,unknown
Arab,-,-,34,Agree,77.6533312425955,63.711941904447045,10392,unknown
Any other ethnic group,70.22238090111917,73.57597234356963,65,No opinion,58.603113636345775,42.724048236587855,3798,unknown
,,,,Disagree,41.105767737129675,27.03790491131639,2369,unknown
Marital status,,,,,,,,unknown
Married/civil partnered,68.66147553310216,51.11215212474789,7819,Experience of crime in last 12 months,,,,unknown
Cohabiting,65.47797330033272,50.77956422894088,1769,Victim,59.631218727714575,47.385191970238886,2361,unknown
Single,68.72308372673005,61.59499461867595,3746,Not a victim,69.55607903962138,54.74073732294193,14824,unknown
Separated,65.18707453273053,53.582248779654066,506,,,,,unknown
Divorced/legally dissolved partnership,62.131330752292726,45.89246495191871,1569,,,,,unknown
Widowed,72.3887920630174,55.47294541641572,1722,,,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,unknown
1. Section 7.3 of User Guide provides definitions of personal characteristics.,,,,,,,,unknown
2. Unweighted base refers to confidence that the CJS is fair. Base for CJS is effective will be similar.,,,,,,,,unknown
3. Perception of local crime rate was only asked of half of the CSEW sample.,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,unknown
