"table s3: ratings of the local police, by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Local police,Unweighted base - number of adults,unknown
,"Percentage saying police 
doing a good/excellent job",,unknown
ALL ADULTS,62.66433840449157,33768,unknown
Structure of household,,,unknown
Single adult and child(ren),58.03842562151252,1722,unknown
Adults and child(ren),63.75337706800066,7208,unknown
Adult(s) and no child(ren),62.4379102667174,24838,unknown
Total household income,,,unknown
"Less than £10,000",62.593998944834084,3519,unknown
"£10,000 to less than £20,000",62.27105652094066,6573,unknown
"£20,000 to less than £30,000",62.50467944344011,5121,unknown
"£30,000 to less than £40,000",63.53854147230703,3930,unknown
"£40,000 to less than £50,000",63.27668564906128,2679,unknown
"£50,000 or more",65.09256752770301,6121,unknown
No income stated or not enough information provided,59.66238755434197,5821,unknown
Tenure,,,unknown
Owner occupiers,62.35274760869072,21993,unknown
Social renters,57.17670836096551,5484,unknown
Private renters,67.64989870964796,6086,unknown
Accommodation type ,,,unknown
Houses,62.12334751988687,28892,unknown
Detached,64.38335819551772,8744,unknown
Semi-detached,62.327843623514454,10475,unknown
Terraced,60.06511747050506,9673,unknown
Flats/maisonettes,66.26456348895687,4567,unknown
Other accommodation ,56.278203888798416,101,unknown
Output Area Classification,,,unknown
Rural residents ,63.04517202623244,4657,unknown
Cosmopolitans ,68.53083904636652,1106,unknown
Ethnicity central ,61.65431898108849,1487,unknown
Multicultural metropolitans ,61.29142484887815,3835,unknown
Urbanities ,66.36946891415111,6350,unknown
Suburbanities ,65.10294732718796,7342,unknown
Constrained city dwellers ,58.15675492771204,2277,unknown
Hard-pressed living ,57.28385943531429,6714,unknown
Area type,,,unknown
Urban,62.484997281478286,26110,unknown
Rural,63.447682971214945,7658,unknown
Level of physical disorder,,,unknown
High,55.36538209016745,1391,unknown
Not high,63.09641860337308,32143,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,56.56342784516018,3360,unknown
Other output areas,62.873415983201674,11844,unknown
20% least deprived output areas,68.30772602833898,4187,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide have definitions or area and household characteristics.,,,unknown
