"table s33: perceived likelihood of being a victim of crime by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Percieved likelihood of victimisation,Unweighted base - number of adults,unknown
,Percentage saying 'very likely' or 'fairly likely',,unknown
ALL ADULTS,19.077341824016113,34566,unknown
Structure of household,,,unknown
Single adult and child(ren),24.73171290937618,1732,unknown
Adults and child(ren),21.856956059511017,7309,unknown
Adult(s) and no child(ren),17.801601713517563,25525,unknown
Total household income,,,unknown
"Less than £10,000",19.291349284676613,3582,unknown
"£10,000 to less than £20,000",18.96125780570489,6701,unknown
"£20,000 to less than £30,000",19.42492882050374,5208,unknown
"£30,000 to less than £40,000",19.348599790201153,4016,unknown
"£40,000 to less than £50,000",17.505153885776505,2746,unknown
"£50,000 or more",18.32230040875996,6284,unknown
No income stated or not enough information provided,20.194370077540203,6015,unknown
Tenure,,,unknown
Owner occupiers,18.30803489278181,22614,unknown
Social renters,21.29680035395771,5526,unknown
Private renters,19.571726134704612,6208,unknown
Accommodation type ,,,unknown
Houses,19.01930938843132,29616,unknown
Detached,16.418206514145158,9070,unknown
Semi-detached,19.246919430923384,10728,unknown
Terraced,20.96011630750418,9818,unknown
Flats/maisonettes,19.502469220909326,4633,unknown
Other accommodation,7.9331900787245155,108,unknown
Output Area Classification,,,unknown
Rural residents,14.709014040631985,4837,unknown
Cosmopolitans,18.177551975410957,1132,unknown
Ethnicity central,23.402461223896637,1478,unknown
Multicultural metropolitans,25.481310032321737,3825,unknown
Urbanities,15.630424835346252,6543,unknown
Suburbanities,17.338714434299654,7610,unknown
Constrained city dwellers,21.039694910382327,2321,unknown
Hard-pressed living,20.759497116291932,6820,unknown
Area type,,,unknown
Urban,20.13825846350424,26584,unknown
Rural,14.57071613180109,7982,unknown
Level of physical disorder,,,unknown
High,25.5905532117956,1396,unknown
Not high,18.730850478712384,32935,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,23.932610947599407,6019,unknown
Other output areas,19.20884262855739,19167,unknown
20% least deprived output areas,15.458181319424197,6517,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,unknown
