"table s35: worry about crime by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,Adults aged 16 and over,,,unknown
,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,unknown
,Percentage with high levels of worry,,,,,Percentage with high levels of worry,,,,unknown
ALL ADULTS,10.666253594147395,6.042805903138256,11.52638840766869,8729,Respondent's employment status,,,,,unknown
,,,,,In employment,9.793396638302196,5.766328600057453,10.196836784079979,4421,unknown
Age,,,,,Unemployed,10.37262955679643,12.634925650806492,14.426031249836743,155,unknown
16-24,8.56096795505694,4.840552791720106,10.726901709645475,616,Economically inactive,12.16405794964716,6.285969596961614,13.586380569631185,3239,unknown
25-34,9.407423075863706,5.471544573268587,10.783485457762671,1205,Student,7.2321441861648434,6.698036395944633,12.145099361631196,179,unknown
35-44,12.764772108642727,5.78983658679033,13.545876874381552,1352,Looking after family/home,14.428008375219203,9.683828587683681,20.47773592273631,394,unknown
45-54,9.710435212015906,6.659184974037263,10.149523535317341,1526,Long-term/temporarily sick/ill,17.587894556469028,11.35649315735273,18.026628931414088,336,unknown
55-64,11.966258630816782,7.371080445272282,13.234743815894925,1414,Retired,11.408263348466441,4.909885634458331,11.016479080320739,2662,unknown
65-74,10.939620633152032,6.204140159034453,11.490795251217916,1457,Other inactive,20.32339427242057,6.038617330734451,28.149792714407962,90,unknown
75+,11.468072659283012,5.207483884286813,10.415578243650364,1159,,,,,,unknown
,,,,,Respondent's occupation (NS-SEC),,,,,unknown
Sex,,,,,Managerial and professional occupations,7.0789616584867305,3.525144555342609,6.6237867976384095,3076,unknown
Men,8.812512394485964,5.2202646107927375,6.506598117589863,3963,Intermediate occupations,10.294700635812456,7.140146901501344,10.919010448077652,2012,unknown
Women,12.439209372679032,6.859068913055625,16.119055387431374,4766,Routine and manual occupations,14.68225934255199,7.991945464998185,16.2319791860901,3032,unknown
,,,,,Never worked and long-term unemployed,16.91142567512572,15.773756509109047,20.787482282053308,304,unknown
Ethnic group,,,,,Full-time students,6.865204327597811,3.7900894795206446,10.963248340001039,248,unknown
White ,8.936607403238376,5.006979709556553,9.466267801120667,7909,Not classified,8.018637366221466,6.493177534570306,9.38780052344802,57,unknown
English/ Welsh/ Scottish/ Northern Irish/ British ,8.496214507156138,4.95677125903432,8.93235727466412,7460,,,,,,unknown
Irish ,9.660881339254566,4.585079557434782,11.004825201209394,54,Highest qualification,,,,,unknown
"Gypsy, Traveller or Irish Traveller ",-,-,-,8,Degree or diploma,8.406533432851667,4.392587718978234,8.311681882368031,3351,unknown
Any other White background,14.824275470199069,6.016902169746867,16.557936049778665,387,Apprenticeship or A/AS level,9.954826173988279,5.641382358373489,10.010448171724695,1525,unknown
Mixed/Multiple,9.553535074385831,5.5384134363280095,7.580357910267751,98,O level/GCSE,11.579013338880321,7.04796878147144,12.346057900606011,1602,unknown
White and Black Caribbean ,-,-,-,33,Other,14.477043069804886,8.716511755786865,14.853207320445764,346,unknown
White and Black African ,-,-,-,15,,14.638611658039757,9.975964179692783,18.296666190036497,1864,unknown
White and Asian ,-,-,-,28,,,,,,unknown
Any other Mixed/ Multiple ethnic background ,-,-,-,22,Long-standing illness or disability ,,,,,unknown
Asian/Asian British,23.88104460180421,16.5136695887863,28.263118611698545,444,Long-standing illness or disability ,12.642297279032938,6.440445103454222,13.852750794042118,2131,unknown
Indian ,25.294031524387634,17.07158681267128,32.452864475006365,177,Limits activities,13.49940898708476,6.8511580915971315,14.578398038985782,1673,unknown
Pakistani ,19.293519623512072,15.628050735938977,23.970814427232188,107,Does not limit activities,9.7864921247609,5.2898021301968825,11.458182812244987,456,unknown
Bangladeshi ,-,-,-,33,No long-standing illness or disability ,10.160190925154506,5.958921758436897,10.94683464654076,6572,unknown
Chinese ,-,-,-,44,,,,,,unknown
Any other Asian background ,34.24216381578816,17.86098303695411,31.5187432156304,83,Experience of crime in last 12 months,,,,,unknown
Black/African/Caribbean/Black British,26.814399216661023,13.219553672467239,30.134403180091184,210,Victim,16.305678281686788,10.792873990034023,13.398632441922226,1181,unknown
African ,27.506947347851707,13.140326995808083,33.01646682236615,122,Not a victim,9.704692320304021,5.146199034453321,11.199258348686474,7548,unknown
Caribbean ,23.87726930222267,10.72581536543334,20.913514095188845,70,,,,,,unknown
Any other Black/ African/ Caribbean background,-,-,-,18,Religion,,,,,unknown
Other ethnic group,22.067392026437783,8.815796940482052,24.377271917051576,54,No religion,6.724387644391576,4.795499756468725,6.736359589475834,2858,unknown
Arab ,-,-,-,16,Christian,11.405960022718258,5.492423523615627,12.276550363749427,5354,unknown
Any other ethnic group ,-,-,-,38,Buddhist,-,-,-,31,unknown
,,,,,Hindu,29.087186730384467,15.213076102121786,36.52368161202385,106,unknown
Marital status,,,,,Muslim,22.18274270822775,17.39213420159014,27.05389547100918,242,unknown
Married/civil partnered,10.635645876930758,6.09477509836933,11.527569575010201,3995,Other,20.21006658577068,10.056551861486891,20.801118163098266,116,unknown
Cohabiting,11.025618018859989,5.502031551898914,9.563742725137452,959,,,,,,unknown
Single,9.719829642107836,6.380679820285717,11.552976341245301,1798,,,,,,unknown
Separated,9.772493786102746,6.945634413733467,18.890749764063504,258,,,,,,unknown
Divorced/legally dissolved partnership,11.049748504582986,7.114762356180367,12.112063552747104,774,,,,,,unknown
Widowed,13.902021453199925,4.068227777820227,13.14377096229911,907,,,,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,unknown
1. See Section 7.3 of User Guide for definitions of personal characteristics.,,,,,,,,,,unknown
"2. Unweighted base refers to worry about burglary. Bases for violent crime will be similar but for car crime will be slightly lower as this is based only on those residing in households owning, or with use of a vehicle.",,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,unknown
