"table s38:  high levels of perceived anti-social behaviour in local area by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,High level of perceived ASB2,Unweighted base - number of adults3,unknown
,Percentages:,,unknown
ALL ADULTS,10.846503795423155,8636,unknown
Structure of household,,,unknown
Single adult and child(ren),18.856973641431658,446,unknown
Adults and child(ren),12.390326472736902,1884,unknown
Adult(s) and no child(ren),9.906962920538314,6306,unknown
Total household income,,,unknown
"Less than £10,000",15.267826201572957,890,unknown
"£10,000 to less than £20,000",13.656238037287585,1648,unknown
"£20,000 to less than £30,000",12.759547437495625,1343,unknown
"£30,000 to less than £40,000",9.72086075660613,1044,unknown
"£40,000 to less than £50,000",9.287760583178885,683,unknown
"£50,000 or more",6.482603103220326,1578,unknown
No income stated or not enough information provided,11.964489157832876,1444,unknown
Tenure,,,unknown
Owner occupiers,7.2647145231538435,5636,unknown
Social renters,21.039269708574277,1367,unknown
Private renters,14.502798836882441,1576,unknown
Accommodation type ,,,unknown
Houses,10.036283796810471,7430,unknown
Detached,3.434181340390575,2234,unknown
Semi-detached,9.273512063767031,2726,unknown
Terraced,16.219394028715282,2470,unknown
Flats/maisonettes,16.261105743532024,1140,unknown
Other accommodation,-,19,unknown
Output Area Classification,,,unknown
Rural residents,1.4037395940369857,1225,unknown
Cosmopolitans,12.849229665956715,258,unknown
Ethnicity central,22.104897850845173,381,unknown
Multicultural metropolitans,19.208286538646906,988,unknown
Urbanites,7.178608986528791,1615,unknown
Suburbanites,4.095002363996272,1887,unknown
Constrained city dwellers,16.272679185169274,539,unknown
Hard-pressed living,15.719704755072083,1743,unknown
Area type,,,unknown
Urban,12.639842643802101,6651,unknown
Rural,3.0029687845497817,1985,unknown
Level of physical disorder,,,unknown
High,25.87803477109354,338,unknown
Not high,10.170280175963452,8240,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,23.189977545946093,1461,unknown
Other output areas,9.475117773980344,4845,unknown
20% least deprived output areas,3.3987490968095564,1592,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of the household and area characteristics.,,,unknown
2. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Sections 5.7 and 6.3 of the User Guide.,,,unknown
3. Questions on perceptions of anti-social behaviour were only asked of one quarter of the CSEW sample in the year ending March 2016.,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
